"","Tr","Plant","Dir","Leaf","Temp","Vcmax","Jmax","A275"
"1","A21","1","down","1","10","12.9433429018438","37.0261553513648","6.75460539378875"
"2","A21","1","down","1","15","25.100790728166",NA,"10.4753977523552"
"3","A21","1","down","1","20","40.1830915980698","104.947778608946","12.5555831040178"
"4","A21","1","up","2","20","42.1353574668483","111.358666242424","13.1959291584808"
"5","A21","1","up","2","25","65.9188683700098","157.881592558666","14.5967011889388"
"6","A21","1","up","2","30","91.1876641154694","197.120374247408","13.3591794270311"
"7","A21","1","up","2","35","77.6421269781239","138.486767520064","6.39833593007007"
"8","A21","1","up","2","40","58.7328658339143","81.4266086445534","1.63003088882658"
"9","A21","2","down","3","10","10.1282744866383",NA,"5.23516978969278"
"10","A21","2","down","3","15","19.5617256209391","48.0015764406668","8.05500549104263"
"11","A21","2","down","3","20","35.8852313027841","76.5607326634772","11.1349605991881"
"12","A21","2","up","4","20","38.0302855683938","78.5483803834762","11.8340310269383"
"13","A21","2","up","4","25","60.7163581233073","106.531012450497","13.3571400959499"
"14","A21","2","up","4","30","85.4914527250571","139.464365006922","12.4341345274626"
"15","A21","2","up","4","35","107.875985411165","138.243055127267","9.56576047506603"
"16","A21","2","up","4","40","71.3824918875037","58.4297669068902","2.45013014552553"
"17","A21","3","down","5","10","10.1432213333032","28.0518953596348","5.22656539509786"
"18","A21","3","down","5","15","21.5583582836268","52.8185217386809","8.91864395926659"
"19","A21","3","down","5","20","37.5857174632403","83.1555663358977","11.6962353106404"
"20","A21","3","up","6","20","53.3143449406712","107.272281339112","16.8119334241854"
"21","A21","3","up","6","25","80.5269266550676","139.724174943438","18.0134369230927"
"22","A21","3","up","6","30","113.854301080056","205.198217417795","16.9908473649087"
"23","A21","3","up","6","35","147.423966601776","221.430811103962","13.7101906184962"
"24","A21","3","up","6","40","122.308137649202","113.477774449808","5.79958294646151"
