,Tr,Plant,Dir,Leaf,Temp,Vcmax,Jmax,A275
1,M26,1,down,1,10,2.468060373,7.03262851,1.223869265
2,M26,1,down,1,15,7.623554679,17.35041481,3.082014926
3,M26,1,down,1,20,18.73503297,35.40687228,5.794728552
4,M26,1,down,1,25,39.27852901,61.00126293,8.739706494
5,M26,1,up,2,25,27.42812478,46.0080915,5.969712698
6,M26,1,up,2,30,40.00367751,63.23951669,5.683360603
7,M26,1,up,2,35,58.00337478,75.52048838,4.949501386
8,M26,1,up,2,40,41.18211792,40.94985449,1.064103352
9,M26,2,down,3,10,1.080946329,NA,0.471154614
10,M26,2,down,3,15,4.399173721,10.68723683,1.714114838
11,M26,2,down,3,20,12.39731428,23.83897823,3.748327274
12,M26,2,down,3,25,26.80538329,42.74785384,5.820009448
13,M26,2,up,4,25,26.89634085,38.96266583,5.655152647
14,M26,2,up,4,30,34.60460633,46.83354623,4.810173835
15,M26,2,up,4,35,38.4814687,44.63197141,2.907172765
16,M26,3,down,5,10,4.651118378,12.93339566,2.3918379
17,M26,3,down,5,15,11.71667649,27.56377048,4.877973493
18,M26,3,down,5,20,24.56825403,46.66309558,7.696583976
19,M26,3,down,5,25,45.04102026,71.31756046,10.10254642
20,M26,3,up,6,25,28.27664506,44.00417112,6.15947108
21,M26,3,up,6,30,38.95138664,59.0387231,5.50677044
22,M26,3,up,6,35,45.39216026,60.2494681,3.629881112
23,M26,3,up,6,40,33.97035848,33.88840731,0.592660392
