"","Tr","Plant","Dir","Leaf","Temp","Vcmax","Jmax","A275"
"1","M31","1","down","1","10","3.33574510871103","9.55397994940193","1.7489820073056"
"2","M31","1","down","1","15","9.14312749076362","21.0042062117331","3.84411403296679"
"3","M31","1","down","1","20","17.0388435089235","33.2136770422343","5.4349502336375"
"4","M31","1","down","1","25","30.3077715925919","48.2249585093847","6.90415292189064"
"5","M31","1","down","1","30","46.444324936775","67.5594307845842","7.1210942092451"
"6","M31","1","up","2","30","39.1662081097073","50.9546488117069","5.94637808217517"
"7","M31","1","up","2","35","48.0359349902289","64.5560668352834","4.52926872573066"
"8","M31","1","up","2","40","38.7939415535468",NA,"1.7996851375323"
"9","M31","2","down","3","15","2.48769762418286",NA,"0.982883578235946"
"10","M31","2","down","3","20","11.5492062306206","23.0493013340431","3.63659201760284"
"11","M31","2","down","3","25","24.2300404205932","40.7627653904603","5.47198401930118"
"12","M31","2","down","3","30","39.4945752119426","59.4533970925937","5.99786622584046"
"13","M31","2","up","4","30","25.3915274249918","42.7286005352052","3.73751971910932"
"14","M31","2","up","4","35","31.192769243602","43.7829583655955","2.76234422060569"
"15","M31","2","up","4","40","14.9023647461048","19.0903192943812","0.245889585621714"
"16","M31","3","down","5","10","6.89050001293268","17.3575361513335","3.45351233830912"
"17","M31","3","down","5","15","14.9259583994009","33.734264836138","6.25133543041419"
"18","M31","3","down","5","20","31.896211400525","60.0940686588596","10.1561260395331"
"19","M31","3","down","5","25","63.4329687471646","98.7224322245941","14.6282639560383"
"20","M31","3","down","5","30","104.903571570972","142.457356509753","16.5001149674713"
"21","M31","3","up","6","30","75.2116039572807","100.195953589534","11.7342840560944"
"22","M31","3","up","6","35","104.125810579895","120.801941990712","10.3918295119172"
"23","M31","3","up","6","40","85.1884214808377","68.0134151091982","4.82605643295134"
