Plant,Date,Temp,mL_acet_cor,mL_acet_error,dE/dt_SNF,dE/dt_SNF_SE
1,7/24/2019,20,0,0,0,0.283656734
1,7/24/2019,20,250,10,572.2456384,1.023545929
1,7/24/2019,20,484,10,1057.475831,1.435476045
1,7/24/2019,20,637,10,1464.43913,1.316459555
1,7/24/2019,20,816,10,1803.267854,2.979535813
1,7/24/2019,20,1227,10,2160.849411,3.666119917
1,7/24/2019,20,1672,20,2329.51913,3.663083476
1,7/24/2019,20,2478,20,2333.494052,3.653545843
1,7/24/2019,20,3305,30,2277.34181,4.00138724
1,7/24/2019,20,4097,30,2207.141392,4.204582858
2,7/24/2019,20,0,0,0,0.309290486
2,7/24/2019,20,244,10,116.1711146,0.996827241
2,7/24/2019,20,420,10,280.6651418,1.053211093
2,7/24/2019,20,662,10,463.7436679,1.229479792
2,7/24/2019,20,821,10,615.911052,1.070181144
2,7/24/2019,20,1221,10,740.3093012,1.147621597
2,7/24/2019,20,1656,20,840.7310852,3.383396784
2,7/24/2019,20,2493,20,856.4356697,3.611342316
2,7/24/2019,20,3237,30,869.2890213,3.55834123
2,7/24/2019,20,4023,30,840.8168911,3.94792231
3,8/9/2019,19.9,0,0,0,0.317642124
3,8/9/2019,19.9,263,10,120.0482664,1.065829935
3,8/9/2019,19.9,457,10,366.6386697,1.387720293
3,8/9/2019,19.9,645,10,657.5381927,1.587964817
3,8/9/2019,19.9,822,10,942.6188248,1.649660029
3,8/9/2019,19.9,1223,10,1318.886073,2.941620444
3,8/9/2019,19.9,1648,20,1614.54153,3.834535796
3,8/9/2019,19.9,2509,20,1777.605938,4.040945964
3,8/9/2019,19.9,3293,30,1917.590951,4.474160291
3,8/9/2019,19.9,4091,30,1865.066957,4.2504566
4,8/17/2019,25.2,0,0,0,1.233541982
4,8/17/2019,25.2,252,10,113.7942762,1.304496964
4,8/17/2019,25.2,458,10,239.4408233,1.581691505
4,8/17/2019,25.2,642,10,341.5482822,2.048140074
4,8/17/2019,25.2,842,10,474.4038159,3.913744457
4,8/17/2019,25.2,1196,10,520.7374531,1.697582313
4,8/17/2019,25.2,1652,20,569.4462412,2.047775454
4,8/17/2019,25.2,2495,20,585.2238192,3.481929588
4,8/17/2019,25.2,3286,30,580.4340178,3.648321078
4,8/17/2019,25.2,4040,0,584.8336692,3.686062913
5,9/18/2019,29.7,0,10,0,0.281556344
5,9/18/2019,29.7,223,10,54.05083,0.790777489
5,9/18/2019,29.7,471,10,140.98005,0.878290511
5,9/18/2019,29.7,638,10,217.26445,0.841187067
5,9/18/2019,29.7,834,10,294.16165,0.898494258
5,9/18/2019,29.7,1238,10,350.23635,0.891116938
5,9/18/2019,29.7,1677,20,391.16365,0.919439245
5,9/18/2019,29.7,2439,20,416.81305,1.048268565
5,9/18/2019,29.7,3316,30,400.17805,3.13552701
5,9/18/2019,29.7,4013,30,379.27045,3.088182209
6,10/22/2019,33.7,0,0,0,0.265567811
6,10/22/2019,33.7,217,10,262.432822,1.18212149
6,10/22/2019,33.7,425,10,577.2492072,1.266525569
6,10/22/2019,33.7,658,10,778.2343382,1.340762532
6,10/22/2019,33.7,824,10,925.6933873,3.303088223
6,10/22/2019,33.7,1253,10,1061.74553,3.391801279
6,10/22/2019,33.7,1736,20,1128.764259,3.729446663
6,10/22/2019,33.7,2498,20,1096.383625,3.740850224
6,10/22/2019,33.7,3333,30,1030.615206,3.878654461
6,10/22/2019,33.7,4013,30,972.7840938,3.45977392
