Curve,CO2S,Ci,Tleaf,Photo,PARi,Direction
20,381.5602698,273.0935316,19.99858095,11.27865591,1500,down
20,285.9322259,203.4374496,20.00298571,8.624071953,1500,down
20,191.059278,137.6322183,20.00730476,5.46888075,1500,down
20,96.88445454,78.50730399,19.99786667,1.853189779,1500,down
20,49.8488667,49.08452965,19.99992857,-0.021350877,1500,down
20,381.3972698,279.7155354,19.99482857,11.31688666,1500,down
20,478.2738863,361.5552033,19.9982619,13.14209268,1500,down
20,576.1554561,449.493333,19.99788095,14.28768466,1500,down
20,773.8367402,630.306051,20.0106381,15.39380976,1500,down
20,972.628073,816.7213831,19.99702857,15.78013651,1500,down
20,1171.681882,1003.070421,20.00057143,16.08227266,1500,down
15,386.9150364,264.9538519,14.99767619,8.08483081,1500,down
15,289.7336579,193.7720564,14.99727143,6.345079275,1500,down
15,193.3458038,131.5451394,15.00305714,4.097127042,1500,down
15,97.38072638,73.25797058,14.98588571,1.584776039,1500,down
15,49.5579378,45.67528566,14.98934286,0.214236257,1500,down
15,386.7205602,273.426936,14.99357143,8.144151359,1500,down
15,485.025035,359.1247358,14.99974762,9.102677162,1500,down
15,584.0238439,452.3858381,14.99374762,9.587221235,1500,down
15,783.4007484,645.8452824,15.00446667,9.734846464,1500,down
15,982.7189864,843.7085887,15.00235714,9.821183323,1500,down
15,1182.249986,1039.373054,14.99758571,9.801570111,1500,down
10,390.814421,296.467486,9.987364762,5.59965494,1500,down
10,292.3444222,213.6617509,9.99469619,4.702573319,1500,down
10,194.5860431,139.1244616,9.998934286,3.334276209,1500,down
10,97.57852182,73.0359264,9.99434619,1.465599589,1500,down
10,49.34820429,43.05262042,9.991940476,0.35070886,1500,down
10,391.081707,302.0428187,9.996475238,5.389215681,1500,down
10,491.0512784,401.7004219,9.997518571,5.358150805,1500,down
10,590.7399926,499.4868996,9.99103619,5.435639878,1500,down
10,790.5315642,698.2694766,9.99379381,5.322364227,1500,down
10,990.2674213,895.3485356,10.0003319,5.323327038,1500,down
10,1189.949517,1093.159955,10.06958095,5.239149915,1500,down
20,384.3406053,220.2797614,19.99199048,10.15771827,1500,up
20,288.4371327,168.1722805,19.99775238,7.500115284,1500,up
20,192.8378033,118.3076808,19.99802857,4.610846805,1500,up
20,97.53959791,72.37339462,20.00150952,1.547836863,1500,up
20,49.81123802,47.9828179,19.99544286,0.059119219,1500,up
20,383.5695095,235.5389517,19.99668571,10.60830671,1500,up
20,480.0282683,309.5109436,20.00561429,12.87138167,1500,up
20,577.7709332,395.5850685,20.00526667,14.19154246,1500,up
20,776.1262178,578.4254487,20.01179524,15.01976381,1500,up
20,975.4222175,760.5663555,19.99956667,15.2368104,1500,up
20,1175.183313,937.9635031,19.99787143,15.28360706,1500,up
25,380.7283639,237.1903082,25.00542381,12.42322518,1500,up
25,285.9369875,183.4085509,25.00764286,9.045913517,1500,up
25,191.4663734,128.9053776,25.00662381,5.457151361,1500,up
25,97.26563102,77.88019211,24.99297619,1.685868147,1500,up
25,50.136886,51.16173525,24.99279524,-0.208842447,1500,up
25,380.0162682,266.7186137,24.96352857,12.70258487,1500,up
25,475.5909787,338.317359,25.00156667,15.47855765,1500,up
25,572.4304997,415.0593402,24.98964762,17.43515823,1500,up
25,768.5983539,584.2769868,25.00145238,19.65346515,1500,up
25,966.8719718,760.3132129,25.01735238,20.47638928,1500,up
25,1165.586161,936.6760076,25.02833333,21.07470234,1500,up
25,1364.81378,1115.534058,25.05892857,21.34243671,1500,up
30,381.010983,249.7310522,29.9981,12.14222067,1500,up
30,286.5045594,192.9811391,30.01535714,8.610954669,1500,up
30,192.195755,140.2987713,29.99573333,4.937133526,1500,up
30,98.01171269,85.30708131,29.99551905,1.141964449,1500,up
30,50.82593903,55.41075532,29.97672381,-0.667342947,1500,up
30,380.5542686,277.7111072,30.00710952,12.25350549,1500,up
30,475.7293119,341.4249571,30.00858095,15.35412518,1500,up
30,571.6450224,403.1912497,30.01263333,18.00691264,1500,up
30,765.3955885,556.6625845,29.99895238,21.82074172,1500,up
30,961.3180137,724.8790849,30.00520476,24.22811091,1500,up
30,1158.33044,883.8397765,30.00283333,25.9572698,1500,up
30,1356.419486,1045.127667,30.01885238,27.10021323,1500,up
35,385.217701,262.4207869,34.96813333,9.308331796,1500,up
35,289.8044195,202.0467891,35.01907619,6.394312988,1500,up
35,194.4502333,149.3072135,35.00559048,3.389136902,1500,up
35,99.09814231,92.47221906,34.99920952,0.387576388,1500,up
35,51.50569688,62.41795437,35.00060476,-1.152598179,1500,up
35,384.293748,278.6226904,35.01465714,9.755524951,1500,up
35,479.8657916,340.5450202,35.00158095,12.57924445,1500,up
35,576.015312,403.618605,34.99720476,14.97200607,1500,up
35,769.7078778,535.5303024,35.01673333,18.93049709,1500,up
35,965.0690167,688.7046397,35.0014619,21.70319749,1500,up
35,1161.388061,867.9754012,34.84542857,23.72525001,1500,up
35,1358.727583,977.873882,35.0497619,25.50655928,1500,up
40,394.3045192,300.6026315,40.05015714,3.199522974,1500,up
40,296.3064734,239.8408109,39.98189048,1.948128683,1500,up
40,198.4808562,175.7010175,40.04117619,0.630331436,1500,up
40,100.6109056,108.9023198,40.02934286,-0.609200665,1500,up
40,51.72783995,73.41237309,39.95877619,-1.279861349,1500,up
40,393.6112332,313.6018093,40.0381381,3.40425316,1500,up
40,491.8576127,385.4326916,39.9560381,4.414158069,1500,up
40,590.1180874,454.7548573,40.01843333,5.412628956,1500,up
40,787.3468949,612.9147188,39.86585714,6.845904737,1500,up
40,985.158036,770.463377,40.02472381,8.023146173,1500,up
40,1183.266654,936.0758264,40.0287381,8.841017711,1500,up
40,1381.657605,1103.965437,40.03610952,9.58508135,1500,up
