Curve,CO2S,Ci,Tleaf,Photo,PARi,Direction
20,379.9035538,243.461577,20.00698095,10.98328986,1500,down
20,285.001844,180.2434712,20.00474286,8.207203282,1500,down
20,190.5893251,124.9471488,20.00450476,5.133949824,1500,down
20,96.57273997,73.75925643,19.99791905,1.80137107,1500,down
20,49.62313313,47.19929421,20.00061429,0.130280595,1500,down
20,379.1897439,259.9814937,19.98103333,11.27878435,1500,down
20,475.3470739,337.3313225,19.99687143,13.29377071,1500,down
20,572.7307385,419.2406186,20.00013333,14.63727304,1500,down
20,769.140069,589.8498266,20.0042,16.36470129,1500,down
20,967.2244011,769.5662142,20.00612381,17.16329162,1500,down
20,1166.01521,954.0257969,20.00844762,17.54511036,1500,down
20,1365.287591,1139.758004,19.99151905,17.68762023,1500,down
15,383.6088432,262.6365372,14.99679524,8.898576093,1500,down
15,287.1814652,192.0314777,14.99889048,6.96823544,1500,down
15,191.4803737,128.2919914,14.99519524,4.634208955,1500,down
15,96.59682096,71.57754879,15.00127143,1.809088786,1500,down
15,49.34314715,44.69264248,14.99274762,0.297030764,1500,down
15,383.6685576,271.0151199,14.99582857,8.822799485,1500,down
15,481.4713178,356.7578449,14.99597143,9.900612164,1500,down
15,580.0651738,447.1864105,15.00579524,10.57321862,1500,down
15,778.4928873,638.2082263,15.00141905,11.12194359,1500,down
15,977.6933156,832.8711399,15.00200952,11.23220258,1500,down
15,1177.071411,1025.373311,15.00394286,11.28812861,1500,down
10,389.5258961,299.8369939,10.0012181,5.61570615,1500,down
10,291.2899927,216.476751,9.990684762,4.709231604,1500,down
10,193.6799947,139.3935597,9.990450476,3.433032458,1500,down
10,97.13861666,72.61950112,9.990809048,1.541061792,1500,down
10,49.26676134,43.04399025,10.00451762,0.364085569,1500,down
10,389.9217536,305.2262652,9.99538381,5.388447905,1500,down
10,489.1051816,398.4782719,9.986179524,5.743106435,1500,down
10,588.6067051,494.5874626,9.988874762,5.920926157,1500,down
10,787.9668478,689.2761609,10.00260429,6.058047797,1500,down
10,987.6479907,887.3968322,10.00067714,5.995966523,1500,down
10,1187.3038,1084.735813,9.992971905,5.968597078,1500,down
20,366.7546858,271.1673698,20.00498095,17.14421079,1500,up
20,274.3260733,201.0467995,20.004,13.26531831,1500,up
20,183.3904144,136.1752817,20.00356667,8.563984711,1500,up
20,93.76876627,76.32202238,19.99489048,3.117270083,1500,up
20,49.21682342,47.12384816,19.9971619,0.236818515,1500,up
20,367.3079723,282.8711369,19.99592857,16.68930369,1500,up
20,462.5531591,367.6245327,20.0073619,18.92419002,1500,up
20,559.7775382,458.7430424,20.00007143,20.03116709,1500,up
20,756.5131556,646.0878803,19.9976,21.03516127,1500,up
20,954.659298,836.3287295,20.01092857,21.34641977,1500,up
20,1153.306631,1028.254395,20.02136667,21.40694993,1500,up
25,366.28378,261.7179057,25.00619048,17.51500629,1500,up
25,274.7966922,195.8758859,25.01114286,13.07613127,1500,up
25,184.3683674,136.409128,25.00207143,8.053186845,1500,up
25,94.73520519,79.35764545,24.99064286,2.570955647,1500,up
25,50.19692907,50.7235704,25.00219524,-0.29459732,1500,up
25,365.6267798,277.2126834,24.99709048,17.59587027,1500,up
25,458.60025,351.5526814,25.0237,21.12940995,1500,up
25,553.8246749,432.0976066,25.01439048,23.43462045,1500,up
25,748.248766,608.9761897,25.01470476,25.81981919,1500,up
25,945.5560027,795.633078,24.99834286,26.60648916,1500,up
25,1143.721383,984.969617,25.01841429,26.992061,1500,up
30,365.5378268,272.3102614,29.98950952,17.71524003,1500,up
30,275.0412162,206.4617902,30.01128095,12.79455308,1500,up
30,185.4068921,145.68656,29.99643333,7.388897869,1500,up
30,96.04555882,86.01668235,29.98302857,1.798387523,1500,up
30,51.55940666,55.32235498,29.99082381,-1.106387803,1500,up
30,365.2482079,285.683445,30.00705238,17.60183939,1500,up
30,456.6266765,354.4820753,30.01900952,22.00790285,1500,up
30,549.2846701,427.8068203,30.0123619,25.73953453,1500,up
30,738.2044228,588.3823814,30.00771429,31.08280682,1500,up
30,930.6654168,759.7577567,30.01344762,34.49726558,1500,up
30,1124.62946,931.4506328,30.01445714,37.12563725,1500,up
30,1321.239934,1109.899955,30.00016667,38.46641899,1500,up
35,371.2506893,266.5952851,35.00619524,14.31066375,1500,up
35,279.8327921,206.2705841,35.01605238,9.960253216,1500,up
35,188.8441812,149.1291501,35.00208571,5.326985273,1500,up
35,98.1844705,92.05021386,34.9923,0.534294477,1500,up
35,52.89922231,62.07831265,34.98077619,-1.872618703,1500,up
35,370.6479273,279.6275329,35.01519524,14.39541923,1500,up
35,462.2355388,342.3404221,34.99501429,18.64384208,1500,up
35,554.6304847,407.9174817,35.0035,22.40498649,1500,up
35,742.451284,552.7579835,35.00577619,28.25129935,1500,up
35,933.1779908,706.8977932,34.89121905,32.59013037,1500,up
35,1125.943747,860.8185834,34.96676667,35.80302556,1500,up
35,1320.136124,1017.463818,35.02425238,38.2820372,1500,up
40,382.9735575,302.2578532,40.01662857,7.8313953,1500,up
40,288.7478959,235.8970125,40.0376,5.006948028,1500,up
40,194.8409488,171.067868,40.01611429,2.004408237,1500,up
40,100.8663826,104.5951218,39.9725381,-0.907664652,1500,up
40,53.76833271,70.42833764,40.00031429,-2.337715502,1500,up
40,383.5761299,312.498412,39.82109048,7.352277635,1500,up
40,478.4502208,382.3585179,39.89089524,9.776629819,1500,up
40,574.1766458,456.0246089,40.00177143,11.74561019,1500,up
40,767.1469263,617.0885912,39.9105381,14.75996069,1500,up
40,962.0852077,769.7565493,39.82414286,17.11008179,1500,up
40,1157.258539,957.7154452,40.04721429,18.52026031,1500,up
40,1354.173775,1137.917055,40.03246667,19.37146341,1500,up
