Curve,CO2S,Ci,Tleaf,Photo,PARi,Direction
25,372.021219,291.6526969,24.99962381,12.42166494,1500,down
25,278.7800332,217.9836578,25.00714286,9.421717379,1500,down
25,186.9413721,149.5226966,25.00258571,5.755691445,1500,down
25,141.1932323,116.8475226,24.98824762,3.809666442,1500,down
25,95.69309253,84.25544078,24.9839619,1.765780689,1500,down
25,50.30082909,51.11545916,24.9966381,-0.336113939,1500,down
25,373.2998394,308.4695434,24.95243333,11.58091356,1500,down
25,468.6345506,388.9031676,25.03504762,13.54035442,1500,down
25,566.205597,479.3158955,25.03325238,14.40334658,1500,down
25,763.5512626,667.0291812,25.0099,15.04922203,1500,down
25,962.4147866,862.6282501,24.99584286,14.92928269,1500,down
25,1161.094263,1055.15195,25.00789524,14.9756046,1500,down
25,1360.043311,1249.983645,24.99589524,14.83033641,1500,down
20,378.4665093,289.4511236,19.98021429,9.637103842,1500,down
20,283.1666077,213.5475064,19.99951429,7.559651678,1500,down
20,189.137945,144.2162355,19.97836667,4.864569368,1500,down
20,142.532995,112.1408281,19.97828095,3.306032141,1500,down
20,96.07619746,80.45151507,20.01062857,1.685617513,1500,down
20,49.85119055,49.31375278,20.0076381,-0.051415365,1500,down
20,378.8615574,304.9153354,19.97560952,9.283980574,1500,down
20,476.2057939,392.3186582,20.02591905,10.34572105,1500,down
20,575.4354127,485.6982234,20.0157,10.50947189,1500,down
20,774.2908888,676.8904738,19.98799048,10.60619585,1500,down
20,973.80927,869.9671347,20.00238571,10.47885749,1500,down
20,1173.527127,1064.846538,19.99212857,10.25211439,1500,down
20,1372.869985,1259.835349,19.92280476,10.15886711,1500,down
15,384.7650854,314.6849604,15.0018619,6.645051527,1500,down
15,287.3242774,227.8813855,15.00531429,5.603812677,1500,down
15,191.1074227,148.9767325,15.00522857,3.96023612,1500,down
15,143.6121387,113.4287489,14.99645714,2.828337107,1500,down
15,96.35469765,79.21000117,14.99521429,1.58627035,1500,down
15,49.43615212,46.82980402,14.99027143,0.175326533,1500,down
15,385.0509904,318.66221,14.99345714,6.49252048,1500,down
15,483.9675614,414.7938636,14.99854286,6.795854679,1500,down
15,583.4578471,513.1523643,14.9984,6.800434689,1500,down
15,782.9415141,710.7709193,14.99418095,6.591510261,1500,down
