Meas,Time,Temperature,Vmax
1,0.150463333,9.7,229.4042616
2,0.150848889,9.7,229.4463151
3,0.151213611,9.7,228.1795614
4,0.151466944,9.7,226.9933511
5,0.151717222,9.7,227.1793886
6,0.151968333,9.7,225.4637838
7,0.152218889,9.7,222.7596596
8,0.152597778,9.7,220.2577598
9,0.152957222,9.7,219.6868013
10,0.153207222,9.7,220.3075055
11,0.153459444,9.7,221.1137109
12,0.153708056,9.7,220.3383242
13,0.153959444,9.7,218.704966
14,0.154335,9.7,216.3955606
15,0.154700556,9.7,217.1775596
16,0.154949722,9.7,216.3980948
17,0.155200278,9.7,214.8113427
18,0.155451944,9.7,217.0547901
19,0.155701944,9.7,220.561052
20,0.156083333,9.7,223.8410093
21,0.156445,9.7,223.3907643
22,0.156694167,9.7,222.2084973
23,0.156942778,9.7,220.3224426
24,0.157192222,9.7,220.6813892
25,0.157439722,9.7,222.5066038
26,0.157821944,9.7,223.9499525
27,0.158185556,9.7,223.0644329
28,0.158434722,9.7,222.9848207
29,0.158684444,9.7,221.7954348
30,0.158933889,9.7,226.1575448
31,0.159181667,9.7,226.1282248
32,0.159558889,9.7,225.9390004
33,0.159919167,9.7,227.2252008
34,0.160170278,9.7,229.6924124
35,0.160421667,9.7,231.5641332
36,0.160674722,9.7,230.4454118
37,0.160923056,9.7,229.4928448
38,0.161300556,9.7,228.3432051
39,0.161661389,9.7,229.2779882
40,0.161911667,9.7,232.6290261
41,0.162163333,9.7,234.2228326
42,0.162411667,9.7,235.5137028
43,0.16266,9.7,237.6521765
44,0.163042222,9.7,239.2470371
45,0.163409444,9.7,241.516057
46,0.163657778,9.7,242.0852939
47,0.163905,9.7,238.2443987
48,0.164156944,9.7,238.5446262
49,0.164408889,9.7,234.8590499
50,0.164789167,9.7,231.2638625
51,0.165154722,9.7,229.1181916
52,0.165404444,9.7,231.6633416
53,0.165653333,9.7,230.444385
54,0.165901944,9.7,230.8119726
55,0.166155278,9.7,229.1625367
56,0.16653,9.7,227.5634318
57,0.166888056,9.701328333,229.0128466
58,0.167135556,9.702813333,231.2661516
59,0.167385833,9.704315,231.9725162
60,0.167636667,9.70582,233.9632995
61,0.167888333,9.70733,234.1280362
62,0.168259722,9.709558333,234.1222428
63,0.168616944,9.711701667,233.5523612
64,0.168868056,9.713208333,232.9002533
65,0.169123889,9.714743333,231.5449264
66,0.169379167,9.716275,235.9788724
67,0.169633889,9.717803333,236.5399257
68,0.170015,9.72009,236.5855636
69,0.170379444,9.722276667,232.6578159
70,0.170629722,9.723778333,232.5737011
71,0.170881944,9.725291667,233.8323171
72,0.171135278,9.726811667,231.3139929
73,0.171388333,9.72833,232.5880926
74,0.171761111,9.730566667,233.249647
75,0.172116667,9.7327,232.9415442
76,0.172363889,9.734183333,232.7700558
77,0.172614444,9.735686667,231.7932006
78,0.172864167,9.737185,233.8841471
79,0.173114444,9.738686667,232.0024045
80,0.173493611,9.740961667,229.9838691
81,0.1738525,9.743115,227.9700732
82,0.174098333,9.74459,225.5022395
83,0.174346111,9.746076667,225.3456441
84,0.174593056,9.747558333,223.4659784
85,0.174843056,9.749058333,220.9500038
86,0.175210556,9.751263333,218.6841797
87,0.175568333,9.75341,217.6143019
88,0.175814722,9.754888333,215.1886117
89,0.176064722,9.756388333,212.7760061
90,0.176314444,9.757886667,212.3899355
91,0.176567222,9.759403333,212.4425369
92,0.176946389,9.761678333,212.381649
93,0.1773075,9.763845,209.363464
94,0.177555,9.76533,212.0192192
95,0.177807222,9.766843333,212.6575569
96,0.178058611,9.768351667,217.1459069
97,0.178310833,9.769865,222.2800197
98,0.178691667,9.77215,227.0969538
99,0.179050833,9.774305,226.5984993
100,0.179301389,9.775808333,226.6337996
101,0.179551944,9.777311667,225.6859536
102,0.179801944,9.778811667,220.3213221
103,0.180055,9.78033,220.8903929
104,0.180425,9.78255,220.7979288
105,0.180782222,9.784693333,221.0958015
106,0.181032778,9.786196667,222.7125925
107,0.181285833,9.787715,220.4713865
108,0.181535556,9.789213333,221.6640016
109,0.1817875,9.790725,219.3732105
110,0.182165833,9.792995,217.2115665
111,0.182526667,9.79516,219.3802234
112,0.182780556,9.796683333,218.9834482
113,0.183029167,9.798175,219.37226
114,0.183279722,9.799678333,219.5736479
115,0.18353,9.8,220.596548
116,0.183913611,9.8,221.4102676
117,0.1842775,9.8,219.1095941
118,0.184529444,9.8,216.9252211
119,0.184777222,9.8,217.3278099
120,0.185025833,9.8,216.4528687
