Meas,Time,Temperature,Vmax
1,2.933704444,11.30222667,82.4431594
2,2.933954444,11.30372667,83.84766021
3,2.934205833,11.305235,76.72968188
4,2.934456944,11.30674167,81.03546227
5,2.934784167,11.308705,83.46046389
6,2.935107778,11.31064667,78.78832245
7,2.935354444,11.31212667,87.66253576
8,2.935601111,11.31360667,87.18733431
9,2.9358475,11.315085,82.40269643
10,2.936093611,11.31656167,73.77182169
11,2.936428056,11.31856833,65.51579128
12,2.936751389,11.32050833,67.57508178
13,2.9369975,11.321985,63.44841751
14,2.937246667,11.32348,56.41304674
15,2.937493333,11.32496,46.5048901
16,2.937740278,11.32644167,43.14478769
17,2.938070833,11.328425,41.78533089
18,2.938395278,11.33037167,44.40812081
19,2.938641111,11.33184667,42.27637854
20,2.938886944,11.33332167,32.33093216
21,2.939133611,11.33480167,26.85032505
22,2.939380556,11.33628333,26.73295554
23,2.939703056,11.33821833,28.21153283
24,2.940023333,11.34014,34.47004683
25,2.940273056,11.34163833,38.265595
26,2.9405225,11.343135,27.50898017
27,2.940772222,11.34463333,24.12389934
28,2.941024167,11.346145,33.23088632
29,2.941359722,11.34815833,44.33851628
30,2.941684722,11.35010833,52.99825768
31,2.941930556,11.35158333,67.14067396
32,2.9421775,11.353065,61.33373893
33,2.942426667,11.35456,58.37111501
34,2.942675278,11.35605167,54.85848571
35,2.943005,11.35803,50.21832172
36,2.943329444,11.35997667,58.65295736
37,2.94358,11.36148,68.63970529
38,2.9438275,11.362965,62.39610809
39,2.944076111,11.36445667,51.99254378
40,2.944323889,11.36594333,58.76360415
41,2.944648333,11.36789,67.16453346
42,2.944968056,11.36980833,60.15052644
43,2.945213611,11.37128167,59.63148303
44,2.945462222,11.37277333,58.61592915
45,2.945709722,11.37425833,54.31773283
46,2.945959167,11.375755,46.33895421
47,2.946291111,11.37774667,37.15593516
48,2.946617778,11.37970667,39.46117528
49,2.946865,11.38119,48.90676567
50,2.947111389,11.38266833,45.60728662
51,2.947361111,11.38416667,33.66532141
52,2.947610278,11.38566167,20.63827468
53,2.9479375,11.387625,10.38649439
54,2.9482625,11.389575,12.56573616
