Meas,Time,Temperature,Vmax.og,Vmax.inst
1,0,11.30222667,82.4431594,82.4431594
2,0.00025,11.30372667,83.84766021,83.84766021
3,0.000501389,11.305235,76.72968188,76.72968188
4,0.0007525,11.30674167,81.03546227,81.03546228
5,0.001079722,11.308705,83.46046389,83.4604639
6,0.001403333,11.31064667,78.78832245,78.78832246
7,0.00165,11.31212667,87.66253576,87.66253578
8,0.001896667,11.31360667,87.18733431,87.18733433
9,0.002143056,11.315085,82.40269643,82.40269646
10,0.002389167,11.31656167,73.77182169,73.77182171
11,0.002723611,11.31856833,65.51579128,65.51579131
12,0.003046944,11.32050833,67.57508178,67.57508181
13,0.003293056,11.321985,63.44841751,63.44841753
14,0.003542222,11.32348,56.41304674,56.41304677
15,0.003788889,11.32496,46.5048901,46.50489013
16,0.004035833,11.32644167,43.14478769,43.14478771
17,0.004366389,11.328425,41.78533089,41.78533091
18,0.004690833,11.33037167,44.40812081,44.40812083
19,0.004936667,11.33184667,42.27637854,42.27637857
20,0.0051825,11.33332167,32.33093216,32.33093218
21,0.005429167,11.33480167,26.85032505,26.85032507
22,0.005676111,11.33628333,26.73295554,26.73295556
23,0.005998611,11.33821833,28.21153283,28.21153286
24,0.006318889,11.34014,34.47004683,34.47004686
25,0.006568611,11.34163833,38.265595,38.26559503
26,0.006818056,11.343135,27.50898017,27.5089802
27,0.007067778,11.34463333,24.12389934,24.12389936
28,0.007319722,11.346145,33.23088632,33.23088635
29,0.007655278,11.34815833,44.33851628,44.33851632
30,0.007980278,11.35010833,52.99825768,52.99825774
31,0.008226111,11.35158333,67.14067396,67.14067404
32,0.008473056,11.353065,61.33373893,61.333739
33,0.008722222,11.35456,58.37111501,58.37111508
34,0.008970833,11.35605167,54.85848571,54.85848578
35,0.009300556,11.35803,50.21832172,50.21832179
36,0.009625,11.35997667,58.65295736,58.65295743
37,0.009875556,11.36148,68.63970529,68.63970538
38,0.010123056,11.362965,62.39610809,62.39610818
39,0.010371667,11.36445667,51.99254378,51.99254385
40,0.010619444,11.36594333,58.76360415,58.76360423
41,0.010943889,11.36789,67.16453346,67.16453356
42,0.011263611,11.36980833,60.15052644,60.15052653
43,0.011509167,11.37128167,59.63148303,59.63148312
44,0.011757778,11.37277333,58.61592915,58.61592924
45,0.012005278,11.37425833,54.31773283,54.31773292
46,0.012254722,11.375755,46.33895421,46.33895429
47,0.012586667,11.37774667,37.15593516,37.15593523
48,0.012913333,11.37970667,39.46117528,39.46117535
49,0.013160556,11.38119,48.90676567,48.90676576
50,0.013406944,11.38266833,45.60728662,45.60728671
51,0.013656667,11.38416667,33.66532141,33.66532148
52,0.013905833,11.38566167,20.63827468,20.63827472
53,0.014233056,11.387625,10.38649439,10.38649441
54,0.014558056,11.389575,12.56573616,12.56573618
55,0.014806111,11.39106333,18.10180106,18.1018011
56,0.015052778,11.39254333,16.27303036,16.27303039
57,0.015303333,11.39404667,9.829473315,9.829473335
58,0.015555556,11.39556,20.54599692,20.54599697
59,0.015890556,11.39757,29.70016101,29.70016107
60,0.016216944,11.39952833,35.83604469,35.83604477
61,0.0164625,11.4,26.60653097,26.60653103
62,0.016711111,11.4,39.69120731,39.6912074
63,0.016958889,11.4,36.03893051,36.0389306
64,0.017205556,11.4,35.11323423,35.11323431
65,0.017534722,11.4,38.41345118,38.41345128
66,0.017861389,11.4,46.00907215,46.00907227
67,0.0181125,11.4,50.25434299,50.25434312
68,0.018361944,11.4,48.18133822,48.18133834
69,0.018610833,11.4,43.52485633,43.52485644
70,0.018859444,11.4,53.09656422,53.09656436
71,0.019186389,11.4,62.25498685,62.25498702
72,0.01951,11.4,69.34185833,69.34185852
73,0.019755833,11.4,70.62077813,70.62077832
74,0.020005278,11.4,69.09899548,69.09899568
75,0.020257222,11.4,68.9240195,68.92401969
76,0.020510556,11.4,62.72547655,62.72547673
77,0.020836667,11.4,56.41656761,56.41656777
78,0.021159167,11.4,55.09677585,55.09677601
