Meas,Time,Temperature,Vmax.og,Vmax.inst
1,0,8.805533333,NA,NA
2,0.000250556,8.81305,NA,NA
3,0.000595278,8.823391667,NA,NA
4,0.000932778,8.833516667,NA,NA
5,0.00118,8.840933333,NA,NA
6,0.001428056,8.848375,NA,NA
7,0.001675833,8.855808333,NA,NA
8,0.001923333,8.863233333,NA,NA
9,0.002258889,8.8733,NA,NA
10,0.002593056,8.883325,NA,NA
11,0.002843056,8.890825,NA,NA
12,0.003091389,8.898275,NA,NA
13,0.003343611,8.905841667,NA,NA
14,0.003592222,8.9133,NA,NA
15,0.003925556,8.9233,NA,NA
16,0.004253611,8.933141667,NA,NA
17,0.004501945,8.940591667,NA,NA
18,0.004751667,8.948083333,NA,NA
19,0.005004722,8.955675,NA,NA
20,0.005255,8.963183333,NA,NA
21,0.005593056,8.973325,NA,NA
22,0.005923889,8.98325,NA,NA
23,0.006173333,8.990733333,NA,NA
24,0.006421111,8.998166667,NA,NA
25,0.006669445,9.005616667,252.8489696,252.8489697
26,0.006923333,9.013233333,252.938573,252.9385731
27,0.007266111,9.023516667,253.4582546,253.4582547
28,0.007600556,9.03355,258.267513,258.2675131
29,0.007851945,9.041091667,261.4166681,261.4166682
30,0.008101389,9.048575,267.9470451,267.9470452
31,0.008352778,9.056116667,269.8470266,269.8470267
32,0.008600556,9.06355,266.8951439,266.895144
33,0.008943889,9.07385,263.514503,263.5145031
34,0.009276389,9.083825,270.00709,270.0070901
35,0.009524167,9.091258333,273.9633316,273.9633317
36,0.009771945,9.098691667,281.6953337,281.6953338
37,0.010023889,9.10625,280.9278033,280.9278034
38,0.010274445,9.113766667,283.7206794,283.7206795
39,0.010620833,9.124158333,285.2493836,285.2493837
40,0.010957778,9.134266667,287.3659422,287.3659423
41,0.011208056,9.141775,285.6528543,285.6528544
42,0.011456945,9.149241667,283.2807015,283.2807016
43,0.011704167,9.156658333,282.4524035,282.4524036
44,0.011954722,9.164175,282.591717,282.5917171
45,0.012300833,9.174558333,282.7686716,282.7686717
46,0.012638056,9.184675,280.7113295,280.7113296
47,0.012888333,9.192183333,280.2102183,280.2102184
48,0.0131425,9.199808333,283.0656675,283.0656676
49,0.01339,9.207233333,284.4085973,284.4085974
50,0.013637778,9.214666667,282.3751865,282.3751866
51,0.013983056,9.225025,279.8274933,279.8274935
52,0.014318333,9.235083333,277.1687467,277.1687469
53,0.014564445,9.242466667,274.5360536,274.5360538
54,0.014812778,9.249916667,271.3918718,271.391872
55,0.015066111,9.257516667,266.7398995,266.7398997
56,0.01532,9.265133333,261.5492075,261.5492077
57,0.015659722,9.275325,256.5459148,256.545915
58,0.015991389,9.285275,253.8483487,253.8483489
59,0.016239167,9.292708333,252.6580516,252.6580518
60,0.016485833,9.299913333,252.2583513,252.2583515
61,0.016735278,9.293926667,253.0693382,253.0693384
62,0.016986667,9.287893333,252.4927574,252.4927576
63,0.017322222,9.27984,251.8778012,251.8778014
64,0.017651945,9.271926667,249.40915,249.4091502
65,0.017899167,9.265993333,251.0909898,251.09099
66,0.018146945,9.260046667,250.2410813,250.2410815
67,0.018396667,9.254053333,250.9761491,250.9761493
68,0.018643333,9.248133333,251.3857056,251.3857058
69,0.018981111,9.240026667,250.6758486,250.6758488
70,0.019310278,9.232126667,248.7461572,248.7461574
71,0.019556945,9.226206667,246.9688439,246.9688441
72,0.019805556,9.22024,246.6350066,246.6350068
73,0.020055,9.214253333,248.8221222,248.8221224
74,0.020304167,9.208273333,245.5344929,245.5344931
75,0.020645278,9.200086667,241.5505693,241.5505695
76,0.020981389,9.19202,236.5562175,236.5562177
