Curve,CO2S,Ci,Tleaf,Photo,PARi,Direction
20,381.2846064,287.1189014,19.99574762,14.33258848,1500,down
20,285.8954667,214.9438188,20.00039048,10.79543666,1500,down
20,191.0800416,144.9359945,19.99874762,6.816306301,1500,down
20,96.82512652,80.24365201,20.00227619,2.320445537,1500,down
20,49.79535712,48.71821542,20.00002381,0.021788352,1500,down
20,381.7175591,285.8011693,20.00145714,14.04783565,1500,down
20,381.7111781,286.1279195,20.00193333,14.05925272,1500,down
20,478.2095567,365.1538246,20.0035381,16.6379852,1500,down
20,575.4400788,449.5756523,19.99812857,18.61525585,1500,down
20,773.0347918,637.3808429,19.99425238,19.98869727,1500,down
20,972.2325061,830.6551043,19.99596667,20.06287873,1500,down
20,1171.650935,1024.825393,20.00394286,19.9986205,1500,down
15,386.9449915,311.3463358,14.99691905,9.79282288,1500,down
15,289.4174693,229.5243475,15.00017143,7.953048209,1500,down
15,192.7561857,152.0778485,15.00600476,5.497582675,1500,down
15,96.92590755,79.97366388,14.99160476,2.267752908,1500,down
15,49.45877592,46.44692071,14.99421429,0.316745197,1500,down
15,387.7194207,321.9105395,14.9984381,9.074432791,1500,down
15,387.020325,319.3388261,14.9976619,9.607708432,1500,down
15,485.4797051,410.8818843,15.00057619,10.57726716,1500,down
15,584.1901807,504.9236773,15.00255238,11.29484678,1500,down
15,782.9083232,699.3240633,14.99577619,11.73169141,1500,down
15,981.9748945,894.6854668,14.99418095,11.81690941,1500,down
15,1181.395228,1092.438415,14.99296667,11.62797109,1500,down
10,393.6767105,353.650302,9.995359524,4.487859435,1500,down
10,294.6174252,260.5802974,9.995435238,3.906146121,1500,down
10,195.9683308,170.6584205,9.991568095,2.955129315,1500,down
10,98.04477975,85.8806342,9.990732857,1.414524897,1500,down
10,49.50235688,46.48186476,10.00511905,0.302977564,1500,down
10,394.4953777,360.0528769,9.997867619,3.819215705,1500,down
10,394.0599488,357.1281972,10.0006519,4.169937493,1500,down
10,493.458901,453.1757347,10.00117524,4.453506503,1500,down
10,593.0072818,550.2604245,9.995595714,4.639857271,1500,down
10,792.3055673,745.5077632,10.00399524,4.82987162,1500,down
10,991.9011865,943.5571108,10.00302952,4.69224696,1500,down
10,1191.680949,1142.092124,10.00689524,4.49877774,1500,down
20,384.0277509,256.1356053,20.00342381,7.679094964,1500,up
20,288.3343252,190.3811178,19.9988,5.629406119,1500,up
20,192.994519,133.1946792,20.00628095,3.353250524,1500,up
20,97.71497944,77.93901082,19.99388095,1.052357864,1500,up
20,50.00413343,50.10895138,19.99735714,-0.063942561,1500,up
20,384.7649894,256.8039052,20.00740476,7.337786315,1500,up
20,384.6055132,257.7194182,19.99405714,7.397874764,1500,up
20,481.1652727,328.0683078,20.00313333,9.054668853,1500,up
20,578.0077468,405.2244848,20.00755238,10.49337311,1500,up
20,773.6224106,569.3857918,19.99962381,12.47345974,1500,up
20,971.3012188,748.0988508,19.99138095,13.42695248,1500,up
20,1169.949028,921.8420219,20.00820476,13.96256512,1500,up
25,385.4603231,247.0526691,25.00082857,7.007351473,1500,up
25,289.6554689,193.4691525,25.02331429,4.963304337,1500,up
25,193.9674244,135.3214262,24.99319048,2.871606781,1500,up
25,98.37118465,83.03190546,24.99422381,0.727944297,1500,up
25,50.58857195,56.05884599,25.00087619,-0.358073589,1500,up
25,385.4730374,258.9511233,25.00281905,6.976242194,1500,up
25,385.2820849,256.6416678,25.00202857,7.067271705,1500,up
25,481.239463,319.825281,24.99782381,9.024646219,1500,up
25,577.5029842,387.4291881,25.0041,10.77046982,1500,up
25,771.8430755,527.8719511,24.99998095,13.500552,1500,up
25,968.7809782,672.2055969,25.00338095,14.88768878,1500,up
25,1167.408549,804.7442576,25.00428571,15.52083219,1500,up
25,1366.681881,927.2601743,24.99710952,15.98719779,1500,up
30,385.922609,249.531805,29.99041905,6.763464808,1500,up
30,290.2995169,193.6291883,30.01629048,4.657178067,1500,up
30,194.707282,146.2180525,30.02554762,2.484611112,1500,up
30,99.09618996,90.65158017,30.00006667,0.348585469,1500,up
30,51.34415826,63.64075681,30.00134762,-0.749375993,1500,up
30,385.8735614,263.6377373,29.99971905,6.755219271,1500,up
30,385.8097994,263.7836892,29.98843333,6.787943562,1500,up
30,481.2468438,325.9656704,29.99757143,8.973379225,1500,up
30,577.268079,387.8592616,29.99232857,10.89263982,1500,up
30,770.8741697,518.8442544,30.01378095,13.92903271,1500,up
30,966.294976,651.7358576,29.99630952,16.12961665,1500,up
30,1162.617116,753.9943353,30.00220952,18.01399509,1500,up
30,1360.060448,908.4536104,30.0088,19.10550823,1500,up
35,293.9471388,248.6340518,35.02577619,2.684032533,1500,up
35,197.2153791,162.3121547,34.9685,1.226703843,1500,up
35,100.5605719,109.9684952,35.00207143,-0.342395315,1500,up
35,52.1376732,67.79279392,34.98752857,-1.168550591,1500,up
35,390.8024696,282.8441078,35.00221905,4.342643329,1500,up
35,390.237136,293.1936017,35.0089,4.541048212,1500,up
35,486.9835147,371.0707372,34.97308095,6.010786353,1500,up
35,584.3592269,385.9597824,35.00433333,7.430915368,1500,up
35,779.0199374,535.8712143,35.00380476,9.913225484,1500,up
35,974.2967911,647.2673466,34.99945238,12.22285052,1500,up
35,1170.017121,795.8404276,35.00346667,14.20606876,1500,up
35,1365.993786,1004.381939,34.9857619,15.93012264,1500,up
40,297.8259034,261.5654643,40.23032857,0.8919043,1500,up
40,199.778429,198.3155395,40.5520619,-0.265245499,1500,up
40,102.180859,141.3764918,40.40051905,-1.202651347,1500,up
40,53.21361695,78.41268793,40.47966667,-1.728186934,1500,up
