Meas,Time,Temperature,Vmax
1,2.783644167,11.00000,157.2476864
2,2.783897778,11.00000,162.8480887
3,2.784224444,11.00000,168.4817298
4,2.784549722,11.00000,178.0118621
5,2.784798056,11.00000,184.5896323
6,2.785045556,11.00000,187.7753409
7,2.785296944,11.00000,187.9889983
8,2.785546667,11.00000,180.72097
9,2.785878333,11.00000,175.4410784
10,2.786204444,11.00000,169.3654436
11,2.786452778,11.00000,159.0191539
12,2.786700556,11.00000,155.2176034
13,2.786948056,11.00000,145.5148171
14,2.787195833,11.00000,148.4511076
15,2.787525556,11.00000,152.6043694
16,2.787848056,11.00000,160.9524749
17,2.788095,11.00000,164.8028832
18,2.788339722,11.00000,154.983047
19,2.788586389,11.00000,152.9969043
20,2.788832222,11.00000,150.2605393
21,2.789163889,11.00000,150.5929103
22,2.789491944,11.00000,164.6597836
23,2.789737778,11.00000,177.5316389
24,2.789987222,11.00000,171.4102628
25,2.790235833,11.00000,162.6998372
26,2.790485556,11.00000,154.0313281
27,2.790813056,11.00000,142.4763149
28,2.791136667,11.00000,140.053905
29,2.791388056,11.00000,134.9300824
30,2.791641111,11.00000,140.1679632
31,2.791890278,11.00000,126.5402998
32,2.7921375,11.00000,115.8210976
33,2.79247,11.00000,108.2245146
34,2.792794444,11.00000,114.594931
35,2.793040833,11.00000,110.9759349
36,2.793286944,11.00000,124.8813739
37,2.793537222,11.00000,127.1452045
38,2.79379,11.00000,132.2934115
39,2.794111111,11.00000,138.7918271
40,2.794429167,11.00000,134.3581882
41,2.794675833,11.00000,125.317462
42,2.794923611,11.00000,124.5968387
43,2.79517,11.00000,116.0337412
44,2.795418611,11.00000,123.9549125
45,2.795745556,11.00000,131.0877574
46,2.796070833,11.00000,148.0279542
47,2.796319444,11.00000,160.2554089
48,2.796564167,11.00000,153.2904336
49,2.79681,11.00000,163.3663377
50,2.797055833,11.00000,156.022088
51,2.797386667,11.00000,148.1533103
52,2.797712222,11.00000,150.133152
53,2.797961389,11.00000,151.3526849
54,2.798209722,11.00000,142.3082668
55,2.798461389,11.00000,134.3704968
56,2.79871,11.00000,138.5964509
57,2.799040556,11.00000,143.4211333
58,2.799366944,11.00000,141.8495113
59,2.799613611,11.00000,146.6517222
60,2.799863056,11.00000,143.0929236
61,2.800112222,11.00000,146.9176201
62,2.800364722,11.00000,138.9693712
63,2.800694444,11.00000,131.6203319
64,2.801019722,11.00000,131.2522064
65,2.801267222,11.00000,142.9618463
66,2.801513056,11.00000,151.7596892
67,2.801761944,11.00000,152.5043253
68,2.802010278,11.00000,147.0635611
