Meas,Time,Temperature,Vmax
1,0.533810556,10.6,203.1405269
2,0.534148056,10.6,202.3712891
3,0.534480833,10.6,200.3584458
4,0.534733056,10.6,196.2570198
5,0.534983333,10.6,198.6492264
6,0.535230278,10.6,206.0605013
7,0.5354825,10.6,205.59225
8,0.535823333,10.6,205.1260714
9,0.536153056,10.6,204.861432
10,0.536404444,10.6,203.3580267
11,0.536659167,10.6,198.671453
12,0.5369125,10.6,199.5964719
13,0.53716,10.6,200.2588001
14,0.537497222,10.6,201.169451
15,0.537828056,10.6,204.7073529
16,0.53808,10.6,199.5460978
17,0.538329444,10.6,203.1942741
18,0.53858,10.6,198.2952452
19,0.538831389,10.6,199.4266189
20,0.539163611,10.6,200.114668
21,0.539491111,10.6,206.263001
22,0.539743333,10.6,206.8443523
23,0.539994722,10.6,211.7090125
24,0.5402475,10.6,210.7515997
25,0.540501389,10.6,210.7613222
26,0.540835833,10.6,211.2043111
27,0.541162222,10.6,212.4073422
28,0.5414125,10.6,216.0638813
29,0.5416675,10.6,219.2791846
30,0.541918056,10.6,221.5897314
31,0.542170833,10.6,222.472012
32,0.542503611,10.6,222.6829397
33,0.542829722,10.6,219.1679668
34,0.543078333,10.6,215.9027326
35,0.543331389,10.6,216.8491275
36,0.543582778,10.6,216.8186166
37,0.543836667,10.6,215.5956021
38,0.544173889,10.6,214.4218351
39,0.544501111,10.6,216.9056872
40,0.544748611,10.6,217.8350766
41,0.544998333,10.6,219.8028771
42,0.545251111,10.6,222.4015825
43,0.545500556,10.6,222.7814994
44,0.545836111,10.6,223.0797308
45,0.546168611,10.6,226.4132484
46,0.546420833,10.6,228.5353791
47,0.546673611,10.6,226.2220387
48,0.546925833,10.6,226.5032716
49,0.54718,10.6,233.8719223
50,0.547519167,10.6,241.141978
51,0.54785,10.6,239.0093601
52,0.548100278,10.6,239.7901708
53,0.548350556,10.6,235.3960086
54,0.548601111,10.6,235.8928039
55,0.548850556,10.6,234.3733705
56,0.549188611,10.6,232.6553959
57,0.549519444,10.6,233.8725313
58,0.549768889,10.6,231.3958476
59,0.550017222,10.6,231.9629393
60,0.550267778,10.6,225.9957215
61,0.550517222,10.6,224.0293823
62,0.550855278,10.6,221.7734754
63,0.5511925,10.6,217.1038955
64,0.551446389,10.6,215.3999344
65,0.551693889,10.6,216.5399532
66,0.551943611,10.6,218.5462397
67,0.552198333,10.6,219.4835525
68,0.552536667,10.6,220.3931201
69,0.552867222,10.6,216.9505285
70,0.553117778,10.6,212.2082161
71,0.553367222,10.6,212.4481363
72,0.5536175,10.6,214.5618768
73,0.5538725,10.6,207.6921886
74,0.554218056,10.6,201.2383297
75,0.554550278,10.6,197.5767752
