Meas,Time,Temperature,Vmax.og,Vmax.inst
1,0,10.6,263.8307044,263.8307044
2,0.0003375,10.6,262.831895,262.831895
3,0.000670277,10.6,260.2182576,260.2182576
4,0.0009225,10.6,254.8925741,254.8925741
5,0.001172777,10.6,257.9989003,257.9989004
6,0.001419722,10.6,267.6225108,267.6225109
7,0.001671944,10.6,267.0145213,267.0145214
8,0.002012777,10.6,266.409236,266.4092361
9,0.0023425,10.6,266.0656485,266.0656486
10,0.002593888,10.6,264.1135052,264.1135053
11,0.002848611,10.6,258.0279993,258.0279995
12,0.003101944,10.6,259.2291778,259.229178
13,0.003349444,10.6,260.0892503,260.0892505
14,0.003686666,10.6,261.2717843,261.2717845
15,0.0040175,10.6,265.8658208,265.865821
16,0.004269444,10.6,259.163933,259.1639332
17,0.004518888,10.6,263.9011507,263.9011509
18,0.004769444,10.6,257.5397632,257.5397635
19,0.005020833,10.6,259.0088958,259.0088961
20,0.005353055,10.6,259.90238,259.9023803
21,0.005680555,10.6,267.8860849,267.8860852
22,0.005932777,10.6,268.6410114,268.6410117
23,0.006184166,10.6,274.9578493,274.9578497
24,0.006436944,10.6,273.714679,273.7146794
25,0.006690833,10.6,273.7273419,273.7273423
26,0.007025277,10.6,274.3026171,274.3026175
27,0.007351666,10.6,275.864813,275.8648134
28,0.007601944,10.6,280.6129004,280.6129008
29,0.007856944,10.6,284.788041,284.7880415
30,0.0081075,10.6,287.7883471,287.7883476
31,0.008360277,10.6,288.934037,288.9340375
32,0.008693055,10.6,289.2079816,289.2079821
33,0.009019166,10.6,284.6438054,284.6438059
34,0.009267777,10.6,280.403904,280.4039045
35,0.009520833,10.6,281.6328467,281.6328473
36,0.009772222,10.6,281.5932668,281.5932674
37,0.010026111,10.6,280.0052086,280.0052092
38,0.010363333,10.6,278.481111,278.4811116
39,0.010690555,10.6,281.7064711,281.7064717
40,0.010938055,10.6,282.9133322,282.9133328
41,0.011187777,10.6,285.4685831,285.4685838
42,0.011440555,10.6,288.8430725,288.8430732
43,0.01169,10.6,289.3364388,289.3364395
44,0.012025555,10.6,289.7237494,289.7237501
45,0.012358055,10.6,294.0524166,294.0524174
46,0.012610277,10.6,296.8080711,296.8080719
47,0.012863055,10.6,293.8042099,293.8042107
48,0.013115277,10.6,294.1694353,294.1694361
49,0.013369444,10.6,303.7377669,303.7377677
50,0.013708611,10.6,313.1780889,313.1780898
51,0.014039444,10.6,310.4089122,310.4089131
52,0.014289722,10.6,311.4228485,311.4228494
53,0.01454,10.6,305.7170098,305.7170107
54,0.014790555,10.6,306.3621476,306.3621485
55,0.01504,10.6,304.3891835,304.3891844
56,0.015378055,10.6,302.1584247,302.1584257
57,0.015708888,10.6,303.7389481,303.7389491
58,0.015958333,10.6,300.5229786,300.5229796
59,0.016206666,10.6,301.2593968,301.2593978
60,0.016457222,10.6,293.5109138,293.5109148
61,0.016706666,10.6,290.9576319,290.9576329
