Curve,CO2S,Ci,Tleaf,Photo,PARi,Direction
20,391.3895177,197.64039,19.99521429,5.187374396,1500,down
20,293.7935671,152.3385791,20.01639524,3.736523794,1500,down
20,196.2399973,109.37463,19.98837619,2.263067177,1500,down
20,147.4495697,91.91477729,19.99747619,1.521005939,1500,down
20,98.66397051,68.11695992,19.9959381,0.781270206,1500,down
20,50.00101432,50.0130914,19.99069524,-0.027613119,1500,down
20,391.2661367,202.9599662,19.99643333,5.286598586,1500,down
20,488.9551351,246.8631254,19.99353333,6.651346211,1500,down
20,586.9762765,308.9364643,19.99310952,7.840657501,1500,down
20,784.0090841,457.6315559,20.0054,9.562491773,1500,down
20,982.529845,629.1017453,19.99635714,10.35586028,1500,down
20,1181.749035,778.2606156,20.00044286,10.84128934,1500,down
20,1381.379987,980.163398,19.99320952,10.90055759,1500,down
15,393.4150907,217.1428222,14.9984381,3.956832147,1500,down
15,295.0624252,175.1122068,14.99795714,2.952050884,1500,down
15,196.9226169,117.9383382,14.98800476,1.836534817,1500,down
15,147.8112842,96.99513945,15.01719048,1.293744039,1500,down
15,98.7783468,70.77662573,14.98746667,0.715148296,1500,down
15,49.90937139,47.50605629,14.98298571,0.036313821,1500,down
15,393.3773764,241.7429383,14.99682381,3.949929123,1500,down
15,492.1762804,323.9211814,14.99111905,4.636662837,1500,down
15,591.3279465,402.8849434,15.00950952,5.127857133,1500,down
15,790.264803,578.0211411,15.00141905,5.698413366,1500,down
15,989.7495646,754.5059192,14.98883333,5.952319951,1500,down
15,1189.211898,955.0810322,14.99880476,6.139714195,1500,down
15,1389.22666,1151.827986,14.97689048,6.023800089,1500,down
10,396.8087598,303.9891964,10.02698571,1.852589717,1500,down
10,297.4330936,228.4894433,10.0069381,1.466764184,1500,down
10,198.1966655,145.471755,9.980924286,1.053155924,1500,down
10,148.7773802,116.4341569,9.99618619,0.668000443,1500,down
10,99.34241864,81.49081037,9.995591429,0.361959792,1500,down
10,49.96600476,48.98029523,9.998527143,0.001505824,1500,down
10,397.5085221,296.2115724,10.00841,1.508139416,1500,down
10,497.1017601,416.8389192,10.01171429,1.602190355,1500,down
