Plant,Date,Temp,mL_acet_cor,mL_acet_error,dE/dt_SNF,dE/dt_SNF_SE
1,12/10/2019,20.6,0,0,0,0.3
1,12/11/2019,20.6,217,0.5,182.1,0.9
1,12/12/2019,20.6,405,1,330.7,0.8
1,12/13/2019,20.6,605,1.5,466.4,3.4
1,12/14/2019,20.6,794,2,560.9,3.6
1,12/15/2019,20.6,1201,3,733.9,1.4
1,12/16/2019,20.6,1604,4,848.3,2.1
1,12/17/2019,20.6,2400,6,962.5,3.6
1,12/18/2019,20.6,3202,8,970.6,3.9
1,12/19/2019,20.6,4007,10,991.6,4.3
2,2/4/2020,25.7,0,0,0,0.4
2,2/4/2020,25.7,205,0.5,143.1,0.8
2,2/4/2020,25.7,402,1,254.7,0.9
2,2/4/2020,25.7,617,1.5,350.5,0.9
2,2/4/2020,25.7,834,2,440.3,0.9
2,2/4/2020,25.7,1229,3,560.6,1
2,2/4/2020,25.7,1617,4,634.4,3.3
2,2/4/2020,25.7,2418,6,720.3,3.4
2,2/4/2020,25.7,3228,8,757,3.5
2,2/4/2020,25.7,3987,10,759,3.9
3,2/11/2020,29.7,0,0,0,0.2
3,2/11/2020,29.7,202,0.5,234.1,0.9
3,2/11/2020,29.7,407,1,424.4,0.8
3,2/11/2020,29.7,610,1.5,595.8,0.8
3,2/11/2020,29.7,809,2,738.3,0.9
3,2/11/2020,29.7,1194,3,962.1,2.9
3,2/11/2020,29.7,1604,4,1121.9,2.9
3,2/11/2020,29.7,2408,6,1276.3,3.4
3,2/11/2020,29.7,3208,8,1328.5,4
3,2/11/2020,29.7,3987,10,1324.5,4.3
4,3/3/2020,34.7,0,0,0,0.3
4,3/3/2020,34.7,200,0.5,410,1.2
4,3/3/2020,34.7,405,1,704,0.9
4,3/3/2020,34.7,615,1.5,992.2,0.9
4,3/3/2020,34.7,799,2,1225.9,1
4,3/3/2020,34.7,1189,3,1591,2.5
4,3/3/2020,34.7,1599,4,1879.4,3.4
4,3/3/2020,34.7,2403,6,2206.2,3.7
4,3/3/2020,34.7,3203,8,2366.986462,3.853924381
4,3/3/2020,34.7,3987,10,2414.866,3.865211596
