Meas,Time,Temperature,Vmax
1,0.161371667,10.56823,47.41977115
2,0.161621111,10.56972667,45.98791148
3,0.161871389,10.57122833,46.85550382
4,0.162239722,10.57343833,47.80007847
5,0.162593056,10.57555833,53.66578119
6,0.1628425,10.577055,55.02046686
7,0.163091944,10.57855167,53.86768854
8,0.163340833,10.580045,54.12661023
9,0.16359,10.58154,56.74851901
10,0.163968333,10.58381,59.17886207
11,0.164329444,10.58597667,54.99344211
12,0.164578889,10.58747333,51.94664795
13,0.164825556,10.58895333,46.26873389
14,0.165075,10.59045,40.33013491
15,0.165328889,10.59197333,39.52510601
16,0.165708056,10.59424833,38.47074481
17,0.166068056,10.59640833,35.85451488
18,0.166315,10.59789,36.03091174
19,0.166564167,10.599385,36.15614616
20,0.166812222,10.6,31.92506839
21,0.167062222,10.6,32.72274946
22,0.167448889,10.6,33.64786437
23,0.167814444,10.6,27.63272278
24,0.168060278,10.6,28.48889522
25,0.168311667,10.6,27.71631984
26,0.168564722,10.6,28.88317469
27,0.168813889,10.6,28.19859236
28,0.169183056,10.6,27.22934272
29,0.169537778,10.6,24.63688535
30,0.169785278,10.6,19.94004749
31,0.170029444,10.6,19.75636709
32,0.170278611,10.6,17.65214586
33,0.170529167,10.6,14.40601817
34,0.170894444,10.6,11.61010629
35,0.171246667,10.6,10.34161096
36,0.171496111,10.6,12.51928257
37,0.171745556,10.6,15.19945247
38,0.171997222,10.6,21.18595784
39,0.172249444,10.6,22.13369351
40,0.172611667,10.6,22.42884977
41,0.172961389,10.6,24.97743035
42,0.17321,10.6,28.70953146
43,0.173459444,10.6,32.76632699
44,0.173711667,10.6,38.15936382
45,0.173961389,10.6,41.07255429
46,0.174349167,10.6,44.95096995
47,0.174716944,10.6,47.06419404
48,0.174966111,10.6,48.98570433
49,0.175216667,10.6,48.38690646
50,0.175466111,10.6,52.11246602
51,0.175717222,10.6,56.50742559
52,0.176083889,10.6,59.76845251
53,0.176438333,10.6,55.12787883
54,0.176688333,10.6,54.26396255
55,0.17694,10.6,52.93702511
56,0.177193056,10.6,50.54078284
57,0.177443333,10.6,54.30675791
58,0.177826111,10.6,58.32139725
59,0.178189167,10.6,56.3745543
60,0.178438611,10.6,57.92741785
61,0.178687778,10.6,56.65422947
62,0.178941667,10.6,56.71615106
63,0.179193056,10.6,57.07144596
64,0.179572222,10.6,57.37413777
65,0.179935278,10.6,58.84385649
66,0.180178056,10.6,59.56245893
67,0.180424722,10.6,56.58599687
68,0.180670833,10.6,59.82357913
69,0.180916389,10.6,57.33451526
70,0.181295,10.6,54.57749452
71,0.181661111,10.6,53.94852176
72,0.181909722,10.6,48.67285562
73,0.182160278,10.6,46.4012094
74,0.182410556,10.6,41.39162278
75,0.182663333,10.6,40.21860185
76,0.18303,10.6,39.39153585
77,0.183380833,10.600285,34.51226689
78,0.183629167,10.601775,36.92805568
79,0.1838825,10.603295,38.50137044
80,0.184131111,10.60478667,43.49403209
81,0.184382222,10.60629333,44.84204443
82,0.184754167,10.608525,45.3582466
83,0.1851125,10.610675,41.40321149
