Meas,Time,Temperature,Vmax
1,0.161371667,10.56823,36.68263973
2,0.161621111,10.56972667,35.57552632
3,0.161871389,10.57122833,36.24722817
4,0.162239722,10.57343833,36.97876707
5,0.162593056,10.57555833,41.51743445
6,0.1628425,10.577055,42.56609836
7,0.163091944,10.57855167,41.67488724
8,0.163340833,10.580045,41.87582998
9,0.16359,10.58154,43.90496576
10,0.163968333,10.58381,45.78630629
11,0.164329444,10.58597667,42.54899835
12,0.164578889,10.58747333,40.19226535
13,0.164825556,10.58895333,35.79966962
14,0.165075,10.59045,31.20524504
15,0.165328889,10.59197333,30.58282511
16,0.165708056,10.59424833,29.76768501
17,0.166068056,10.59640833,27.74391375
18,0.166315,10.59789,27.88082241
19,0.166564167,10.599385,27.97814864
20,0.166812222,10.6,24.70422987
21,0.167062222,10.6,25.3214873
22,0.167448889,10.6,26.03735331
23,0.167814444,10.6,21.38271877
24,0.168060278,10.6,22.04523807
25,0.168311667,10.6,21.44740188
26,0.168564722,10.6,22.35033268
27,0.168813889,10.6,21.82058727
28,0.169183056,10.6,21.07055987
29,0.169537778,10.6,19.06446555
30,0.169785278,10.6,15.42996574
31,0.170029444,10.6,15.2878285
32,0.170278611,10.6,13.65954278
33,0.170529167,10.6,11.14763021
34,0.170894444,10.6,8.984102617
35,0.171246667,10.6,8.002517275
36,0.171496111,10.6,9.687635867
37,0.171745556,10.6,11.76159575
38,0.171997222,10.6,16.39405352
39,0.172249444,10.6,17.12742508
40,0.172611667,10.6,17.35581851
41,0.172961389,10.6,19.327949
42,0.17321,10.6,22.21590757
43,0.173459444,10.6,25.35511919
44,0.173711667,10.6,29.52833511
45,0.173961389,10.6,31.78260481
46,0.174349167,10.6,34.78377797
47,0.174716944,10.6,36.41901713
48,0.174966111,10.6,37.90590697
49,0.175216667,10.6,37.44254261
50,0.175466111,10.6,40.32543315
51,0.175717222,10.6,43.72631489
52,0.176083889,10.6,46.24973833
53,0.176438333,10.6,42.65878347
54,0.176688333,10.6,41.99026625
55,0.17694,10.6,40.96345653
56,0.177193056,10.6,39.10920322
57,0.177443333,10.6,42.02336449
58,0.177826111,10.6,45.12994169
59,0.178189167,10.6,43.62343772
60,0.178438611,10.6,44.82505962
61,0.178687778,10.6,43.83984234
62,0.178941667,10.6,43.88775201
63,0.179193056,10.6,44.16267807
64,0.179572222,10.6,44.39689595
65,0.179935278,10.6,45.53417538
66,0.180178056,10.6,46.09023356
67,0.180424722,10.6,43.78700116
68,0.180670833,10.6,46.29227934
69,0.180916389,10.6,44.3662027
70,0.181295,10.6,42.23277495
71,0.181661111,10.6,41.74605925
72,0.181909722,10.6,37.66367586
73,0.182160278,10.6,35.90584212
74,0.182410556,10.6,32.02935629
75,0.182663333,10.6,31.12165367
76,0.18303,10.6,30.48165358
77,0.183380833,10.600285,26.70608729
78,0.183629167,10.601775,28.57588632
79,0.1838825,10.603295,29.79381222
80,0.184131111,10.60478667,33.65782556
81,0.184382222,10.60629333,34.70150827
82,0.184754167,10.608525,35.10176255
83,0.1851125,10.610675,32.04173755
84,0.185360833,10.612165,29.60928255
85,0.185608611,10.61365167,29.88326578
86,0.185860833,10.615165,27.60182174
87,0.186113056,10.61667833,26.1826534
88,0.186510278,10.61906167,25.00175615
89,0.186888611,10.62133167,21.30529091
90,0.187134444,10.62280667,19.01075412
91,0.187383056,10.62429833,23.13024314
92,0.187634444,10.62580667,26.92010514
93,0.187881944,10.62729167,25.6603881
94,0.188254444,10.62952667,24.68810942
95,0.188610278,10.63166167,26.56332367
