Meas,Time,Temperature,Vmax
1,0.966879444,10.00127667,13.57925031
2,0.967215833,10.003295,15.47333467
3,0.967545556,10.00527333,18.72721991
4,0.967793333,10.00676,16.24251653
5,0.968044444,10.00826667,14.01764433
6,0.968294722,10.00976833,15.02085432
7,0.9685425,10.011255,19.95030221
8,0.968880833,10.013285,23.87595085
9,0.969211389,10.01526833,23.65879493
10,0.969462778,10.01677667,27.70167406
11,0.9697175,10.018305,25.48697173
12,0.969968611,10.01981167,25.42262613
13,0.970211944,10.02127167,26.65485737
14,0.970546111,10.02327667,28.48135333
15,0.970877222,10.02526333,28.02477171
16,0.971124722,10.02674833,28.75785303
17,0.971375833,10.028255,26.4295293
18,0.971625556,10.02975333,22.81207
19,0.971875833,10.031255,20.73781798
20,0.972211111,10.03326667,18.38742442
21,0.972541944,10.03525167,19.20794663
22,0.972788611,10.03673167,24.8309384
23,0.973035556,10.03821333,29.09639945
24,0.973284722,10.03970833,29.80645687
25,0.973533333,10.0412,33.88988363
26,0.97388,10.04328,37.8736588
27,0.974220278,10.04532167,34.57424841
28,0.974473889,10.04684333,32.80586793
29,0.974726667,10.04836,29.92692821
30,0.974977222,10.04986333,31.90000661
31,0.975228611,10.05137167,34.335571
32,0.975574722,10.05344833,36.68134211
33,0.9759125,10.055475,38.18276419
34,0.976159722,10.05695833,34.41935841
35,0.976408056,10.05844833,38.11642029
36,0.976655,10.05993,43.7143624
37,0.9769025,10.061415,41.5281415
38,0.977241111,10.06344667,39.24567037
39,0.977576389,10.06545833,36.84675287
40,0.977824167,10.066945,35.82502104
41,0.978071667,10.06843,30.51298196
42,0.978319722,10.06991833,26.30452076
43,0.978570556,10.07142333,23.60592572
44,0.978911667,10.07347,20.79562183
45,0.9792425,10.075455,19.70096124
46,0.979490278,10.07694167,20.04521758
47,0.979741389,10.07844833,21.35413183
48,0.979993611,10.07996167,24.96120254
49,0.980245833,10.081475,27.13523419
50,0.980591111,10.08354667,29.50546071
51,0.980928056,10.08556833,31.31307077
52,0.981174167,10.087045,30.90760948
53,0.981421667,10.08853,27.34576837
54,0.981674722,10.09004833,30.20455754
55,0.981926111,10.09155667,27.43142958
56,0.982270556,10.09362333,24.63855262
57,0.982604722,10.09562833,28.60132367
58,0.982853611,10.09712167,33.22128658
