Curve,CO2S,Ci,Tleaf,Photo,PARi,Direction
30,388.7809922,301.8885879,30.01453333,6.441238989,1500,down
30,291.8410183,221.9367435,30.00642857,4.745679025,1500,down
30,195.2703202,154.9749424,30.01499048,2.705224078,1500,down
30,147.1370008,125.4473712,30.01995238,1.552513262,1500,down
30,98.99559552,91.0460255,29.99734286,0.47574722,1500,down
30,50.85582333,56.51811217,29.99244286,-0.644307406,1500,down
30,389.6631836,327.0906463,30.00207619,5.711171591,1500,down
30,487.7514294,397.8117674,30.00250476,6.873099114,1500,down
30,586.1972426,511.9930945,29.9336381,7.38281183,1500,down
30,785.4647308,662.0351025,30.0020381,7.995842793,1500,down
30,984.9549765,829.5691092,30.00179048,8.246959827,1500,down
30,1184.643757,1000.495755,29.99615238,8.451272788,1500,down
30,1384.290044,1200.59554,30.00139048,8.441349595,1500,down
25,391.8419944,305.0526693,24.99831429,4.684747223,1500,down
25,293.6417702,225.0363528,25.0001,3.665908725,1500,down
25,196.2207388,156.3954544,25.01107619,2.138282192,1500,down
25,147.4500325,122.2462959,25.00028095,1.420658016,1500,down
25,98.83928828,87.92253435,25.00105238,0.610700847,1500,down
25,50.38693215,53.80120949,24.98842857,-0.319461677,1500,down
25,393.2375195,341.9179639,25.0138,3.619660114,1500,down
25,491.8186848,434.6384567,25.0204,4.295266405,1500,down
25,591.184046,525.5186311,25.00840952,4.59277977,1500,down
25,790.504948,707.9273898,25.01200952,4.863002044,1500,down
25,990.3550787,885.626489,25.00734762,4.960216555,1500,down
25,1190.34367,1062.867646,25.0066381,4.977465157,1500,down
20,395.2081397,330.7118162,19.99255714,2.663929992,1500,down
20,296.2020324,244.2947755,19.99335714,2.13715579,1500,down
20,197.4612016,164.6997925,19.99445714,1.427647383,1500,down
20,148.2476147,126.5235852,19.97873333,0.967643518,1500,down
20,99.13131845,88.9724809,19.9823381,0.448958989,1500,down
20,50.1910976,52.22928714,19.98049524,-0.17468232,1500,down
20,395.8908547,359.2528513,19.9957,2.063216689,1500,down
20,495.5264622,459.1759447,19.99379524,2.094657024,1500,down
20,595.0834055,558.635471,19.99884286,2.145018284,1500,down
20,794.1976649,752.8129665,20.01842857,2.335453449,1500,down
20,993.7422878,945.1200249,20.03190952,2.360366035,1500,down
20,1193.508024,1131.585042,20.0102619,2.617277953,1500,down
15,398.3799038,357.4742259,14.9966,0.83302689,1500,down
15,298.7233116,267.3018583,14.99975714,0.649591237,1500,down
15,199.1536891,178.366783,14.99468095,0.430685271,1500,down
15,149.515132,138.440814,14.99298571,0.212021683,1500,down
15,99.84138437,96.92061081,14.99222857,0.026906741,1500,down
15,50.22560725,55.87195879,14.98787143,-0.183368957,1500,down
15,398.6302374,369.7468786,14.99944286,0.635907487,1500,down
15,498.5294809,469.2809491,14.99951429,0.634187452,1500,down
15,598.395849,569.2880394,14.99087143,0.626872951,1500,down
15,798.1076783,765.9854532,14.99660476,0.652037222,1500,down
15,997.7133455,964.4553099,14.99389524,0.611725647,1500,down
