Meas,Time,Temperature,Vmax.og,Vmax.inst
1,0,9.602606667,-12.43040584,-12.43040584
2,0.000337222,9.606653333,-11.75628216,-11.75628216
3,0.000669167,9.610636667,-15.93012438,-15.93012438
4,0.000915833,9.613596667,-17.26298834,-17.26298834
5,0.0011625,9.616556667,-14.61956152,-14.61956152
6,0.001407222,9.619493333,-15.21304469,-15.21304469
7,0.001655278,9.62247,-11.14722818,-11.14722818
8,0.001994722,9.626543333,-7.147349365,-7.147349365
9,0.002325556,9.630513333,-8.968314952,-8.968314952
10,0.002574167,9.633496667,-2.906235594,-2.906235594
11,0.002821944,9.63647,-1.776610253,-1.776610253
12,0.003075,9.639506667,0.12401667,0.12401667
13,0.0033275,9.642536667,-1.415930047,-1.415930047
14,0.003668889,9.646633333,-2.897665403,-2.897665403
15,0.004001667,9.650626667,-1.796889974,-1.796889975
16,0.004248333,9.653586667,-5.006621853,-5.006621853
17,0.004498611,9.65659,-4.607353686,-4.607353687
18,0.004746389,9.659563333,-8.97994989,-8.979949891
19,0.004993889,9.662533333,-9.891568871,-9.891568871
20,0.005335833,9.666636667,-10.65081362,-10.65081362
21,0.005671944,9.67067,-5.541057699,-5.5410577
22,0.005922222,9.673673333,-8.497200571,-8.497200572
23,0.006169167,9.676636667,-13.40229905,-13.40229905
24,0.006418333,9.679626667,-20.43658224,-20.43658224
25,0.006669444,9.68264,-19.92573968,-19.92573968
26,0.007003889,9.686653333,-19.64830226,-19.64830226
27,0.0073275,9.690536667,-20.75090641,-20.75090641
28,0.007575278,9.69351,-23.4159122,-23.4159122
29,0.007821111,9.69646,-21.27013598,-21.27013598
30,0.008069444,9.69944,-20.98861992,-20.98861992
31,0.008316944,9.70241,-21.91669428,-21.91669428
32,0.008655,9.706466667,-22.8080592,-22.8080592
33,0.008986111,9.71044,-21.336806,-21.336806
34,0.009235556,9.713433333,-23.66779529,-23.66779529
35,0.009485,9.716426667,-24.16396474,-24.16396474
36,0.009735278,9.71943,-24.50412859,-24.5041286
37,0.009984722,9.722423333,-19.02474298,-19.02474298
38,0.010325833,9.726516667,-13.41344003,-13.41344003
39,0.010665278,9.73059,-7.157721461,-7.157721462
40,0.010916667,9.733606667,-6.65642666,-6.656426661
41,0.01117,9.736646667,-11.38524065,-11.38524065
42,0.011416389,9.739603333,-9.792169211,-9.792169212
43,0.011664444,9.74258,-10.25646467,-10.25646467
44,0.012001111,9.74662,-10.57155618,-10.57155618
45,0.012329722,9.750563333,-8.632495098,-8.632495099
46,0.012576111,9.75352,-7.482243437,-7.482243438
47,0.012822778,9.75648,-6.916705397,-6.916705399
48,0.013076667,9.759526667,-6.330453303,-6.330453304
49,0.013326944,9.76253,-9.890125372,-9.890125374
50,0.013668056,9.766623333,-13.55422068,-13.55422068
51,0.014003611,9.77065,-12.9177789,-12.9177789
52,0.014253889,9.773653333,-14.52939552,-14.52939552
53,0.014501389,9.776623333,-12.97757899,-12.97757899
54,0.014752778,9.77964,-10.18472357,-10.18472357
55,0.015003056,9.782643333,-12.688394,-12.688394
56,0.0153375,9.786656667,-15.26847177,-15.26847177
57,0.01566,9.790526667,-10.88875437,-10.88875438
58,0.015905833,9.793476667,-12.64279843,-12.64279843
59,0.016151667,9.796426667,-14.02432169,-14.02432169
60,0.016400278,9.79941,-15.09494233,-15.09494233
61,0.016653333,9.8,-19.12501264,-19.12501264
62,0.016995,9.8,-23.04193952,-23.04193953
63,0.017328333,9.8,-20.67836435,-20.67836436
64,0.017577222,9.8,-18.01652403,-18.01652403
65,0.017825556,9.8,-16.38097354,-16.38097354
66,0.018078611,9.8,-17.758655,-17.758655
67,0.01833,9.8,-17.82723854,-17.82723854
68,0.01867,9.8,-17.37278134,-17.37278134
69,0.019001389,9.8,-15.48687064,-15.48687064
70,0.019249167,9.8,-14.34400857,-14.34400858
71,0.019495833,9.8,-11.43591784,-11.43591784
72,0.019744722,9.8,-14.13383104,-14.13383104
73,0.019991111,9.8,-12.03539726,-12.03539726
74,0.020330278,9.8,-9.985823247,-9.985823249
75,0.020661944,9.8,-9.439090324,-9.439090327
76,0.020911389,9.8,-8.838841588,-8.83884159
77,0.021163333,9.8,-12.11379974,-12.11379974
78,0.021413056,9.8,-10.83349264,-10.83349264
79,0.021663611,9.8,-10.84704072,-10.84704073
80,0.022004167,9.8,-11.02637712,-11.02637712
81,0.022333056,9.8,-10.81523931,-10.81523931
82,0.022583333,9.8,-13.58782837,-13.58782837
83,0.022833056,9.8,-13.59549321,-13.59549321
84,0.023080556,9.8,-15.41652367,-15.41652368
85,0.023328056,9.8,-14.26847119,-14.26847119
86,0.023674167,9.8,-13.15600639,-13.1560064
87,0.024008056,9.8,-13.06582695,-13.06582696
88,0.024255833,9.8,-12.04502412,-12.04502412
89,0.024501667,9.8,-11.84603302,-11.84603302
90,0.024752778,9.8,-13.36869128,-13.36869128
91,0.025002222,9.8,-13.53097319,-13.5309732
92,0.025341944,9.8,-13.78304825,-13.78304826
93,0.025676389,9.8,-14.37335506,-14.37335507
94,0.025923889,9.8,-12.97486067,-12.97486067
95,0.02617,9.8,-15.43251602,-15.43251602
96,0.0264175,9.8,-20.74929151,-20.74929152
97,0.026666111,9.8,-20.59856554,-20.59856555
98,0.026997778,9.8,-20.49863689,-20.4986369
99,0.027322778,9.8,-18.82956855,-18.82956856
100,0.027567778,9.8,-20.69567052,-20.69567052
101,0.027818333,9.8,-23.29368399,-23.293684
102,0.028069444,9.8,-21.60948858,-21.60948859
103,0.028316111,9.8,-19.78686463,-19.78686464
104,0.028650833,9.8,-17.53912701,-17.53912702
105,0.0289825,9.8,-17.88296319,-17.8829632
106,0.029232778,9.8,-19.21972889,-19.2197289
107,0.029480278,9.8,-19.38856392,-19.38856393
108,0.029729722,9.8,-18.96262615,-18.96262616
109,0.029980278,9.8,-20.83578478,-20.83578479
110,0.030321944,9.8,-23.21175601,-23.21175602
111,0.030654722,9.8,-20.12361158,-20.12361158
112,0.030899167,9.8,-21.09689006,-21.09689007
113,0.031148056,9.8,-24.71709193,-24.71709194
114,0.031397222,9.8,-22.71330834,-22.71330835
115,0.031646944,9.8,-17.78638844,-17.78638845
116,0.031986944,9.8,-12.53282721,-12.53282722
117,0.03232,9.8,-10.85547024,-10.85547024
118,0.032568889,9.8,-10.6918663,-10.6918663
119,0.032818056,9.8,-14.1639742,-14.1639742
120,0.033067778,9.8,-6.222223564,-6.222223567
121,0.033317222,9.801206667,-6.77011944,-6.770119444
122,0.033656944,9.803245,-7.066680429,-7.066680432
123,0.03399,9.805243333,-10.61385726,-10.61385727
124,0.034241944,9.806755,-10.98277411,-10.98277412
125,0.034494167,9.808268333,-8.93207167,-8.932071674
126,0.034748056,9.809791667,-14.26445965,-14.26445965
127,0.034998611,9.811295,-12.62895288,-12.62895288
128,0.035341944,9.813355,-11.26180266,-11.26180267
129,0.035673056,9.815341667,-12.28855805,-12.28855806
130,0.035922222,9.816836667,-5.806035245,-5.806035248
131,0.036171667,9.818333333,-6.141463594,-6.141463597
132,0.036420278,9.819825,-5.978434023,-5.978434026
133,0.03667,9.821323333,-8.394347342,-8.394347346
134,0.037004167,9.823328333,-10.78794907,-10.78794907
135,0.037331111,9.82529,-12.71182205,-12.71182206
136,0.037578056,9.826771667,-19.38364416,-19.38364417
137,0.037826389,9.828261667,-23.86959107,-23.86959108
138,0.038074167,9.829748333,-30.83685074,-30.83685075
139,0.038321667,9.831233333,-29.99315961,-29.99315963
140,0.038666944,9.833305,-29.32772622,-29.32772624
141,0.039001667,9.835313333,-26.70444921,-26.70444922
142,0.039251667,9.836813333,-29.71573282,-29.71573284
143,0.039499444,9.8383,-31.53393105,-31.53393106
144,0.039746944,9.839785,-32.92968857,-32.92968859
145,0.039994167,9.841268333,-29.46061408,-29.4606141
146,0.040336389,9.843321667,-25.72098644,-25.72098645
147,0.04067,9.845323333,-23.02752493,-23.02752494
148,0.0409175,9.846808333,-23.59030358,-23.5903036
149,0.041165556,9.848296667,-20.98115646,-20.98115648
150,0.041412222,9.849776667,-23.58445262,-23.58445264
151,0.041658889,9.851256667,-25.88189265,-25.88189267
