Plant,Date,Temp,mL_acet_cor,mL_acet_error,dE/dt_SNF,dE/dt_SNF_SE
1,7/10/2019,19.9,0,0,0,0.355248043
1,7/10/2019,19.9,218.855235,10,33.47870087,0.902025354
1,7/10/2019,19.9,462.7357276,10,64.75031665,0.790997433
1,7/10/2019,19.9,621.6208326,10,86.90004332,0.864012693
1,7/10/2019,19.9,816.4855496,10,105.0181401,0.837249362
1,7/10/2019,19.9,1236.146809,10,128.1278948,0.845593835
1,7/10/2019,19.9,1704.757876,20,143.4735459,0.873557219
1,7/10/2019,19.9,2392.433587,20,148.5136207,2.771886711
1,7/10/2019,19.9,3280.493512,30,145.3879106,3.23008445
1,7/10/2019,19.9,3917.162915,30,144.3140857,3.016298138
2,7/13/2019,20.4,0,0,0,0.267210844
2,7/13/2019,20.4,223.8490279,10,104.9391456,0.867821636
2,7/13/2019,20.4,418.7445525,10,195.5790667,0.79609097
2,7/13/2019,20.4,636.6011816,10,261.6236468,0.86959172
2,7/13/2019,20.4,816.3983459,10,319.4612754,0.910157527
2,7/13/2019,20.4,1217.039194,10,406.7526322,0.83795503
2,7/13/2019,20.4,1668.695279,20,449.8369269,0.907572957
2,7/13/2019,20.4,2498.31921,20,457.572157,3.299320772
2,7/13/2019,20.4,3254.730645,30,423.6484545,3.534542887
2,7/13/2019,20.4,3922.35192,30,400.9285381,3.94395262
3,7/22/2019,20.4,0,0,0,0.230066525
3,7/22/2019,20.4,243.7826113,10,8.503343096,0.85726031
3,7/22/2019,20.4,427.6514187,10,18.79388915,0.945271898
3,7/22/2019,20.4,643.4998156,10,22.87358024,0.817437412
3,7/22/2019,20.4,822.3542259,10,24.81531811,0.864990359
3,7/22/2019,20.4,1223.002651,10,33.34986233,0.873269203
3,7/22/2019,20.4,1713.608099,20,37.59709442,0.95387785
3,7/22/2019,20.4,2433.740833,20,38.30688857,3.450938641
3,7/22/2019,20.4,3312.960421,30,46.1928901,3.70759079
3,7/22/2019,20.4,3996.377871,30,48.38306238,3.82742289
4,8/17/2019,25.5,0,0,0,0.095550392
4,8/17/2019,25.5,275.8399089,10,30.15648206,0.854263448
4,8/17/2019,25.5,452.8375497,10,38.41655109,0.917388391
4,8/17/2019,25.5,652.580294,10,62.84783798,1.082740105
4,8/17/2019,25.5,838.4216972,10,78.27384614,1.25584779
4,8/17/2019,25.5,1257.122589,10,103.3811849,1.725485306
4,8/17/2019,25.5,1683.82082,20,117.5821137,2.518614403
4,8/17/2019,25.5,2471.354954,20,132.9677152,3.832568592
4,8/17/2019,25.5,3355.097861,30,128.1688236,4.045722208
4,8/17/2019,25.5,4142.883704,30,116.2092358,4.005311901
5,9/16/2019,30,0,0,0,0.478415579
5,9/16/2019,30,243.855111,10,73.29902044,0.967124139
5,9/16/2019,30,475.7252225,10,126.198514,0.958317797
5,9/16/2019,30,651.6001357,10,155.9241959,0.922146249
5,9/16/2019,30,842.4804832,10,187.771605,0.905538835
5,9/16/2019,30,1256.254696,10,241.1243271,1.082181973
5,9/16/2019,30,1693.940703,20,279.1966355,1.422185909
5,9/16/2019,30,2456.250473,20,308.975858,4.284223947
5,9/16/2019,30,3291.933657,30,322.3302925,3.629499748
5,9/16/2019,30,4021.441832,30,305.9828909,3.433429305
6,11/21/2019,35.2,0,0,0,0.280098997
6,11/21/2019,35.2,279.7524978,10,33.57111619,0.787165732
6,11/21/2019,35.2,481.5864005,10,47.18172209,0.724672191
6,11/21/2019,35.2,616.501535,10,52.87150644,0.75378627
6,11/21/2019,35.2,784.4111351,10,61.55048798,0.816542822
6,11/21/2019,35.2,1239.86164,10,83.51304998,2.285649478
6,11/21/2019,35.2,1599.898722,20,87.34207685,2.562343127
6,11/21/2019,35.2,2416.418792,20,99.57274853,2.787856363
6,11/21/2019,35.2,3209.474412,30,86.36264888,3.12537799
6,11/21/2019,35.2,4058.916287,30,90.67719921,3.399090233
