Plant,Date,Temp,mL_acet_cor,mL_acet_error,dE/dt_SNF,dE/dt_SNF_SE
1,7/3/2019,20.8,0,0,0,0.312548127
1,7/3/2019,20.8,215.6646739,10,495.5837642,0.990654084
1,7/3/2019,20.8,429.3331882,10,900.3549791,1.12535363
1,7/3/2019,20.8,621.9572256,10,1202.273403,1.144265426
1,7/3/2019,20.8,798.8264349,10,1367.22024,1.167245359
1,7/3/2019,20.8,1200.957585,10,1720.984844,2.755057579
1,7/3/2019,20.8,1632.236739,20,1872.219523,3.474235466
1,7/3/2019,20.8,2415.910107,20,2011.667407,3.87749641
1,7/3/2019,20.8,3237.803787,30,2029.604774,3.671701334
1,7/3/2019,20.8,3982.278095,40,1998.40579,3.703609875
2,7/5/2019,20.4,0,0,0,0.294837506
2,7/5/2019,20.4,219.7011903,10,246.7146747,0.788069272
2,7/5/2019,20.4,421.3436321,10,456.7828139,0.880687847
2,7/5/2019,20.4,616.0801411,10,626.2619696,0.828339073
2,7/5/2019,20.4,798.8056708,10,765.3110424,0.9485041
2,7/5/2019,20.4,1214.319695,10,982.2814108,1.219425908
2,7/5/2019,20.4,1629.387705,20,1153.809279,2.258034028
2,7/5/2019,20.4,2415.456862,20,1335.996719,2.914132118
2,7/5/2019,20.4,3222.502264,30,1431.652003,2.990805216
2,7/5/2019,20.4,3792.526052,40,1481.824574,3.516527482
3,7/5/2019,20.4,0,0,0,0.304613257
3,7/5/2019,20.4,217.7045086,10,403.9411579,0.936691587
3,7/5/2019,20.4,459.3895351,10,770.4082513,1.082401805
3,7/5/2019,20.4,615.1084954,10,991.4764711,1.047757945
3,7/5/2019,20.4,814.7431276,10,1219.453768,0.992015422
3,7/5/2019,20.4,1163.217292,10,1508.847971,2.157842147
3,7/5/2019,20.4,1670.152356,20,1712.84413,3.145954357
3,7/5/2019,20.4,2392.797015,20,1694.300368,3.120317157
3,7/5/2019,20.4,3246.100517,30,1912.142969,3.125931756
3,7/5/2019,20.4,4040.608669,30,1778.4068,3.30553119
4,11/6/2019,25.3,0,0,0,0.284637915
4,11/6/2019,25.3,223.8586123,10,46.28549597,0.929280386
4,11/6/2019,25.3,412.7646463,10,84.30314617,0.910202626
4,11/6/2019,25.3,642.5822686,10,120.8062637,0.867658551
4,11/6/2019,25.3,841.5161614,10,148.2941896,0.938612818
4,11/6/2019,25.3,1219.261984,10,188.2906816,3.244533728
4,11/6/2019,25.3,1704.073819,20,212.6402116,3.577538114
4,11/6/2019,25.3,2469.347189,20,242.5590682,3.264430569
4,11/6/2019,25.3,3255.208259,30,259.0215726,3.457456234
4,11/6/2019,25.3,4039.284817,30,247.8622766,3.852581025
5,11/5/2019,30,0,0,0,0.478835035
5,11/5/2019,30,235.8600588,10,65.24570599,1.016810057
5,11/5/2019,30,443.7556458,10,106.6615097,1.200188846
5,11/5/2019,30,650.6334958,10,142.7475419,1.353601803
5,11/5/2019,30,824.5102407,10,169.7989598,1.840929716
5,11/5/2019,30,1211.255562,10,202.6574792,4.087488603
5,11/5/2019,30,1723.986181,20,247.9274245,5.442966367
5,11/5/2019,30,2426.209842,20,256.7269637,6.783890807
5,11/5/2019,30,3233.649548,30,281.0661537,3.893168365
5,11/5/2019,30,4023.566831,30,278.7860343,3.613538745
6,10/22/2019,33.8,0,0,0,0.316863741
6,10/22/2019,33.8,256.8394052,10,419.5652871,1.161218807
6,10/22/2019,33.8,438.7244968,10,671.0043597,1.480303669
6,10/22/2019,33.8,665.5743493,10,946.8974822,3.549845971
6,10/22/2019,33.8,816.4327161,10,1158.253562,3.654650607
6,10/22/2019,33.8,1214.311392,10,1439.418155,4.141693922
6,10/22/2019,33.8,1694.852179,20,1712.290881,3.76206497
6,10/22/2019,33.8,2544.128859,20,1923.431535,3.839456131
6,10/22/2019,33.8,3394.598245,30,1998.759438,5.560919594
6,10/22/2019,33.8,4036.201089,30,1988.40807,24.57844127
