Meas,Time,Vmax
1,0.016832685,302.4013187
2,0.017179074,305.0914971
3,0.017426574,309.3614745
4,0.017673241,311.035021
5,0.01792213,313.7072324
6,0.018172963,311.3989634
7,0.018536852,308.945638
8,0.018883241,314.4025474
9,0.01912963,313.5039743
10,0.019376574,312.5454274
11,0.01962963,315.9389322
12,0.019876574,317.3698064
13,0.020231019,318.4972493
14,0.020576019,318.9251328
15,0.02082213,319.1558746
16,0.021068519,323.50354
17,0.021315463,324.4667923
18,0.021562407,329.3633727
19,0.021924352,334.0612203
20,0.022273241,337.7696437
21,0.022522407,342.4649638
22,0.02277213,341.1255707
23,0.023024352,342.6882007
24,0.023275463,341.5755731
25,0.02363463,340.1880449
26,0.023981574,345.5971499
27,0.024234074,347.1483007
28,0.024479907,345.5214606
29,0.024725741,344.5895997
30,0.02497213,344.5524192
31,0.025330185,344.2743464
32,0.025673241,348.6004941
33,0.025921852,347.3376133
34,0.026168519,353.0277519
35,0.026415741,359.6478462
36,0.026665185,363.502002
37,0.027030185,366.9230613
38,0.027379074,370.3283849
39,0.027626019,376.4100854
40,0.027872407,379.5893331
41,0.028117407,380.3248182
42,0.028363241,380.4499781
43,0.028722407,380.4233758
44,0.029072407,381.0929072
45,0.029325185,379.6597995
46,0.029576574,382.2594519
47,0.02982963,385.1914015
48,0.030079074,388.6425602
49,0.030433796,391.2540531
50,0.030778519,394.1276703
51,0.031025741,395.1811987
52,0.031272685,398.8563179
53,0.031521019,400.4003441
54,0.031774074,405.0742242
55,0.032141296,409.3261482
56,0.032492685,406.5054267
57,0.032739074,409.8667981
58,0.032986852,417.1568848
59,0.033238796,421.3308109
60,0.03348463,423.3761925
61,0.033841296,425.6117927
62,0.034190185,429.2134804
63,0.034442407,429.1122322
64,0.034693519,430.627264
65,0.034941019,433.1175033
66,0.035190741,439.8544965
67,0.035548796,445.74734
68,0.035892407,457.0516569
69,0.03614463,461.5770526
70,0.036397963,468.1340115
71,0.03664463,474.5770065
72,0.036891296,483.1567616
73,0.037256574,491.2929312
74,0.037608519,496.5680027
75,0.037857685,504.5226741
76,0.038107407,511.0074244
77,0.038360463,517.9410784
78,0.038611852,527.2301643
79,0.03897713,535.623432
80,0.03932713,541.8794451
81,0.039574907,548.6300598
82,0.039824352,554.0377014
83,0.040076574,558.6283887
84,0.04032713,559.4721636
85,0.04068963,560.2564333
86,0.041038519,562.3280074
87,0.04128963,568.2812729
88,0.04154213,571.2847152
89,0.041791852,575.8334976
90,0.042040741,583.5845091
91,0.042400185,590.5083953
92,0.04274463,599.8209945
93,0.04299213,606.2524732
94,0.043241852,607.1215896
95,0.043491019,610.2718475
96,0.043741574,616.526901
97,0.044095185,622.2769055
98,0.044433241,628.9968317
99,0.044679074,638.0732468
100,0.044927407,641.1111944
101,0.045177963,646.7818807
102,0.045426296,654.5171931
103,0.045789074,661.3121456
104,0.04613713,666.6430481
105,0.046386019,672.4449045
106,0.046633519,676.9433812
107,0.046881019,685.2190941
108,0.047126019,691.8624236
109,0.047477963,697.527673
110,0.047820463,704.8468984
111,0.048066296,713.7123809
112,0.048312963,722.589526
113,0.048561296,728.6166866
114,0.048807963,735.3182757
115,0.049170185,742.0876444
116,0.049518796,749.4774356
117,0.049769352,751.8157821
118,0.050016019,754.6983653
119,0.050264907,756.5238181
120,0.050512963,766.2381981
121,0.050868796,774.9316854
122,0.051216019,781.4710212
123,0.051465463,791.2342859
124,0.05171213,795.5713356
125,0.05196213,799.5030811
126,0.052210185,797.4042308
127,0.052571019,794.5541584
128,0.052918796,803.5097435
129,0.053166852,811.1249954
130,0.053415185,817.1885971
131,0.053662963,822.5283928
132,0.053911296,827.3512893
133,0.054266852,831.2105257
134,0.054608519,836.7924362
135,0.054859907,842.0103686
136,0.055107407,849.1120415
137,0.055354907,855.1493554
138,0.055610741,862.0867148
139,0.055976574,868.2521469
140,0.056323796,875.3549889
141,0.056571296,877.9797393
142,0.056816296,876.9170235
143,0.057066574,880.3019089
144,0.057316852,881.4848138
145,0.057677963,881.6095255
146,0.058022407,887.3242433
147,0.058268796,891.0002253
148,0.058516574,895.5272546
149,0.05876463,899.0090224
150,0.05901463,901.359344
151,0.059369352,903.1209263
152,0.059711019,908.8871318
153,0.059957685,909.926786
154,0.06020463,916.6791784
155,0.060452963,923.3365231
156,0.060704907,930.4621942
157,0.061061296,936.1863228
158,0.061406019,943.7109216
159,0.061652963,951.8575271
160,0.061899352,958.8669711
161,0.062146296,968.0721303
162,0.062396574,972.1287049
163,0.062757685,975.5645396
164,0.063103796,980.0548371
165,0.06334963,984.3193995
166,0.063600741,990.9275321
167,0.063855463,996.1859556
168,0.064104352,1000.134593
169,0.064466019,1001.982145
170,0.064821296,1005.101454
171,0.065071852,1006.067655
172,0.065322407,1009.140701
173,0.065572685,1012.070456
174,0.065821852,1018.965493
175,0.066185741,1025.805171
176,0.066532963,1025.768459
177,0.066780463,1029.795124
178,0.067030185,1037.930851
179,0.06727963,1043.289104
180,0.067529907,1047.802261
181,0.067891019,1051.342451
182,0.068232685,1049.010892
183,0.068483519,1053.129447
184,0.06873213,1055.97564
185,0.068981019,1059.841222
186,0.06923213,1064.168042
187,0.069591296,1067.257066
188,0.069938796,1072.510629
189,0.070185185,1079.154152
190,0.070431296,1087.377483
191,0.070680741,1091.923654
192,0.070929907,1100.18904
193,0.071282685,1106.806431
