Meas,Time,Temperature,Vmax.og,Vmax.inst
1,0,11.50155167,4007.087115,4007.087115
2,0.000251389,11.50306,4055.018163,4055.018164
3,0.000506112,11.50458833,4091.211077,4091.21108
4,0.000758334,11.50610167,4100.070263,4100.070267
5,0.001009723,11.50761,4172.988719,4172.988725
6,0.001343889,11.509615,4234.409478,4234.409486
7,0.001671112,11.51157833,4277.384292,4277.384302
8,0.001920834,11.51307667,4310.374951,4310.374962
9,0.002173056,11.51459,4287.144581,4287.144594
10,0.002424445,11.51609833,4277.768322,4277.768336
11,0.002673612,11.51759333,4290.215793,4290.215808
12,0.003006389,11.51959,4286.666028,4286.666045
13,0.003335,11.52156167,4328.525025,4328.525045
14,0.003583889,11.523055,4393.400087,4393.400108
15,0.003831389,11.52454,4362.753866,4362.753889
16,0.004077778,11.52601833,4344.324724,4344.324748
17,0.004326389,11.52751,4302.880693,4302.880718
18,0.004654445,11.52947833,4280.673006,4280.673033
19,0.004980556,11.531435,4387.330061,4387.330091
20,0.005229445,11.53292833,4418.509148,4418.509179
21,0.005478056,11.53442,4391.198648,4391.198681
22,0.00573,11.53593167,4410.723052,4410.723086
23,0.005980556,11.537435,4435.395491,4435.395527
24,0.006309167,11.53940667,4454.660183,4454.660221
25,0.006632778,11.54134833,4485.365925,4485.365966
26,0.006883334,11.54285167,4528.488173,4528.488215
27,0.007133612,11.54435333,4537.356807,4537.356851
28,0.007385556,11.545865,4522.080552,4522.080598
29,0.007635,11.54736167,4572.553609,4572.553657
30,0.007959723,11.54931,4589.746374,4589.746424
31,0.008283056,11.55125,4627.685571,4627.685623
32,0.008536945,11.55277333,4598.804367,4598.804421
33,0.008784723,11.55426,4577.974525,4577.97458
34,0.009032223,11.555745,4505.04022,4505.040276
35,0.009285278,11.55726333,4488.30713,4488.307187
36,0.009615278,11.55924333,4473.440853,4473.440911
37,0.009943334,11.56121167,4488.073796,4488.073857
38,0.010191112,11.56269833,4459.243605,4459.243667
39,0.010438612,11.56418333,4442.464957,4442.465021
40,0.010688334,11.56568167,4405.098209,4405.098274
41,0.010936389,11.56717,4434.14317,4434.143237
42,0.011267223,11.569155,4476.18781,4476.187879
43,0.011591945,11.57110333,4541.724627,4541.724699
44,0.011842778,11.57260833,4528.67674,4528.676814
45,0.012091667,11.57410167,4515.020616,4515.020691
46,0.012345,11.57562167,4559.54952,4559.549598
47,0.012596945,11.57713333,4583.007609,4583.007689
