Curve,CO2S,Ci,Tleaf,Photo,PARi,Direction
20,388.7265639,303.3203972,19.9953381,6.799418298,1500,down
20,290.9134224,221.0265606,20.00236667,5.519063761,1500,down
20,194.0150912,148.9436662,19.99946667,3.625084858,1500,down
20,97.9507606,82.88168559,19.99139524,1.172405207,1500,down
20,50.04306679,50.3074124,20.0055619,-0.110464444,1500,down
20,389.0031356,315.8928386,20.00591429,6.514034904,1500,down
20,487.670373,409.3040553,19.99948571,7.1394075,1500,down
20,586.8398011,505.1415196,19.9939619,7.553671127,1500,down
20,785.4767531,697.5031554,19.99741429,7.922913717,1500,down
20,984.635848,889.5455732,20.00188571,8.182701685,1500,down
20,1184.135229,1082.050391,20.0051619,8.180469002,1500,down
15,393.7919484,322.8461306,15.00933333,3.663972929,1500,down
15,294.88533,237.0063297,15.00698095,3.046205768,1500,down
15,196.3580928,154.3984156,15.00110952,2.205456031,1500,down
15,98.62507059,83.53992361,15.00657619,0.767694383,1500,down
15,49.9564619,48.97223278,14.99399048,0.002093399,1500,down
15,394.1884725,331.3928484,14.99693333,3.404256529,1500,down
15,493.6024246,427.5925736,15.00300952,3.619987584,1500,down
15,593.1821387,524.8775838,14.99103333,3.760226995,1500,down
15,792.6663768,720.7630115,14.9872381,3.819266079,1500,down
15,992.0258052,915.506612,15.00199524,3.944386775,1500,down
15,1191.969996,1114.043482,14.99047143,3.802172195,1500,down
10,397.4671891,367.9301006,10.00337571,1.297326169,1500,down
10,297.8481893,272.7423069,10.00565714,1.130943105,1500,down
10,198.40838,180.0703517,9.995854762,0.844000927,1500,down
10,99.25872814,90.45520253,10.00360905,0.403958348,1500,down
10,49.95550004,49.81011872,10.00556667,-0.038135416,1500,down
10,397.5591892,370.2682391,9.994371905,1.210599668,1500,down
10,497.3026652,466.7872827,9.991687619,1.325531381,1500,down
10,597.0581414,564.5733281,10.01803333,1.364310482,1500,down
10,796.6663794,760.230455,10.00123476,1.434372157,1500,down
10,996.3694747,958.1603316,9.986306667,1.370609044,1500,down
20,387.7102773,272.7471225,19.99698095,7.579367827,1500,up
20,290.404041,201.8176995,20.01375714,5.923402137,1500,up
20,193.8794244,137.7799533,20.00287619,3.756387502,1500,up
20,97.88744147,79.17040101,20.0003381,1.24641609,1500,up
20,49.93770481,49.56419041,19.98258095,-0.044207421,1500,up
20,387.860087,287.9921768,20.00408571,7.422578696,1500,up
20,486.2347527,380.4281409,20.00121905,8.272460624,1500,up
20,585.1680378,473.723834,20.00479048,8.77869894,1500,up
20,783.6988467,663.591349,20.00697143,9.404359972,1500,up
20,982.933656,857.1123394,19.9816619,9.563163979,1500,up
