Plant,Date,Temp,mL_acet_cor,mL_acet_error,dE/dt_SNF,dE/dt_SNF_SE
1,12/10/2019,20.4,0,0,0,0.3
1,12/10/2019,20.4,201,10,182.1,0.9
1,12/10/2019,20.4,401,10,330.7,0.8
1,12/10/2019,20.4,596,10,466.4,3.4
1,12/10/2019,20.4,810,10,560.9,3.6
1,12/10/2019,20.4,1192,10,733.9,1.4
1,12/10/2019,20.4,1607,20,848.3,2.1
1,12/10/2019,20.4,2398,20,962.5,3.6
1,12/10/2019,20.4,3192,30,970.6,3.9
1,12/10/2019,20.4,3967,30,991.6,4.3
2,2/4/2020,26,0,0,0,0.4
2,2/4/2020,26,218,10,143.1,0.8
2,2/4/2020,26,404,10,254.7,0.9
2,2/4/2020,26,614,10,350.5,0.9
2,2/4/2020,26,794,10,440.3,0.9
2,2/4/2020,26,1209,10,560.6,1
2,2/4/2020,26,1599,20,634.4,3.3
2,2/4/2020,26,2388,20,720.3,3.4
2,2/4/2020,26,3218,30,757,3.5
2,2/4/2020,26,4002,30,759,3.9
3,2/20/2020,30.9,0,0,0,0.2
3,2/20/2020,30.9,203,10,234.1,0.9
3,2/20/2020,30.9,404,10,424.4,0.8
3,2/20/2020,30.9,590,10,595.8,0.8
3,2/20/2020,30.9,809,10,738.3,0.9
3,2/20/2020,30.9,1204,10,962.1,2.9
3,2/20/2020,30.9,1594,20,1121.9,2.9
3,2/20/2020,30.9,2398,20,1276.3,3.4
3,2/20/2020,30.9,3208,30,1328.5,4
3,2/20/2020,30.9,4007,30,1324.5,4.3
4,2/20/2020,34,0,0,0,0.3
4,2/20/2020,34,204,10,410,1.2
4,2/20/2020,34,405,10,704,0.9
4,2/20/2020,34,615,10,992.2,0.9
4,2/20/2020,34,799,10,1225.9,1
4,2/20/2020,34,1189,10,1591,2.5
4,2/20/2020,34,1599,20,1879.4,3.4
4,2/20/2020,34,2413,20,2206.2,3.7
4,2/20/2020,34,3198,30,2367,3.9
4,2/20/2020,34,3997,30,2414.9,3.9
