Meas,Time,Temperature,Vmax
1,0.333812222,9.70862,28.43522267
2,0.334175833,9.715165,28.85773246
3,0.334423611,9.719625,30.52163142
4,0.334670278,9.724065,36.14697442
5,0.334920556,9.72857,36.94647706
6,0.335173611,9.733125,35.50254893
7,0.335561111,9.7401,33.65340248
8,0.335922778,9.74661,32.61437126
9,0.336173333,9.75112,36.79239477
10,0.336428056,9.755705,33.15803911
11,0.336681111,9.76026,31.97364173
12,0.336932778,9.76479,28.52836135
13,0.337314444,9.77166,25.18361889
14,0.33768,9.77824,21.81234553
15,0.337927778,9.7827,18.43210458
16,0.338176111,9.78717,16.26639177
17,0.338422778,9.79161,11.56165147
18,0.338674444,9.79614,10.43995255
19,0.33906,9.80308,10.69734601
20,0.339429722,9.809735,10.1319554
21,0.339681944,9.814275,6.622975394
22,0.3399325,9.818785,4.220433286
23,0.340182778,9.82329,1.424849509
24,0.340433333,9.8278,3.561847029
25,0.340820556,9.83477,4.750710391
26,0.341186944,9.841365,1.123874504
27,0.341439167,9.845905,2.728650847
28,0.341691111,9.85044,7.082263695
29,0.341938889,9.8549,10.9684456
30,0.342188611,9.859395,6.893050124
31,0.34256,9.86608,3.608568709
32,0.342915556,9.87248,5.698724031
33,0.343166111,9.87699,8.713032229
34,0.343419167,9.881545,8.652837422
35,0.343666944,9.886005,7.183138721
36,0.343916111,9.89049,7.929187345
37,0.344291111,9.89724,8.579846477
38,0.344648056,9.903665,6.554726246
39,0.344896111,9.90813,4.490493945
40,0.345147222,9.91265,2.300536201
41,0.345395,9.91711,-0.296677727
42,0.345646111,9.92163,0.266636686
43,0.346030556,9.92855,1.342453634
44,0.346393333,9.93508,2.730885915
45,0.346641111,9.93954,3.745219395
46,0.346888611,9.943995,5.598523738
47,0.347137222,9.94847,7.397257914
48,0.347389444,9.95301,8.623729555
49,0.347774167,9.959935,10.01812639
50,0.348133889,9.96641,9.340092805
51,0.348382778,9.97089,10.47030602
52,0.348634722,9.975425,10.23092282
53,0.348885833,9.979945,13.21934788
54,0.3491375,9.984475,12.83776772
55,0.349515833,9.991285,12.16339296
56,0.349880556,9.99785,12.22698262
57,0.350129444,10.00388333,14.7040195
58,0.350378333,10.01135,13.87348406
59,0.350630278,10.01890833,16.35715121
60,0.350885556,10.02656667,16.02018686
61,0.351277222,10.03831667,15.85958346
62,0.351643056,10.04929167,14.11840593
63,0.351890278,10.05670833,14.29295156
64,0.352140833,10.064225,14.46913712
65,0.352391389,10.07174167,13.74315781
66,0.352643611,10.07930833,14.38255511
67,0.353019167,10.090575,16.03785166
68,0.353380833,10.101425,19.25990232
69,0.353632778,10.10898333,22.20052816
70,0.353883611,10.11650833,21.41572606
71,0.354134722,10.12404167,23.13369746
72,0.354383056,10.13149167,23.71954409
73,0.354765,10.14295,23.86514647
74,0.355130556,10.15391667,17.84511849
75,0.355379444,10.16138333,18.28641803
76,0.355626667,10.1688,13.42139925
77,0.355877778,10.17633333,0.795746093
78,0.35613,10.1839,0.343088794
79,0.356510278,10.19530833,2.24156427
80,0.356869444,10.20608333,9.589715721
81,0.357121667,10.21365,9.270467246
82,0.357371111,10.22113333,11.89410095
83,0.357617778,10.22853333,9.593152106
84,0.357868056,10.23604167,11.43879344
85,0.358251111,10.24753333,13.35526128
86,0.358615,10.25845,17.92017612
87,0.358860833,10.265825,17.34464544
88,0.359114444,10.27343333,15.37132879
89,0.359363889,10.28091667,17.6797287
90,0.359614444,10.28843333,20.48713406
91,0.359999167,10.299975,22.48003622
92,0.360361667,10.31085,24.81893682
93,0.360609722,10.31829167,26.75998595
94,0.360859167,10.325775,28.86610788
95,0.3611075,10.333225,31.04299693
96,0.361356111,10.34068333,32.09081735
97,0.361726111,10.35178333,32.35083991
98,0.362079722,10.36239167,34.57163664
99,0.362327222,10.36981667,33.30183007
100,0.362577778,10.37733333,28.99383668
101,0.362828889,10.38486667,24.58776581
102,0.363078333,10.39235,27.36130916
103,0.3634575,10.403725,31.28254796
104,0.363816667,10.4145,32.39833487
105,0.364063333,10.4219,36.23538056
106,0.364313611,10.42940833,37.71916373
107,0.364559444,10.43678333,36.2378531
108,0.364807222,10.44421667,37.96956829
109,0.365178333,10.45535,39.91033876
110,0.365532778,10.46598333,44.14752216
111,0.365780278,10.47340833,43.1825856
112,0.366028889,10.48086667,47.55587795
113,0.3662775,10.488325,46.01905429
114,0.366524722,10.49574167,44.24768513
115,0.366894167,10.498635,42.42763328
116,0.3672525,10.496485,37.97094365
117,0.3675,10.495,37.10432568
118,0.3677475,10.493515,36.06579462
119,0.367996389,10.49202167,36.68441377
120,0.368245833,10.490525,36.93341322
121,0.368621389,10.48827167,39.04984245
122,0.368978611,10.48612833,41.91005669
123,0.369227778,10.48463333,44.291545
124,0.369476111,10.48314333,47.38031133
125,0.369724167,10.481655,48.50816045
126,0.369977778,10.48013333,50.82592884
127,0.370351944,10.47788833,51.42657207
128,0.370710833,10.475735,47.00205295
129,0.370959444,10.47424333,49.8795741
130,0.371206111,10.47276333,50.32360333
131,0.371452778,10.47128333,53.31817888
132,0.371701389,10.46979167,50.4979756
133,0.372078056,10.46753167,48.2952126
134,0.372440556,10.46535667,46.17264967
135,0.372687222,10.46387667,42.65828525
136,0.372935,10.46239,41.09148914
137,0.373186944,10.46087833,39.02623701
138,0.373438333,10.45937,38.0625632
139,0.373822778,10.45706333,38.59486236
140,0.374185556,10.45488667,41.35382867
141,0.374434444,10.45339333,41.34882763
142,0.374682778,10.45190333,40.33592157
143,0.3749325,10.450405,41.07358746
144,0.375180833,10.448915,40.25431096
145,0.375562222,10.44662667,38.42120462
146,0.375925556,10.44444667,36.20823653
147,0.376174167,10.442955,36.29637131
148,0.376421111,10.44147333,40.52897237
149,0.376670278,10.43997833,41.09826164
150,0.3769225,10.438465,38.6181451
151,0.3773025,10.436185,36.59157203
152,0.3776625,10.434025,36.85580359
153,0.377915,10.43251,33.99072922
154,0.378168056,10.43099167,28.91836241
155,0.378419167,10.429485,28.0193983
156,0.378664722,10.42801167,25.38936563
157,0.379040556,10.42575667,23.72028266
158,0.379401389,10.42359167,17.28512576
159,0.379649167,10.422105,11.61066684
160,0.379899444,10.42060333,8.010930037
161,0.380145556,10.41912667,6.903967871
162,0.380395556,10.41762667,7.558279424
163,0.380781111,10.41531333,7.48621016
164,0.381150278,10.41309833,5.465359882
165,0.381401389,10.41159167,2.576861818
166,0.381653056,10.41008167,1.81737271
167,0.381906944,10.40855833,2.438532334
168,0.382157222,10.40705667,6.81027451
169,0.382542778,10.40474333,11.68036563
170,0.382906667,10.40256,9.760474978
171,0.383155,10.40107,5.451182291
172,0.383405556,10.3987,6.170584152
173,0.383655,10.39421,10.89256988
174,0.383905,10.38971,12.19240084
175,0.384285556,10.38286,14.1837532
176,0.384653056,10.376245,17.49383275
177,0.384907778,10.37166,17.08948117
178,0.385159167,10.367135,15.07996295
179,0.385407778,10.36266,16.86540045
180,0.385656111,10.35819,17.87583407
181,0.386038611,10.351305,18.10102165
182,0.386406111,10.34469,17.578787
183,0.386654722,10.340215,18.28229006
184,0.386901389,10.335775,21.46940773
185,0.38715,10.3313,20.88459141
186,0.387399444,10.32681,19.99247348
187,0.387786944,10.319835,18.92754734
188,0.388150556,10.31329,22.86228169
189,0.388396389,10.308865,21.06117243
190,0.388648611,10.304325,17.48847428
191,0.388900833,10.299785,21.88975298
192,0.389151944,10.295265,17.66921243
193,0.389535833,10.288355,14.42498741
194,0.3899025,10.281755,11.92615447
195,0.390150833,10.277285,14.03539567
196,0.390398333,10.27283,9.654615879
197,0.390645,10.26839,1.01879871
