Curve,CO2S,Ci,Tleaf,Photo,PARi,Direction
30,391.4579462,183.7218804,29.97435714,6.805457805,1500,down
30,293.98271,197.2546119,30.00441905,4.688312446,1500,down
30,196.5570452,139.9997604,30.0063381,2.653555391,1500,down
30,99.2030757,87.11465465,30.00574286,0.538338265,1500,down
30,50.59277194,59.30827788,29.99243333,-0.566285973,1500,down
30,390.9790412,268.7888137,29.99767619,7.048017875,1500,down
30,390.7873744,274.8776702,30.00482381,7.163714849,1500,down
30,488.2705155,346.5785483,30.00865714,9.082530532,1500,down
30,586.686943,412.1894985,29.998,10.33824413,1500,down
30,784.5884653,554.9165991,29.99238571,11.97437402,1500,down
30,983.5557027,704.5353467,30.01667619,12.7073688,1500,down
30,1182.942845,856.34048,29.99514286,13.17567449,1500,down
30,1382.677131,976.4950023,30.00572857,13.4180014,1500,down
30,393.9204718,235.4782635,30.00345238,4.778940346,1500,down
25,391.5808036,251.8552327,24.98961905,6.637250686,1500,down
25,293.8230433,192.0650002,25.00837619,4.839589832,1500,down
25,196.2909022,136.4003292,25.00811429,2.863193729,1500,down
25,98.93672786,81.52247847,24.99531905,0.788671144,1500,down
25,50.21574306,53.6311973,24.99711905,-0.227819566,1500,down
25,391.5704703,267.005581,24.99749524,6.617755281,1500,down
25,391.4886607,262.1678857,24.99622381,6.670071735,1500,down
25,489.5278499,346.0387755,24.99623333,8.111465778,1500,down
25,588.720516,436.9232484,25.00440476,8.689679897,1500,down
25,787.7316583,612.0822736,24.99134762,9.325412335,1500,down
25,987.2679438,791.0088237,25.00093333,9.543709376,1500,down
25,1186.894277,961.3409033,25.00854286,9.872392323,1500,down
25,1386.904753,1138.014431,24.99845238,9.705229057,1500,down
20,393.1893286,257.097377,19.99678571,5.356121212,1500,down
20,294.8201869,196.8076527,19.99490952,4.040500125,1500,down
20,196.6942358,133.7712771,20.00145714,2.584383804,1500,down
20,98.83422781,77.19655456,20.00541429,0.871762082,1500,down
20,49.97444288,49.52165154,19.99945238,-0.022306257,1500,down
20,393.0839,269.1332626,19.99840952,5.422068865,1500,down
20,393.0491857,271.9992713,19.99681429,5.409652099,1500,down
20,492.1334232,358.0576485,19.99985714,6.11147982,1500,down
20,591.4947086,452.2616825,20.0015,6.47951099,1500,down
20,791.0930894,648.797339,20.00088571,6.634971438,1500,down
20,990.7988036,840.8570823,19.99747143,6.75046046,1500,down
20,1190.455232,1039.238558,19.99876667,6.656196136,1500,down
15,394.8866156,270.868954,15.00460952,3.988366728,1500,down
15,295.9019972,199.7591692,14.99767143,3.203899726,1500,down
15,197.267522,133.9979207,14.99082381,2.124534811,1500,down
15,98.99014696,76.68404742,14.99137143,0.760866159,1500,down
15,49.87374756,47.19109256,14.999,0.064396623,1500,down
15,394.9435204,283.8203706,14.99455238,3.936882712,1500,down
15,394.9072823,286.9440974,14.9944619,3.938953171,1500,down
15,494.5081392,379.5368817,14.99859048,4.202992362,1500,down
15,594.2236153,477.5824941,15.00883333,4.351863068,1500,down
15,793.9779962,673.7594293,14.99509048,4.396766147,1500,down
15,993.673139,872.9667405,15.00580476,4.403993825,1500,down
15,1193.396663,1068.550172,15.00218571,4.518079314,1500,down
10,397.0488553,345.7614435,9.989368571,2.129768702,1500,down
10,297.4981889,253.7520501,9.989390476,1.848915429,1500,down
10,198.1689036,167.0950855,9.99137381,1.321302789,1500,down
10,99.17677093,85.09633792,9.992377143,0.589905947,1500,down
10,49.88009044,48.23648517,9.998835714,0.037529315,1500,down
10,397.2513793,349.0558551,9.99605,1.967263197,1500,down
10,397.2371412,348.8165363,9.993952381,1.975881404,1500,down
10,497.2147603,448.2966055,9.996681429,1.922834099,1500,down
10,596.8422839,541.5496992,9.99745381,2.14441899,1500,down
10,796.6100458,737.9632256,10.00100905,2.162120125,1500,down
10,996.3500457,933.340946,9.993782857,2.211013527,1500,down
10,1196.168093,1130.364961,10.00744286,2.193832241,1500,down
10,397.5469985,354.9684874,10.00380048,1.718520487,1500,down
30,391.8980417,200.6437657,30.00467619,6.076531634,1500,up
30,294.1445673,215.9959734,30.02286667,4.259821664,1500,up
30,196.7178073,146.4236023,30.01145714,2.351642179,1500,up
30,99.25559478,87.34784283,30.00409524,0.472279931,1500,up
30,50.54559096,59.05423154,29.98676667,-0.503532015,1500,up
30,391.7314229,308.5661198,30.00730476,5.884338701,1500,up
30,391.7607085,266.249236,30.0136,6.040762652,1500,up
30,489.7151832,349.4679627,30.00801905,7.517657131,1500,up
30,588.3334205,444.0311959,30.01722857,8.398753498,1500,up
30,787.1390864,600.3080508,30.00796667,9.200282582,1500,up
30,986.711467,754.6528698,30.00550476,9.497579429,1500,up
30,1186.491895,931.940846,29.99767619,9.645716686,1500,up
30,1386.444753,1090.938637,30.00085238,9.648951545,1500,up
30,394.2249959,223.120015,29.99647143,4.298696783,1500,up
35,295.192711,235.6280335,35.00529048,3.323813821,1500,up
35,197.511903,152.4517231,34.99718095,1.750321383,1500,up
35,99.82227614,96.43732186,35.00251905,0.048364512,1500,up
35,50.90810552,65.34711601,34.99795238,-0.771366552,1500,up
35,392.8931856,306.0160242,35.00128571,4.997743515,1500,up
35,392.7094711,291.9421616,34.99347143,5.169314233,1500,up
35,490.5620886,361.5874951,35.00184286,6.752436507,1500,up
35,588.7178492,434.1858178,34.93293333,8.061995289,1500,up
35,786.4517523,565.9136836,34.8982619,9.788901063,1500,up
35,985.6960371,599.8534445,35.03532857,10.68847249,1500,up
35,1184.039084,926.543825,35.00854762,11.19882419,1500,up
35,1384.31237,887.4396641,35.01250476,11.47427621,1500,up
40,396.9684264,328.774384,40.01358095,2.159581617,1500,up
40,297.7026176,249.4023931,40.00041905,1.405547158,1500,up
40,198.9946185,175.4731836,40.02508095,0.547962752,1500,up
40,100.3961433,107.3400578,40.02902381,-0.484810156,1500,up
40,51.00761989,77.8023877,40.0174381,-0.843816548,1500,up
40,396.4968548,326.2311794,40.00878571,2.367513807,1500,up
40,594.5292325,593.8756091,40.07189048,5.628366321,1500,up
40,989.4769932,817.9811986,40.02097143,6.851276335,1500,up
40,1188.298563,910.6318872,39.97600476,8.029140421,1500,up
40,1387.582372,861.6347189,40.01917619,8.917537908,1500,up
