Meas,Time,Temperature,Vmax
1,3.117185833,12.6,-100.8900345
2,3.117433333,12.6,-87.74141891
3,3.117680278,12.6,-100.2584815
4,3.117930278,12.6,-132.9121263
5,3.118179167,12.6,-150.5393254
6,3.118491667,12.6,-162.2170389
7,3.118798611,12.6,-155.1669182
8,3.119044167,12.6,-156.1847536
9,3.119291944,12.6,-159.2706018
10,3.119540556,12.6,-170.3235298
11,3.119789722,12.6,-199.4672087
12,3.120103333,12.6,-219.7185311
13,3.120413889,12.6,-204.0866521
14,3.120664722,12.6,-214.6939463
15,3.120913056,12.6,-222.5216754
16,3.121157778,12.6,-220.9940185
17,3.121406389,12.6,-226.7304123
18,3.121723611,12.6,-225.477033
19,3.122035,12.6,-225.8759353
20,3.122282778,12.6,-243.2094973
21,3.122532222,12.6,-239.0985002
22,3.122779722,12.6,-254.0031005
23,3.123028611,12.6,-234.2535445
24,3.123341944,12.6,-204.0530535
25,3.1236525,12.6,-204.0108083
26,3.1239,12.6,-173.2617367
27,3.124149444,12.6,-158.2644675
28,3.124395,12.6,-154.2240057
29,3.124641667,12.6,-140.3942134
30,3.124955278,12.6,-130.9264487
31,3.125266944,12.6,-110.3040303
32,3.125517222,12.6,-116.4466806
33,3.1257675,12.6,-108.6935275
34,3.126017222,12.6,-120.8888433
35,3.126265833,12.6,-101.3289514
36,3.126572778,12.6,-67.9230416
37,3.126879444,12.6,-75.09874064
38,3.127125556,12.6,-78.54606415
39,3.1273725,12.6,-62.99763586
40,3.127619722,12.6,-73.19283851
41,3.127867778,12.6,-69.16126043
42,3.128186111,12.6,-63.09915676
43,3.128499722,12.6,-54.82658729
44,3.1287475,12.6,-57.54112679
45,3.1289925,12.6,-41.79877204
46,3.129240833,12.6,-36.49697177
47,3.129493889,12.6,-39.8050299
48,3.129803611,12.6,-35.13338171
49,3.130108889,12.6,-25.84723157
50,3.130353056,12.6,-24.68375227
51,3.130600556,12.6,-40.88155406
52,3.130850833,12.6,-50.90757449
53,3.131103056,12.6,-67.25752526
54,3.131408333,12.6,-86.83638863
55,3.131714444,12.6,-86.08559432
56,3.131961667,12.6,-86.46406306
57,3.132212222,12.6,-85.66800396
58,3.132459167,12.6,-108.4706882
59,3.132708611,12.6,-132.050025
60,3.133018333,12.6,-146.328543
61,3.133328056,12.6,-145.2644283
62,3.13358,12.6,-111.1541951
63,3.1338325,12.6,-117.2778365
64,3.1340825,12.6,-125.6583045
65,3.134334167,12.6,-128.242482
66,3.134644444,12.6,-129.1816174
67,3.134954444,12.6,-113.4225147
68,3.135208611,12.6,-118.9530674
69,3.135459722,12.6,-118.5068214
70,3.135708611,12.6,-129.9790309
71,3.135958611,12.6,-144.6179515
72,3.136276667,12.6,-149.8701764
73,3.136589167,12.6,-128.1292482
74,3.136838333,12.6,-113.6946553
75,3.137087222,12.6,-93.58369735
76,3.137337222,12.6,-83.95236703
77,3.137588889,12.6,-78.2961861
78,3.137903889,12.6,-75.83337437
79,3.138212778,12.6,-63.73185421
80,3.138466667,12.6,-57.49277181
81,3.138716667,12.6,-63.79575331
82,3.138966667,12.6,-70.1605287
83,3.139214167,12.6,-59.7528449
84,3.139521389,12.6,-39.33743859
85,3.139824722,12.6,-14.43315701
86,3.140071389,12.6,16.80089697
87,3.140318333,12.6,35.30092041
88,3.1405675,12.6,41.63443613
89,3.140816944,12.6,46.21297379
90,3.141133889,12.6,60.16547715
91,3.141446667,12.6,83.54901468
92,3.141693333,12.6,96.01836824
93,3.141941944,12.6,107.1388386
94,3.142192222,12.6,106.7800023
95,3.142441667,12.6,112.427561
96,3.142753056,12.6,104.9331968
97,3.143061111,12.6,98.18183675
98,3.143308889,12.6,89.41367931
99,3.1435575,12.6,71.50486281
100,3.143806944,12.6,63.32622892
101,3.144057778,12.6,40.01540388
102,3.144368889,12.6,27.02268233
103,3.144679167,12.6,38.81295577
104,3.144931944,12.6,41.69073478
105,3.145181111,12.6,52.01513801
106,3.145429722,12.6,59.16727368
107,3.145677222,12.6,72.15452841
108,3.145988889,12.6,86.10354604
109,3.146298611,12.6,92.20229308
110,3.146548056,12.6,99.97171001
111,3.146797778,12.6,96.17663991
112,3.147046111,12.6,97.80637926
113,3.147295556,12.6,108.1923422
114,3.14761,12.6,113.3700213
115,3.147919444,12.6,116.22416
116,3.14817,12.6,92.39509967
117,3.14842,12.6,87.21279179
118,3.148673611,12.6,70.35688344
119,3.148925556,12.6,74.40348946
120,3.149240556,12.6,92.2040979
121,3.149553333,12.6,101.5834033
122,3.149800833,12.6,111.3268244
123,3.150049722,12.6,117.6782094
124,3.150298889,12.6,105.0261886
125,3.150545833,12.6,95.63491978
