Meas,Time,Temperature,Vmax
1,0.666996389,9.509891667,17.88641432
2,0.667349444,9.520483333,21.82850022
3,0.667600556,9.528016667,21.61702324
4,0.667850833,9.535525,26.98293934
5,0.668105833,9.543175,30.63513776
6,0.668361944,9.550858333,27.79225953
7,0.668720278,9.561608333,25.82613268
8,0.669061667,9.57185,29.13235412
9,0.669310556,9.579316667,32.95116691
10,0.669556944,9.586708333,30.61798796
11,0.669811111,9.594333333,33.93833544
12,0.670063333,9.6019,34.49223454
13,0.670389444,9.611683333,34.30367457
14,0.670712778,9.621383333,33.16644037
15,0.670963333,9.6289,35.65548022
16,0.671216111,9.636483333,37.62677828
17,0.671463333,9.6439,39.52339199
18,0.671714167,9.651425,35.98327825
19,0.672068056,9.662041667,33.17193726
20,0.672416944,9.672508333,34.76608394
21,0.672666111,9.679983333,38.98454252
22,0.672921667,9.68765,40.01359704
23,0.673176389,9.695291667,44.72321457
24,0.673428333,9.70285,46.48320196
25,0.673779444,9.713383333,46.61297076
26,0.674123056,9.723691667,47.75009472
27,0.674374167,9.731225,44.77441708
28,0.674626111,9.738783333,40.652649
29,0.674879444,9.746383333,39.75634837
30,0.6751325,9.753975,42.50214545
31,0.675486944,9.764608333,46.69589532
32,0.675825,9.77475,48.84657951
33,0.676072778,9.782183333,52.99740515
34,0.676329722,9.789891667,49.62232124
35,0.676582778,9.797483333,46.08033927
36,0.676832778,9.804983333,41.7830986
37,0.677171944,9.815158333,37.80107594
38,0.677507222,9.825216667,35.42441804
39,0.677757778,9.832733333,36.02886157
40,0.678007222,9.840216667,35.35937401
41,0.678256944,9.847708333,34.41334536
42,0.678513333,9.8554,28.76436333
43,0.678869722,9.866091667,22.46436771
44,0.679210556,9.876316667,20.93488379
45,0.679458333,9.88375,17.22613811
46,0.679707778,9.891233333,13.21142791
47,0.679959722,9.898791667,9.207908135
48,0.680210556,9.906316667,6.321518349
49,0.680565556,9.916966667,3.917509017
50,0.680909167,9.927275,1.578850534
51,0.681158889,9.934766667,0.718290064
52,0.681410833,9.942325,0.334385817
53,0.681666111,9.949983333,-2.587438513
54,0.681917222,9.957516667,-0.176645156
55,0.682270556,9.968116667,1.707027796
56,0.682614444,9.978433333,2.794614639
57,0.682863056,9.985891667,1.605671328
58,0.683113056,9.993391667,3.735960483
59,0.683363889,10.00036667,3.95754666
60,0.683615833,10.00339,3.412095176
61,0.683960278,10.00752333,2.541988651
62,0.684295833,10.01155,-1.233532654
63,0.684544167,10.01453,-3.166811107
64,0.684796667,10.01756,-4.162918228
65,0.685051389,10.02061667,-6.30005515
66,0.685301944,10.02362333,-8.138863267
67,0.6856525,10.02783,-9.137114832
68,0.685990556,10.03188667,-7.695706413
69,0.686241944,10.03490333,-3.034006349
70,0.686489722,10.03787667,-1.436068356
