Meas,Time,Temperature,Vmax.og,Vmax.inst
1,0,9.5,-4.136493508,-4.136493508
2,0.000245833,9.5,-5.108859001,-5.108859001
3,0.0004925,9.5,-3.130171412,-3.130171412
4,0.000741111,9.5,-1.597468912,-1.597468912
5,0.000988611,9.5,1.309785068,1.309785068
6,0.001339722,9.5,4.091954473,4.091954473
7,0.001683056,9.5,5.305487432,5.305487432
8,0.001930556,9.5,7.305361648,7.305361648
9,0.002179167,9.5,8.77683642,8.77683642
10,0.002425278,9.5,9.783288703,9.783288703
11,0.002673889,9.5,9.154243376,9.154243376
12,0.003024444,9.5,8.764651142,8.764651142
13,0.003367222,9.5,8.647442327,8.647442327
14,0.003612778,9.5,8.983315496,8.983315496
15,0.003863056,9.5,4.650077789,4.650077789
16,0.004111944,9.5,4.051746802,4.051746802
17,0.004363056,9.5,2.402017158,2.402017158
18,0.004712778,9.5,0.925072461,0.925072461
19,0.005052778,9.5,1.139021091,1.139021091
20,0.005302222,9.5,4.69204612,4.69204612
21,0.005551667,9.5,4.377461452,4.377461452
22,0.005800556,9.5,6.503156641,6.503156641
23,0.00605,9.5,5.33621264,5.33621264
24,0.006398889,9.5,4.028049983,4.028049983
25,0.006738889,9.5,6.606369394,6.606369394
26,0.006984722,9.5,7.262322993,7.262322993
27,0.007233056,9.5,9.084041003,9.084041003
28,0.007488056,9.5,12.75991502,12.75991502
29,0.007741111,9.5,15.28462841,15.28462841
30,0.008094167,9.5,17.59395699,17.59395699
31,0.008438333,9.5,15.82289809,15.82289809
32,0.008686111,9.5,15.91625525,15.91625525
33,0.008939167,9.5,15.90463701,15.90463701
34,0.009191944,9.5,11.30745843,11.30745843
35,0.009438056,9.5,9.913478564,9.913478565
36,0.009789167,9.5,8.78175118,8.781751181
37,0.010130833,9.5,6.828528733,6.828528733
38,0.010380278,9.5,8.383525993,8.383525994
39,0.010629722,9.5,10.83519844,10.83519844
40,0.010879167,9.5,11.37559908,11.37559908
41,0.011129444,9.5,7.667440933,7.667440934
42,0.011483889,9.5,4.008411804,4.008411804
43,0.011827778,9.5,4.151574465,4.151574465
44,0.012076944,9.5,7.827810111,7.827810112
45,0.012329167,9.5,9.636036557,9.636036558
46,0.012580556,9.5,12.46018379,12.46018379
47,0.012829722,9.5,15.0130025,15.0130025
48,0.013181389,9.5,17.36336062,17.36336062
49,0.013519444,9.5,17.93215516,17.93215516
50,0.013764444,9.5,16.95433428,16.95433428
51,0.014013056,9.5,21.77812749,21.77812749
