Tr,Plant,Leaf,Date,Temp,A400,Direction
A21,1,1,71218,20,12.401538,down
A21,1,1,71218,15,10.743609,down
A21,1,1,71218,10,7.115989,down
A21,1,2,71218,20,13.822393,up
A21,1,2,71218,25,15.545504,up
A21,1,2,71218,30,13.663096,up
A21,1,2,71218,35,6.333966,up
A21,1,2,71218,40,2.642088,up
A21,2,3,71818,20,11.785807,down
A21,2,3,71818,15,8.261888,down
A21,2,3,71818,10,5.563684,down
A21,2,4,71818,20,10.881987,up
A21,2,4,71818,25,13.201939,up
A21,2,4,71818,30,12.935361,up
A21,2,4,71818,35,10.072078,up
A21,2,4,71818,40,3.344453,up
A21,3,5,101718,20,11.638772,down
A21,3,5,101718,15,9.139653,down
A21,3,5,101718,10,5.626219,down
A21,3,6,101718,20,17.746811,up
A21,3,6,101718,25,19.056241,up
A21,3,6,101718,30,19.363429,up
A21,3,6,101718,35,15.668881,up
A21,3,6,101718,40,8.028432,up
A31,1,1,71618,30,7.992336,down
A31,1,1,71618,25,6.972786,down
A31,1,1,71618,20,4.990894,down
A31,1,1,71618,15,3.282129,down
A31,1,1,71618,10,1.309314,down
A31,1,2,71618,30,8.934563,up
A31,1,2,71618,35,7.83126,up
A31,1,2,71618,40,3.694303,up
A31,2,3,92918,30,12.698766,down
A31,2,3,92918,25,11.417187,down
A31,2,3,92918,20,9.17108,down
A31,2,3,92918,15,6.152795,down
A31,2,3,92918,10,3.353035,down
A31,2,4,92918,30,12.550443,up
A31,2,4,92918,35,12.761581,up
A31,2,4,92918,40,7.757247,up
A31,3,5,112518,30,14.594147,down
A31,3,5,112518,25,13.343243,down
A31,3,5,112518,20,9.896599,down
A31,3,5,112518,15,7.187725,down
A31,3,5,112518,10,4.332795,down
A31,3,6,112518,30,14.032036,up
A31,3,6,112518,35,13.094249,up
A31,3,6,112518,40,6.90246,up
G21,1,1,80318,20,14.684841,down
G21,1,1,80318,15,9.855354,down
G21,1,1,80318,10,4.289276,down
G21,1,2,80318,20,7.805623,up
G21,1,2,80318,25,7.330212,up
G21,1,2,80318,30,7.164409,up
G21,1,2,80318,35,4.732545,up
G21,1,2,80318,40,1.617046,up
G21,2,3,112718,20,9.108627,down
G21,2,3,112718,15,6.12469,down
G21,2,3,112718,10,1.969976,down
G21,2,4,112718,20,13.179483,up
G21,2,4,112718,25,13.325519,up
G21,2,4,112718,30,12.005799,up
G21,2,4,112718,35,8.638036,up
G21,2,4,112718,40,5.078626,up
G21,3,5,82819,20,5.365148,down
G21,3,5,82819,15,4.0043,down
G21,3,5,82819,10,1.6902,down
G21,3,6,82819,20,7.6506,up
G21,3,6,82819,25,8.2534,up
G21,3,6,82819,30,8.7971,up
G21,3,6,82819,35,7.6489,up
G21,3,6,82819,40,4.7132,up
G31,1,1,50418,30,10.226642,down
G31,1,1,50418,25,8.514264,down
G31,1,1,50418,20,6.144414,down
G31,1,1,50418,15,3.325356,down
G31,1,2,50418,30,15.274486,up
G31,1,2,50418,35,11.767441,up
G31,1,2,50418,40,5.635904,up
G31,2,3,71118,30,6.262553,down
G31,2,3,71118,25,4.100755,down
G31,2,3,71118,20,2.350517,down
G31,2,3,71118,15,0.778293,down
G31,2,3,71118,10,0.144994,down
G31,2,4,71118,30,4.584876,up
G31,2,4,71118,35,3.36679,up
G31,2,4,71118,40,1.416181,up
G31,3,5,72218,32.4,7.584886,down
G31,3,5,72218,30,7.474549,down
G31,3,5,72218,25,4.296763,down
G31,3,5,72218,20,2.515353,down
G31,3,5,72218,15,1.016294,down
G31,3,5,72218,10,0.180294,down
G31,3,6,72218,30,6.979225,up
G31,3,6,72218,35,5.307276,up
G31,3,6,72218,40,2.718755,up
M21,1,1,71418,20,4.683575,down
M21,1,1,71418,15,3.045001,down
M21,1,1,71418,10,0.972205,down
M21,1,2,71418,20,4.947906,up
M21,1,2,71418,25,5.553217,up
M21,1,2,71418,30,5.695884,up
M21,1,2,71418,35,4.564556,up
M21,1,2,71418,40,1.617818,up
M21,2,3,120918,20,4.393912,down
M21,2,3,120918,15,3.438901,down
M21,2,3,120918,10,2.122274,down
M21,2,4,120918,20,5.4317,up
M21,2,4,120918,25,5.980308,up
M21,2,4,120918,30,5.924574,up
M21,2,4,120918,35,4.518249,up
M21,2,4,120918,40,1.841645,up
M21,3,5,12119,20,6.744,down
M21,3,5,12119,15,3.5572,down
M21,3,5,12119,10,1.2552,down
M21,3,6,12119,20,7.6416,up
M21,3,6,12119,25,9.2348,up
M21,3,6,12119,30,10.1969,up
M21,3,6,12119,35,9.1001,up
M21,3,6,12119,40,4.4406,up
M31,1,1,80218,30,7.107335,down
M31,1,1,80218,25,6.769746,down
M31,1,1,80218,20,5.440494,down
M31,1,1,80218,15,3.915894,down
M31,1,1,80218,10,2.024074,down
M31,1,2,80218,30,6.184669,up
M31,1,2,80218,35,5.229169,up
M31,1,2,80218,40,2.365578,up
M31,2,3,120418,30,7.753365,down
M31,2,3,120418,25,6.414927,down
M31,2,3,120418,20,4.237328,down
M31,2,3,120418,15,1.309895,down
M31,2,4,120418,30,5.104567,up
M31,2,4,120418,35,4.120375,up
M31,2,4,120418,40,0.766057,up
M31,3,5,40919,30,18.1521,down
M31,3,5,40919,25,15.3989,down
M31,3,5,40919,20,10.8993,down
M31,3,5,40919,15,6.6043,down
M31,3,5,40919,10,3.6173,down
M31,3,6,40919,30,13.6478,up
M31,3,6,40919,35,13.3179,up
M31,3,6,40919,40,6.9549,up
R21,1,1,73118,20,4.972051,down
R21,1,1,73118,15,3.434265,down
R21,1,1,73118,10,2.224393,down
R21,1,2,73118,20,6.631186,up
R21,1,2,73118,25,7.894831,up
R21,1,2,73118,30,7.073189,up
R21,1,2,73118,35,4.535955,up
R21,1,2,73118,40,2.039859,up
R21,2,3,100518,20,6.487193,down
R21,2,3,100518,15,4.88208,down
R21,2,3,100518,10,2.48939,down
R21,2,4,100518,20,5.086873,up
R21,2,4,100518,25,5.518209,up
R21,2,4,100518,30,4.206026,up
R21,2,4,100518,35,2.330993,up
R21,2,4,100518,40,0.850716,up
R21,3,5,101018,20,5.669829,down
R21,3,5,101018,15,4.38941,down
R21,3,5,101018,10,2.638823,down
R21,3,6,101018,20,4.971339,up
R21,3,6,101018,25,5.395052,up
R21,3,6,101018,30,6.018922,up
R21,3,6,101018,35,5.813782,up
R21,3,6,101018,40,2.14191,up
R21,4,7,90319,20,6.1905,down
R21,4,7,90319,15,4.2048,down
R21,4,7,90319,10,1.5257,down
R21,4,8,90319,20,10.4199,up
R21,4,8,90319,25,12.1868,up
R21,4,8,90319,30,13.1023,up
R21,4,8,90319,35,12.657,up
R21,4,8,90319,40,8.2845,up
R31,1,1,71318,30,14.2005,down
R31,1,1,71318,25,13.254525,down
R31,1,1,71318,20,9.730419,down
R31,1,1,71318,15,5.736515,down
R31,1,1,71318,10,1.419224,down
R31,1,2,71318,30,10.237717,up
R31,1,2,71318,35,9.419207,up
