,Tr,Plant,Dir,Leaf,Temp,Vcmax,Jmax,A275
1,G21,1,down,1,10,7.180888103,21.27618303,3.739431469
2,G21,1,down,1,15,20.67870887,54.46142405,8.679271851
3,G21,1,down,1,20,42.59880461,100.1715183,13.48131276
4,G21,1,up,2,20,25.28136379,65.97663176,7.794093419
5,G21,1,up,2,25,36.27296184,79.52774376,7.707835939
6,G21,1,up,2,30,52.7506455,101.7857762,7.175937894
7,G21,1,up,2,35,56.26890121,91.61372008,3.983695388
8,G21,1,up,2,40,47.24706317,59.24930597,0.234856014
9,G21,2,down,3,10,3.850917458,10.18060381,1.898745905
10,G21,2,down,3,15,14.05017012,34.10853762,5.800324116
11,G21,2,down,3,20,30.10833424,60.45036963,9.3660061
12,G21,2,up,4,20,43.45008756,91.85324332,13.74878627
13,G21,2,up,4,25,67.89319912,136.8192192,15.15674241
14,G21,2,up,4,30,93.4562172,181.4848135,13.71748781
15,G21,2,up,4,35,112.7392414,187.4400423,9.888079527
16,G21,2,up,4,40,109.3606847,154.6120276,4.482882999
20,G21,4,down,5,10,3.150820917,8.460912538,1.539671529
21,G21,4,down,5,15,10.31574464,27.75380235,4.183417095
22,G21,4,down,5,20,22.79981026,51.88952054,6.978901526
23,G21,4,up,6,20,29.00704686,63.91688643,9.016798246
24,G21,4,up,6,25,45.12677391,89.92104205,9.792975306
25,G21,4,up,6,30,68.45891982,120.8495602,9.702651239
26,G21,4,up,6,35,85.48938117,139.2610578,7.044217296
27,G21,4,up,6,40,94.55808303,126.1316239,3.522252699
