"","Tr","Plant","Dir","Leaf","Temp","Vcmax","Jmax","A275"
"1","G31","1","down","1","15","9.35992894194028","18.0053850628864","3.13905760670106"
"2","G31","1","down","1","20","21.2953473616389","35.8424132808969","5.74318378214464"
"3","G31","1","down","1","25","40.0621973117666","56.4321945298318","7.99819255987903"
"4","G31","1","down","1","30","69.7136848777859","88.1112683407775","9.92135526125752"
"5","G31","1","up","2","30","112.195265298207","124.84640208553","15.3567723847584"
"6","G31","1","up","2","35","146.514802695857","154.501850800157","13.5171879497011"
"7","G31","1","up","2","40","164.671792711999","126.444219316588","8.38486287274026"
"8","G31","2","down","3","10","0.489653787664494","2.0452151466979","0.115132056479984"
"9","G31","2","down","3","15","2.03425496554827","4.99055170435638","0.593784439934238"
"10","G31","2","down","3","20","9.25478961502656","15.3498728926284","2.19329016875213"
"11","G31","2","down","3","25","23.4213169855823","28.843397986413","3.74464681427156"
"12","G31","2","down","3","30","50.2932847859711","48.7633351974903","5.53245707158786"
"13","G31","2","up","4","30","34.2553323345794","39.2382000398826","4.17691702431673"
"14","G31","2","up","4","35","41.4921667264206","42.1495131702128","2.54694385156474"
"15","G31","3","down","5","10","0.530742333696349",NA,"0.137401341240283"
"16","G31","3","down","5","15","2.6924979941489",NA,"0.880696327129743"
"17","G31","3","down","5","20","8.21455700989881","16.1937718274081","2.18674764320895"
"18","G31","3","down","5","25","21.2071081465664","33.0495136853006","4.15797740727874"
"19","G31","3","down","5","30","51.6778066086079","64.7070878341356","7.01971840974796"
"20","G31","3","down","5","32.4","66.0829156401581","76.556643202663","7.21374240192144"
"21","G31","3","up","6","30","48.0682453109031","65.6516213919868","6.44738789202811"
"22","G31","3","up","6","35","58.2942500219704","73.462024663987","4.30560803845173"
"23","G31","3","up","6","40","53.7893101852438","51.2823147326285","1.16553229054005"
