"","Tr","Plant","Dir","Leaf","Temp","Vcmax","Jmax","A275"
"1","M21","1","down","1","10","1.96238131254451","5.69045910604958","0.887036823907147"
"2","M21","1","down","1","15","7.25071377986431","17.456440226991","2.84500269360377"
"3","M21","1","down","1","20","14.3735983582457","31.8309090334847","4.23483099792929"
"4","M21","1","up","2","20","15.0023973990409","32.2642011300027","4.43832507352306"
"5","M21","1","up","2","25","23.2445844035617","43.7745320172671","4.72903959863155"
"6","M21","1","up","2","30","35.1099814175036","59.1127389136683","4.5212214208113"
"7","M21","1","up","2","35","46.0393499960047","66.6328585593784","3.26539298315342"
"8","M21","1","up","2","40","37.7156957993173","39.4840228880173","0.390642459819292"
"9","M21","2","down","3","10","3.69857378354627","11.6781579873377","1.83470442132323"
"10","M21","2","down","3","15","7.99041946168911","21.1483260156053","3.1681571920094"
"11","M21","2","down","3","20","14.2813305985096","33.4261788910976","4.20547111688706"
"12","M21","2","up","4","20","17.1196494627545","37.6756527327886","5.13605298698769"
"13","M21","2","up","4","25","26.0149372015945","48.6960773967262","5.37637467035569"
"14","M21","2","up","4","30","36.8900824340671","60.7370921657146","4.82078204048882"
"15","M21","2","up","4","35","45.1443987996054","59.0592012847756","3.17199521681867"
"16","M21","2","up","4","40","37.942015391078","43.4215480739675","0.407138178711792"
"17","M21","3","down","5","10","2.32554697530079","6.8037929769435","1.08812211334032"
"18","M21","3","down","5","15","8.24281016430217","18.9255716460491","3.25505598714557"
"19","M21","3","down","5","20","20.7161384115382","39.2008607198433","6.26634767647771"
"20","M21","3","up","6","20","24.1068117603575","46.2757474028508","7.39611640238659"
"21","M21","3","up","6","25","40.3666639235294","62.4876981910929","8.72855571182534"
"22","M21","3","up","6","30","60.5995804718814","88.074617477905","8.62856560834669"
"23","M21","3","up","6","35","79.8093969645882","100.57756821089","6.79693540090827"
"24","M21","3","up","6","40","71.2418767442477","70.7705491793921","2.57701349444532"
