"","Tr","Plant","Dir","Leaf","Temp","Vcmax","Jmax","A275"
"1","R31","1","down","1","10","3.46825800742001","15.0041677197025","1.68002759625425"
"2","R31","1","down","1","15","15.230993494937","36.1566328609836","6.22427749839183"
"3","R31","1","down","1","20","34.4694258073571","67.9506850939881","10.6736830435612"
"4","R31","1","down","1","25","63.6618291312527","111.957565000163","13.9997403143846"
"5","R31","1","down","1","30","102.384617463982","154.978846182432","15.0072503932453"
"6","R31","1","up","2","30","87.1420043818224","124.159065790741","12.5597253212143"
"7","R31","1","up","2","35","109.122425692047","126.488500491137","9.45080485338822"
"8","R31","1","up","2","40","88.2066889639149","91.0250844615822","3.25259991032166"
"9","R31","2","down","3","10","1.69740557957832","5.78620337137847","0.715539860627285"
"10","R31","2","down","3","15","7.22939276430275","17.2768505238074","2.76209176295025"
"11","R31","2","down","3","20","16.2685291439548","31.9281767146874","4.70928006504896"
"12","R31","2","down","3","25","30.4143151908226","50.8628515128127","6.17937402285547"
"13","R31","2","down","3","30","50.1842985922843","71.5941985967879","6.62311038025166"
"14","R31","2","up","4","30","47.3081332849425","74.8021195202391","6.1620139142132"
"15","R31","2","up","4","35","54.4565264895581","86.3884103864598","3.7387774189213"
"16","R31","2","up","4","40","34.6232247326919","46.2408609258285","-0.233779937673761"
"17","R31","3","down","5","10","2.36480437447928","6.4934621949313","1.07651395559914"
"18","R31","3","down","5","15","6.85580394317341","14.5372293919706","2.39839465861889"
"19","R31","3","down","5","20","18.2692174836258","31.388166588788","4.86257366278349"
"20","R31","3","down","5","25","38.5226488874468","47.8642001301248","6.55372859220796"
"21","R31","3","down","5","30","67.2216452032617","67.3755318873313","7.87251211868474"
"22","R31","3","up","6","30","73.0113283405425","89.4510094148059","10.2686873570255"
"23","R31","3","up","6","35","86.5286302108649","95.0980128125141","7.08466964809019"
"24","R31","3","up","6","40","53.2968216955888","50.3051363449485","0.976826249734116"
