Curve,CO2S,Ci,Tleaf,Photo,PARi,Direction
25,385.097871,321.5183388,25.00733226,8.843931588,1500,down
25,288.5673548,239.3587912,25.00666129,6.817596167,1500,down
25,193.0499677,163.3216151,24.9983871,4.089491127,1500,down
25,145.2427742,125.6883961,25.0033129,2.747474158,1500,down
25,97.67810968,88.52881122,25.0017871,1.246267354,1500,down
25,50.14148065,50.66611577,25.00002258,-0.264542255,1500,down
25,385.4375161,333.1449428,25.00723871,8.429805954,1500,down
25,483.1838065,422.9133932,25.01290645,9.574335221,1500,down
25,581.6481613,513.6240128,25.00489355,10.31193343,1500,down
25,779.8659032,704.1714633,25.00191935,10.85368044,1500,down
25,978.598871,896.4434929,25.00558387,11.07377539,1500,down
25,1177.494516,1089.413259,25.00628065,11.23190058,1500,down
25,1376.488065,1281.440253,25.00050323,11.40086899,1500,down
20,388.9187097,329.9071026,20.01092258,6.506902952,1500,down
20,291.0805806,243.3181926,20.0059871,5.300846318,1500,down
20,194.0436129,162.1653034,20.00077419,3.535696555,1500,down
20,145.7941935,123.4920723,19.99409032,2.475833539,1500,down
20,97.7232871,86.316011,19.99980968,1.271096645,1500,down
20,49.84650645,49.08370057,20.00049677,-0.026764055,1500,down
20,389.2958065,343.8646182,19.99546452,6.030142114,1500,down
20,488.1100323,439.1054384,20.00600645,6.486130617,1500,down
20,587.473129,534.9938926,19.99662903,6.619657524,1500,down
20,786.3311935,727.5214057,19.99947742,6.820286422,1500,down
20,985.4240968,920.1264104,20.00062258,6.93642578,1500,down
20,1184.793871,1113.850223,20.0007,6.918299277,1500,down
20,1384.293548,1308.5814,19.98922581,6.825012613,1500,down
15,393.7300323,342.351838,15.00447419,3.600166157,1500,down
15,294.8773226,253.2734544,15.00554839,2.962344021,1500,down
15,196.3585484,166.2747612,15.00467742,2.148076927,1500,down
15,147.3517742,125.9145594,14.99502903,1.546434981,1500,down
15,98.49297419,86.56733287,14.98915161,0.848449657,1500,down
15,49.80148701,47.96939258,14.9863,0.076091378,1500,down
15,394.2411935,352.4013306,14.99734194,3.178824636,1500,down
15,493.569,448.7594287,15.0001,3.414418581,1500,down
15,593.215871,548.1188198,14.99595806,3.421367276,1500,down
15,792.5587742,745.0106656,15.00665806,3.408552589,1500,down
15,992.0056774,941.9263897,14.9948,3.334632299,1500,down
15,1191.459351,1137.193851,14.98553871,3.305233806,1500,down
15,1391.047742,1330.751324,15.00809355,3.333042235,1500,down
10,396.9631274,370.3203045,10.0046529,1.528330159,1500,down
10,297.5132567,274.7785241,10.00779355,1.311066578,1500,down
10,198.1044505,181.1591141,9.992980645,1.020983262,1500,down
10,148.570354,135.8177607,10.00855323,0.76943716,1500,down
10,99.0842769,90.95410338,9.999207097,0.484049917,1500,down
10,49.87378062,48.66094685,10.0027929,0.027826315,1500,down
10,397.2005792,372.6158842,10.00452806,1.374587831,1500,down
10,496.8996114,470.0730497,9.995945161,1.435185501,1500,down
10,596.7547404,568.9255722,10.00158161,1.397954418,1500,down
10,796.2816114,764.6447744,10.00254548,1.44761761,1500,down
10,995.8867726,961.188958,9.999468387,1.451511436,1500,down
10,1195.583224,1158.523427,9.991375161,1.37992703,1500,down
10,1395.142579,1354.938585,9.999007097,1.389205251,1500,down
25,387.7627143,314.863625,25.01385,7.669340835,1500,up
25,290.4485,234.3039922,24.99955714,5.998334755,1500,up
25,194.1130714,160.050477,25.00318571,3.656085074,1500,up
25,145.9488571,123.5064821,24.98773571,2.478671454,1500,up
25,97.99740714,87.19247791,24.9944,1.142905654,1500,up
25,50.14156429,51.08710785,25.00075,-0.25320966,1500,up
25,388.7184286,331.3355674,25.00349286,6.850967287,1500,up
25,487.4142857,422.0959081,25.0023,7.518253354,1500,up
25,586.477,515.4691385,25.01500714,7.921322966,1500,up
25,785.3485,707.2260663,24.99663571,8.256818041,1500,up
25,984.4666429,900.225591,25.0047,8.38914679,1500,up
25,1183.625714,1093.986845,24.98650714,8.525559349,1500,up
25,1382.916429,1288.027211,25.00175714,8.594097811,1500,up
30,387.9793571,317.4642969,29.98569286,7.496122498,1500,up
30,291.1576429,239.5650939,29.99685714,5.497772858,1500,up
30,194.8607857,165.8787003,29.99577857,3.133832289,1500,up
30,146.7785714,129.3667616,30.00089286,1.896326448,1500,up
30,98.62475714,91.54617206,30.00155714,0.691881058,1500,up
30,50.75841429,54.49071229,30.00197143,-0.635377947,1500,up
30,388.5267143,330.4814229,30.00693571,6.951809161,1500,up
30,486.107,414.5916714,30.00448571,8.446575837,1500,up
30,584.2027857,502.1262154,30.01411429,9.507176318,1500,up
30,781.7725,686.5805327,29.99697143,10.70924079,1500,up
30,980.2672143,875.5238295,30.00442857,11.27171135,1500,up
30,1178.888571,1064.642168,30.01853571,11.77663322,1500,up
30,1378.065714,1256.169727,30.00095714,11.95195436,1500,up
35,390.0576429,326.8443092,34.99160714,6.050143765,1500,up
35,293.2335714,245.3296232,34.99752143,4.141384417,1500,up
35,196.3599286,171.8069077,35.00902143,2.115591483,1500,up
35,147.956,136.0582032,34.9924,1.07544949,1500,up
35,99.51887857,96.95441449,34.98155714,0.070456468,1500,up
35,51.15394286,57.46588392,34.99225,-0.951157113,1500,up
35,390.2725714,336.9102506,35.01105,5.698579157,1500,up
35,487.6067857,418.1569076,35.00825,7.310013277,1500,up
35,585.3480714,502.2005793,34.99111429,8.605255985,1500,up
35,782.0995714,677.0383594,35.00642857,10.36515736,1500,up
35,979.6907143,857.5058148,34.99402143,11.56491975,1500,up
35,1177.932857,1040.925682,35.00155714,12.30845444,1500,up
35,1376.827143,1231.896643,34.97892857,12.57366928,1500,up
40,396.4887857,365.6269453,40.05212857,1.551231409,1500,up
40,297.8175714,280.078555,40.0434,0.795314899,1500,up
40,199.3715714,194.0183509,40.01175,-0.022384585,1500,up
40,150.0259286,150.4038468,39.93488571,-0.382763377,1500,up
40,100.7202857,106.7789304,40.00076429,-0.744120568,1500,up
40,51.38382143,62.69310046,40.00299286,-1.10406615,1500,up
40,396.6497857,369.1748406,39.99697857,1.383217209,1500,up
40,495.6707857,459.4115664,40.00755714,1.839667367,1500,up
40,594.8762857,551.2555021,39.99863571,2.177421761,1500,up
40,793.278,736.0224951,40.05642857,2.802191868,1500,up
40,992.4917857,923.5533679,40.01252143,3.057394372,1500,up
40,1191.442143,1116.259233,40.01447143,3.194950156,1500,up
40,1390.555714,1309.789188,40.00510714,3.310430831,1500,up
