Curve,CO2S,Ci,Tleaf,Photo,PARi,Direction
25,395.6474731,180.8702038,25.00548095,3.410120177,1500,down
25,296.9631407,142.0359873,25.00200476,2.37985252,1500,down
25,198.3666655,113.197549,24.99766667,1.239451327,1500,down
25,148.9664279,98.3751456,24.99465238,0.790879691,1500,down
25,99.67385217,84.62448573,24.99510476,0.229592552,1500,down
25,50.35716695,65.96427675,24.99405714,-0.312821593,1500,down
25,394.8435201,191.0079661,25.00285714,4.047687742,1500,down
25,493.3597095,227.0649823,25.00007143,5.212505291,1500,down
25,592.6000899,274.8615331,25.00045238,5.80670438,1500,down
25,791.8984227,265.5932047,24.99861905,6.42441287,1500,down
25,991.8945656,371.6435951,25.00569048,6.364106517,1500,down
25,1191.653327,376.5763965,24.99746667,6.587933272,1500,down
25,1391.51428,477.1107865,25.00573333,6.690600001,1500,down
20,396.2098069,202.8951025,19.99458571,2.972167097,1500,down
20,297.403522,164.0806652,20.00125238,2.021708697,1500,down
20,198.4457132,120.4725755,20.00835714,1.198646742,1500,down
20,149.0332374,101.2335709,19.9992381,0.732299535,1500,down
20,99.59365687,79.84964413,20.00083333,0.298394699,1500,down
20,50.1678811,58.46255887,20.01114762,-0.159117663,1500,down
20,395.9637591,214.4738805,19.99485714,3.144499932,1500,down
20,495.0236632,281.0517163,20.00522381,3.881839715,1500,down
20,594.2937579,334.6947942,19.99549524,4.449627544,1500,down
20,793.1822809,459.8464938,20.00494286,5.29811834,1500,down
20,992.6958521,591.8241671,19.9989,5.659340641,1500,down
20,1192.124756,668.2718117,20.00087143,6.117268436,1500,down
20,1392.341423,855.2786139,20.00484286,5.923520443,1500,down
15,397.7099508,212.107031,14.99422381,1.800017796,1500,down
15,298.3592846,194.4864528,14.98929048,1.254678554,1500,down
15,199.0070946,139.0313875,14.99988571,0.745940794,1500,down
15,149.3388091,108.2203503,14.99207143,0.502000124,1500,down
15,99.71375216,79.63751123,14.99850952,0.251608489,1500,down
15,50.10730485,55.9352366,15.0070619,-0.100715535,1500,down
15,397.5185221,268.9108609,14.99879524,1.898338602,1500,down
15,497.0586647,359.3377922,15.00068571,2.237201081,1500,down
15,596.6862359,445.0889807,14.99458095,2.514904659,1500,down
15,796.2791404,646.2295261,15.00255714,2.729997494,1500,down
15,996.1971881,847.5809362,15.00387619,2.732291545,1500,down
15,1195.904283,1023.18591,15.00428095,2.915919597,1500,down
15,1395.63095,1212.703284,15.00327619,3.042137177,1500,down
10,398.4900467,334.7402768,9.994841429,1.085862937,1500,down
10,298.7518087,249.266775,9.997474286,0.908122932,1500,down
10,199.1984281,168.5701292,9.983607619,0.568385484,1500,down
10,149.4213806,127.3040582,10.00236429,0.411835398,1500,down
10,99.70515698,88.43814925,9.991267143,0.187753146,1500,down
10,50.06571913,53.51329214,9.987540476,-0.095544758,1500,down
10,398.7849516,318.2734785,10.00082619,0.937913249,1500,down
10,498.6479992,444.9032845,10.00381667,0.927341628,1500,down
10,598.4944277,538.8570037,10.00083952,1.000304397,1500,down
10,798.30538,733.8068732,10.0098081,1.071266825,1500,down
25,393.1888999,126.1239284,24.99348095,5.461101353,1500,up
25,295.3141871,141.3984009,24.9955619,3.744722196,1500,up
25,197.3533791,115.7461688,24.98865714,2.091519748,1500,up
25,148.2976655,97.89878594,25.00258571,1.308026355,1500,up
25,99.32512335,79.75863501,24.99961905,0.511184163,1500,up
25,50.42025273,62.8435765,24.99959048,-0.385084457,1500,up
25,392.4118994,187.2193964,24.9956,6.040099407,1500,up
25,490.1835168,255.1623204,25.00084762,7.802616311,1500,up
25,588.3812774,297.7496695,25.00178095,9.244501095,1500,up
25,786.2161806,389.5081572,24.99995238,10.99357772,1500,up
25,986.1427043,388.0932866,25.00585714,11.09124811,1500,up
25,1186.531895,480.703703,25.00181429,10.78521916,1500,up
25,1386.66999,568.6196652,25.00594286,10.71140956,1500,up
30,395.4032824,197.8740926,30.01149048,3.652778171,1500,up
30,297.0650455,159.4044817,30.00886667,2.286684696,1500,up
30,198.4795704,131.2319734,30.00041429,1.171269531,1500,up
30,149.195809,115.3673894,30.00038571,0.599841492,1500,up
30,99.87752376,95.30263303,30.00357619,0.056050755,1500,up
30,50.85424831,83.1496032,29.9988381,-0.761147551,1500,up
30,394.4509007,208.33992,29.99678571,4.444468937,1500,up
30,492.8417091,269.7175023,29.99786667,5.685443142,1500,up
30,591.7266606,257.5258109,29.95012381,6.625029967,1500,up
30,789.8035163,286.9884206,30.00969524,8.168895723,1500,up
30,988.5090869,427.434655,30.00332857,9.164626906,1500,up
30,1187.88142,425.7322236,30.00941429,9.7515131,1500,up
30,1387.686658,455.7070804,29.9974619,9.869804599,1500,up
35,397.8375222,206.592337,34.99960476,1.71028925,1500,up
35,298.7946658,201.3967591,35.01554286,0.963944933,1500,up
35,199.6440474,174.2623907,35.00874286,0.23779454,1500,up
35,150.1104764,161.8937327,34.99981905,-0.174499611,1500,up
35,100.5475719,138.0444496,35.01684286,-0.478047341,1500,up
35,51.11830565,127.1352741,34.96929524,-0.951556976,1500,up
35,396.9978073,220.8814899,34.99992381,2.34562734,1500,up
35,495.9694733,238.4388341,35.02189048,3.161686904,1500,up
35,595.0229487,305.6038385,34.99813333,3.937530795,1500,up
35,793.0867568,365.5614551,35.01404286,5.485169447,1500,up
35,991.8864702,455.5380416,35.02499048,6.422097923,1500,up
35,1190.904755,378.7297067,35.01735714,7.271188755,1500,up
35,1390.313326,408.2360159,34.99741905,7.744281433,1500,up
40,399.9920001,401.5894605,40.0144619,-0.097220916,1500,up
40,300.3829527,362.1214398,40.00318571,-0.348746678,1500,up
40,200.7848102,317.1748864,39.99887143,-0.682675975,1500,up
40,150.9471436,295.3743598,40.00610952,-0.820530727,1500,up
40,101.0606199,253.2981135,39.9854,-0.911135577,1500,up
40,51.30351533,235.3344047,39.97197619,-1.104004158,1500,up
40,399.8413333,381.4295876,39.99912381,0.034228001,1500,up
