Curve,CO2S,Ci,Tleaf,Photo,PARi,Direction
30,391.8959471,335.3698812,29.9969,7.969828459,1500,down
30,293.8720912,251.6657498,29.98759048,6.032451851,1500,down
30,196.4319501,169.4437151,30.05062381,3.474472158,1500,down
30,99.12817098,93.18318064,30.01992381,0.668829217,1500,down
30,50.60714346,54.45093308,29.9612381,-0.896589884,1500,down
30,392.2278522,346.2801894,30.00357619,7.375202229,1500,down
30,490.5868036,435.8648675,30.0338,8.837375412,1500,down
30,589.3418981,523.0429838,30.01882381,9.981258398,1500,down
30,787.3393732,704.412024,30.02449524,11.7108607,1500,down
30,986.878278,903.2577508,30.10034762,11.55116639,1500,down
30,1186.07904,1089.455065,30.03685238,12.0347872,1500,down
30,1385.633802,1284.207642,29.93127619,12.06467902,1500,down
25,393.5114242,320.3377767,25.00364762,6.626757327,1500,down
25,294.8503775,240.3161024,25.08075238,5.223512307,1500,down
25,196.6797597,163.0820186,25.03562857,3.343819986,1500,down
25,99.02711374,90.83725112,24.95055714,0.829446112,1500,down
25,50.30723843,53.05832951,24.99024762,-0.505915589,1500,down
25,393.5665674,347.4115616,24.99488571,6.118187269,1500,down
25,492.3722811,438.9108998,25.00286667,7.115413413,1500,down
25,591.6088045,534.7926294,25.03012857,7.616587602,1500,down
25,790.553185,723.4193456,25.02395714,8.349128954,1500,down
25,990.0111372,911.6300555,25.02292857,8.591530147,1500,down
25,1189.477137,1103.163878,25.02304286,8.818485003,1500,down
20,395.6563781,324.2918134,20.04672857,4.396718585,1500,down
20,296.5093311,245.5869449,20.05128095,3.536978731,1500,down
20,197.654808,161.3980892,20.01021905,2.407482377,1500,down
20,99.22446145,89.45753212,20.00588571,0.711155257,1500,down
20,50.12070968,51.88921258,19.97475238,-0.243082859,1500,down
20,395.8192832,350.9298849,19.9982381,3.974158012,1500,down
20,495.2468543,446.3969321,20.00010952,4.412259877,1500,down
20,594.8295685,545.054633,20.01084286,4.564642656,1500,down
20,794.0445683,739.8122207,20.00552857,4.89292299,1500,down
20,993.4325682,935.2018409,19.99514762,5.049545838,1500,down
20,1193.164282,1129.63632,20.0243,5.051268423,1500,down
15,398.2325229,377.3703873,14.9795619,1.423133098,1500,down
15,298.631285,282.7138308,15.0002,1.101272911,1500,down
15,199.089571,188.5513748,15.00022381,0.72481631,1500,down
15,99.72740465,96.3580508,15.00766667,0.179159848,1500,down
15,50.18840972,52.57874277,14.98277143,-0.308327298,1500,down
15,398.4350945,380.9327639,14.99850476,1.176824872,1500,down
15,498.2339992,478.8879648,15.0241,1.256597096,1500,down
15,597.9563801,576.2544229,14.9997619,1.418413741,1500,down
15,797.4569513,770.9276701,14.98530476,1.681443202,1500,down
15,997.2022371,968.7953296,14.99104762,1.644896126,1500,down
15,1196.96619,1167.097718,14.98851905,1.538477142,1500,down
30,396.1322832,340.9474424,30.00031429,5.204011376,1500,up
30,297.2464267,250.3278438,30.0070619,3.758614751,1500,up
30,198.50538,174.2691927,30.00910952,1.941624597,1500,up
30,100.0310954,100.8667626,29.99627619,-0.283734738,1500,up
30,50.86516738,62.35668392,30.00620476,-1.458720218,1500,up
30,396.2724262,353.258051,29.99973333,4.774138073,1500,up
30,495.3328542,439.7350151,30.01113333,5.977107697,1500,up
30,594.6372824,530.0338093,30.00761429,6.854079544,1500,up
30,793.6983295,716.469765,30.0074,7.847929627,1500,up
30,993.0681863,904.7938562,29.98900476,8.413319788,1500,up
30,1192.643805,1093.177735,30.01339524,8.741480401,1500,up
30,1392.135234,1285.220361,30.00689524,9.042602611,1500,up
35,396.5929027,355.5067365,34.96854762,4.192776823,1500,up
35,297.9001891,260.9773301,35.01964286,2.678294044,1500,up
35,199.0916186,185.4978738,35.04682857,0.953900028,1500,up
35,100.4232385,107.1821266,35.00550952,-0.892327127,1500,up
35,51.09571998,66.47954899,35.00669524,-1.863720178,1500,up
35,396.7839505,357.5455386,35.0005,3.877417395,1500,up
35,495.8547117,444.9226002,34.99828571,5.097112487,1500,up
35,595.1429018,534.6897985,35.001,5.914434273,1500,up
35,793.8222822,734.7791191,34.92870952,6.975282387,1500,up
35,993.1952816,897.525808,35.01843333,8.229153013,1500,up
35,1192.881901,1080.276956,35.00460952,8.49527132,1500,up
35,1392.358567,1266.623456,35.00157143,8.941377069,1500,up
40,398.3866662,376.6975559,39.9765,0.89532266,1500,up
40,299.2210952,288.5577064,40.03290476,0.00981002,1500,up
40,199.9790004,200.1003281,40.02600952,-0.832774144,1500,up
40,100.7088579,109.3810554,40.01521429,-1.554778163,1500,up
40,51.1446915,64.80694757,40.0120381,-2.026610139,1500,up
40,398.2904758,379.0095203,39.99401905,0.721010097,1500,up
40,497.7059041,470.7495964,40.00699048,1.220492138,1500,up
40,597.2228087,563.5195777,40.0063381,1.558033951,1500,up
40,796.2779988,748.2824054,40.00440476,2.307498887,1500,up
40,995.4823795,934.394733,39.99781905,2.856850127,1500,up
40,1194.924284,1123.243334,40.00388095,2.982367192,1500,up
40,1394.277617,1312.355561,39.99390952,3.216485932,1500,up
