Curve,CO2S,Ci,Tleaf,Photo,PARi,Direction
20,391.6778023,237.5699074,19.9942,5.597098266,1500,down
20,294.0872806,177.6345509,20.0004381,3.967980858,1500,down
20,196.549378,127.8262932,19.99825714,2.318590098,1500,down
20,98.97223724,78.16991942,20.00112381,0.662893488,1500,down
20,50.204805,54.41762362,20.0035,-0.184916818,1500,down
20,391.6918499,242.8664372,19.99942381,5.594052382,1500,down
20,489.629991,301.8869293,19.99980476,6.9863837,1500,down
20,587.9433229,371.4685278,19.99810952,8.125869576,1500,down
20,785.6482257,522.4875723,19.99676667,9.611122053,1500,down
20,984.3474627,664.2324123,19.99083333,10.40880607,1500,down
20,1183.777605,805.8961542,20.00015714,10.78540419,1500,down
15,393.4743753,233.6217791,14.99909048,4.414733359,1500,down
15,295.2067578,177.345443,14.99640476,3.231216255,1500,down
15,197.0512832,123.5088735,15.0023619,1.976076146,1500,down
15,99.01128965,73.70716159,14.99772857,0.649391358,1500,down
15,50.00741434,50.59536259,14.9969381,-0.042019031,1500,down
15,393.764328,237.0893132,14.99584286,4.223806864,1500,down
15,492.5756603,300.8382023,14.99934762,5.021137896,1500,down
15,591.6743262,370.9138796,14.99661429,5.610957618,1500,down
15,790.3500394,535.9556884,14.99870952,6.447720218,1500,down
15,989.7298961,705.1658613,15.00167619,6.793377308,1500,down
15,1189.43142,882.9927838,14.99535714,6.947514861,1500,down
10,396.0765205,257.920985,9.98991,2.638333325,1500,down
10,296.9338546,188.9874354,9.996447619,2.062979777,1500,down
10,198.0141412,128.9270102,9.996301905,1.326042102,1500,down
10,99.25872321,73.84876007,10.00612429,0.479196087,1500,down
10,49.94658093,48.35171272,10.00481952,0.01400556,1500,down
10,396.1024729,263.4782581,9.987544762,2.621932806,1500,down
10,495.6245202,348.4155817,10.00096,2.923595579,1500,down
10,595.2082818,437.2676439,10.00136762,3.158741394,1500,down
10,794.7593767,623.8018472,9.99697,3.404276319,1500,down
10,994.6492339,822.1478387,9.998698095,3.406642126,1500,down
10,1194.822853,1029.952208,10.0044881,3.194989539,1500,down
20,393.6543756,300.2596706,20.00091905,4.888600159,1500,up
20,295.4120914,227.5222171,20.00433333,3.519070503,1500,up
20,197.3665216,157.203358,19.99300476,1.991729243,1500,up
20,99.39495672,90.62795523,20.00114286,0.38863716,1500,up
20,50.45257192,57.4209363,19.99722857,-0.445602948,1500,up
20,393.6365184,299.5370162,19.99215238,4.911934478,1500,up
20,492.2384221,379.9051895,19.9995,5.957484127,1500,up
20,591.2698499,460.0787894,20.00039048,6.671377381,1500,up
20,789.8740392,628.1485359,19.99519048,7.711961421,1500,up
20,989.0038004,799.7257306,20.00347619,8.309593999,1500,up
20,1188.692372,973.7649387,20.00020952,8.489874031,1500,up
25,393.3565657,296.6709897,24.99270952,5.098068947,1500,up
25,295.4642342,228.7730351,25.01208571,3.476454623,1500,up
25,197.5608551,162.6930929,25.00533333,1.807050181,1500,up
25,99.77673802,96.7751697,24.99971429,0.064218849,1500,up
25,50.94714386,64.75947261,24.99541905,-0.898905529,1500,up
25,393.0738512,302.3121299,25.00342381,5.315101262,1500,up
25,491.1298019,371.5284908,24.99526667,6.83517475,1500,up
25,589.6705626,449.4114356,24.99753333,7.925122391,1500,up
25,787.6249894,603.4678077,24.99839524,9.49409035,1500,up
25,986.1411786,761.8267668,25.00335714,10.66001957,1500,up
25,1185.133797,928.3798864,24.99354762,11.3241478,1500,up
25,1384.569035,1099.987149,24.9991,11.67487531,1500,up
30,392.3159935,320.5864885,30.00882381,5.734845429,1500,up
30,294.8537099,243.6928477,30.00870952,3.834458106,1500,up
30,197.5301409,172.5260129,29.9827,1.731021909,1500,up
30,100.4008577,104.1691718,30.00761905,-0.482881609,1500,up
30,51.77260177,69.0199071,30.0004619,-1.558602996,1500,up
30,392.0791361,314.2204702,30.00955238,5.953021458,1500,up
30,489.6313244,390.1370371,29.99792857,7.853590153,1500,up
30,587.7514657,466.850668,30.00448095,9.285394643,1500,up
30,784.7451298,622.9793266,30.00280952,11.53524793,1500,up
30,982.6206994,782.928794,30.00315714,13.12028775,1500,up
30,1181.252841,951.4818043,30.00124286,14.11006685,1500,up
30,1380.379983,1109.024065,30.012,14.73509337,1500,up
35,392.2475649,334.8037345,35.01972857,5.630506102,1500,up
35,295.0407579,258.2362729,35.01040476,3.490016654,1500,up
35,198.0248558,183.5068166,35.00807143,1.201108447,1500,up
35,101.0821442,108.7639817,34.99565714,-1.144152442,1500,up
35,52.65500748,70.85029033,34.99624286,-2.35642029,1500,up
35,392.2361365,342.0261742,34.99868571,5.527671027,1500,up
35,489.2679435,422.5836029,34.9936619,7.656334166,1500,up
35,586.7819413,495.8531796,35.00547143,9.631654352,1500,up
35,782.6408902,661.5397405,34.97974286,12.65348322,1500,up
35,979.6654115,830.3636485,35.00342381,14.79780176,1500,up
35,1177.544743,1004.050023,34.98298095,16.27619172,1500,up
35,1376.099504,1176.133481,35.00570952,17.24801769,1500,up
40,395.6779496,363.7891676,39.98484286,2.389402784,1500,up
40,297.807999,282.0639295,40.02495714,0.883219711,1500,up
40,199.9518102,199.4733813,40.01960476,-0.576902023,1500,up
40,102.181193,116.2446865,40.00730952,-2.172420245,1500,up
40,53.24279864,74.17730691,40.00975714,-2.890384152,1500,up
40,396.0529026,372.8224125,39.98984762,1.856791594,1500,up
40,493.9470913,455.8542502,40.0133619,3.367297971,1500,up
40,591.6933752,540.5074956,40.01686667,4.865376614,1500,up
40,787.6777054,710.4579109,40.00974286,7.564648248,1500,up
40,984.0019882,882.3158887,40.00150476,10.00805411,1500,up
40,1180.194747,1053.137072,40.00800476,12.54132902,1500,up
40,1377.124269,1229.524006,39.99713333,14.46854785,1500,up
