Curve,CO2S,Ci,Tleaf,Photo,PARi,Direction,Rd
25,393.6759479,265.6847852,24.99392857,6.094744386,1500,down,
25,295.3709015,209.0924469,25.00412857,4.443102265,1500,down,
25,197.3376648,149.2333065,25.00068571,2.510613144,1500,down,
25,148.2163797,116.8490297,25.00865238,1.655855727,1500,down,
25,99.22706617,86.66297001,24.98734762,0.677357107,1500,down,
25,50.36138602,55.91356362,24.99541429,-0.421368907,1500,down,
25,393.5399479,293.2696268,25.00153333,6.128896198,1500,down,
25,492.1547088,370.7279378,25.00375714,7.442383099,1500,down,
25,591.1611844,453.8683606,25.0031,8.342146288,1500,down,
25,789.7745643,586.1676751,25.0096381,9.698162699,1500,down,
25,989.1186591,711.3316086,24.99735238,10.41302746,1500,down,
25,1188.383325,858.4945314,24.99818571,11.08798308,1500,down,
25,1387.900944,960.9614612,25.00612381,11.67892326,1500,down,
20,394.6915677,274.3630592,20.00304286,5.128351035,1500,down,
20,296.0465687,208.5900102,20.0067,3.797613242,1500,down,
20,197.5699983,143.804791,19.99984286,2.326030797,1500,down,
20,148.4039513,114.2815931,20.00035238,1.496842335,1500,down,
20,99.24828527,85.05128956,19.99974286,0.623558777,1500,down,
20,50.09795725,52.00379348,19.99946667,-0.146373171,1500,down,
20,394.6585677,291.6656885,19.99047143,5.109898177,1500,down,
20,493.7316147,376.211323,20.00097143,5.952760089,1500,down,
20,593.0028048,458.3789322,19.99572857,6.593290722,1500,down,
20,792.1189947,633.9345983,20.00224762,7.340656614,1500,down,
20,991.6328039,780.8356491,20.00430952,7.8748307,1500,down,
20,1191.471423,905.9529173,19.9998619,8.090711303,1500,down,
20,1391.332851,1020.902622,20.00148095,8.307380233,1500,down,
15,396.445569,290.098842,14.99572857,3.409243321,1500,down,
15,297.2442362,216.2127963,14.9995,2.637089667,1500,down,
15,198.2156655,147.2271607,14.99629048,1.694963877,1500,down,
15,148.7916659,114.3235884,14.99608095,1.128962921,1500,down,
15,99.40575676,82.61969517,15.00050952,0.544371998,1500,down,
15,50.04555245,51.6919067,14.99661905,-0.093656393,1500,down,
15,396.5444739,305.5072573,15.00814762,3.270138677,1500,down,
15,496.0384736,388.8322522,14.9993381,3.740270965,1500,down,
15,595.6529495,482.6088446,14.99340476,4.009886797,1500,down,
15,795.2211398,668.3324637,15.00475238,4.345264353,1500,down,
15,994.9107587,857.9106748,14.99509048,4.528774776,1500,down,
15,1194.708568,1051.348791,14.99888095,4.576004191,1500,down,
15,1394.65714,1227.083448,14.98606667,4.677797949,1500,down,
10,398.3028084,323.6473926,9.992633333,1.576878619,1500,down,
10,298.6877611,237.0045375,10.02267143,1.233442787,1500,down,
10,199.1292852,159.1383051,9.992583333,0.81461736,1500,down,
10,149.3754758,121.676824,9.988397619,0.556623709,1500,down,
10,99.74226176,88.40624142,10.00072048,0.213791577,1500,down,
10,50.07338103,54.15224366,10.00014619,-0.112181831,1500,down,
10,398.3598085,324.3670101,10.00109762,1.511894073,1500,down,
10,498.1507131,410.8080598,9.997127619,1.694446102,1500,down,
10,598.0123797,508.7653804,9.997270952,1.788622256,1500,down,
10,797.7103319,696.4235903,10.00676095,2.020074727,1500,down,
10,997.5711891,898.9253161,9.99537619,2.030705728,1500,down,
10,1197.473332,1092.102762,10.0016419,2.022463789,1500,down,
10,1397.199046,1280.354692,10.01071429,2.267425157,1500,down,
25,390.5216,292.7331,24.98873333,7.511705,1500,up,
25,292.9557,217.7775,25.00160476,5.598147,1500,up,
25,195.8958,153.2471,25.00971429,3.198915,1500,up,
25,147.2952,120.2254,24.99605714,2.04598,1500,up,
25,98.81451,87.23795,24.99905238,0.829352,1500,up,
25,50.34372,53.60224,24.99924762,-0.37876,1500,up,
25,390.6508,304.7852,24.99651429,7.330878,1500,up,
25,488.4029,381.983,24.99520476,9.095541,1500,up,
25,586.8654,456.1882,25.00130952,10.3037,1500,up,
25,784.8808,604.4183,24.9980381,11.89702,1500,up,
25,983.7978,741.242,25.00985714,12.82591,1500,up,
25,1182.938,853.0647,24.98922381,13.60869,1500,up,
25,1382.316,1011.592,24.98951905,14.08287,1500,up,
30,390.8909,293.8033,29.99400952,7.222418,1500,up,
30,293.5368,224.4826,30.00543333,5.088435,1500,up,
30,196.4003,159.3777,29.99075238,2.750346,1500,up,
30,147.7638,125.6144,29.99905714,1.664938,1500,up,
30,99.23463,91.98872,30.00578571,0.472428,1500,up,
30,50.77194,58.24421,29.99012857,-0.78642,1500,up,
30,391.0711,311.9094,29.99888095,6.932891,1500,up,
30,488.5793,384.6829,30.0079,8.923767,1500,up,
30,586.685,452.6357,29.99625238,10.48112,1500,up,
