Meas,Time,Temperature,Vmax
667,2.833521944,12.50113167,891.5623747
668,2.833844444,12.50306667,869.9195585
669,2.834092222,12.50455333,879.3478599
670,2.834336667,12.50602,884.1597842
671,2.834587222,12.50752333,870.3509184
672,2.834836667,12.50902,864.781432
673,2.835173056,12.51103833,858.4119053
674,2.835503889,12.51302333,852.8812564
675,2.835753056,12.51451833,855.6250076
676,2.836002778,12.51601667,853.4443628
677,2.836250278,12.51750167,859.7699481
678,2.8365,12.519,841.1349455
679,2.836836667,12.52102,822.2608649
680,2.8371625,12.522975,820.3391315
681,2.837409722,12.52445833,815.7310673
682,2.837663056,12.52597833,829.9105379
683,2.837916667,12.5275,843.1999128
684,2.838169167,12.529015,842.816815
685,2.838495278,12.53097167,843.0546427
686,2.838815278,12.53289167,840.3946105
687,2.839063611,12.53438167,854.0186147
688,2.839311389,12.53586833,860.2732068
689,2.83956,12.53736,862.52992
690,2.839809167,12.538855,857.0524322
691,2.840144444,12.54086667,848.8153877
692,2.840476389,12.54285833,861.7057299
693,2.840728611,12.54437167,877.9631057
694,2.840976111,12.54585667,887.0520149
695,2.841225833,12.547355,879.504671
696,2.841475,12.54885,879.5808288
697,2.841790278,12.55074167,882.8484489
698,2.842103611,12.55262167,880.8565127
699,2.8423525,12.554115,883.1848417
700,2.842600833,12.555605,897.5138381
701,2.842850556,12.55710333,892.156105
702,2.843097778,12.55858667,886.9011686
703,2.843421389,12.56052833,875.5884975
704,2.843740556,12.56244333,857.1229652
705,2.843989722,12.56393833,836.2355408
706,2.844236389,12.56541833,839.3106173
707,2.844487778,12.56692667,820.1749291
708,2.844736111,12.56841667,804.7655591
709,2.845058889,12.57035333,796.4109268
710,2.845375,12.57225,801.8513963
711,2.845621389,12.57372833,803.6657436
712,2.845870833,12.575225,814.1205156
713,2.846118056,12.57670833,815.5439486
714,2.846368333,12.57821,817.3987697
715,2.846704722,12.58022833,820.1666278
716,2.847033611,12.58220167,821.7907976
717,2.847281667,12.58369,835.5148345
718,2.847528611,12.58517167,835.9304043
719,2.847778056,12.58666833,841.4423659
720,2.848029444,12.58817667,817.9492852
721,2.848356389,12.59013833,791.7937854
722,2.848679722,12.59207833,796.7918277
723,2.8489275,12.593565,801.645472
724,2.849176944,12.59506167,813.8044084
725,2.849426389,12.59655833,809.6161862
726,2.849675,12.59805,815.6757417
727,2.850011389,12.60013667,820.9382923
728,2.850343056,12.60411667,823.4257913
729,2.850590278,12.60708333,830.2823423
730,2.850838889,12.61006667,842.982727
731,2.851086111,12.61303333,833.985628
732,2.851333611,12.61600333,830.6921687
733,2.851661389,12.61993667,828.0847038
734,2.851984167,12.62381,813.6845783
735,2.852231944,12.62678333,807.4687259
736,2.852478333,12.62974,803.2206512
737,2.852727222,12.63272667,801.8755784
738,2.852976667,12.63572,800.6606883
739,2.853301667,12.63962,802.8046231
740,2.853623333,12.64348,805.4420369
741,2.853874444,12.64649333,826.1917665
742,2.854123889,12.64948667,839.7090014
743,2.8543725,12.65247,842.676866
744,2.854620278,12.65544333,848.6762771
745,2.854940833,12.65929,852.2272194
746,2.855254444,12.66305333,861.6893882
747,2.855504444,12.66605333,877.3142518
748,2.855756667,12.66908,880.3790559
749,2.856005278,12.67206333,864.0495603
750,2.856250278,12.67500333,863.7863369
751,2.856576389,12.67891667,863.1209427
752,2.856898056,12.68277667,871.6583288
753,2.857146389,12.68575667,874.3418375
754,2.857396944,12.68876333,892.8034821
755,2.857648056,12.69177667,886.6979234
756,2.857896944,12.69476333,872.960542
757,2.858237778,12.69885333,858.4770445
758,2.858569444,12.70283333,866.7417185
759,2.858820556,12.70584667,878.1288018
760,2.859070278,12.70884333,874.0181768
761,2.859320556,12.71184667,884.3039898
762,2.859566389,12.71479667,892.6147091
763,2.859898889,12.71878667,899.8747041
764,2.860226667,12.72272,896.3102018
765,2.860473889,12.72568667,902.7513584
766,2.860721111,12.72865333,902.5902919
767,2.8609725,12.73167,886.6463504
768,2.861222222,12.73466667,898.6417687
769,2.861540833,12.73849,911.2812626
770,2.861853056,12.74223667,916.490679
771,2.862099167,12.74519,927.4644196
772,2.862345833,12.74815,935.1024688
773,2.8625925,12.75111,918.284424
774,2.862842778,12.75411333,934.2908488
775,2.863161944,12.75794333,948.9086058
776,2.863479167,12.76175,945.8602595
777,2.863727222,12.76472667,954.0318575
778,2.863977222,12.76772667,951.0982504
779,2.8642275,12.77073,945.6066836
780,2.864478611,12.77374333,938.5838014
781,2.864806667,12.77768,935.9220722
782,2.865128889,12.78154667,947.4024142
783,2.865375833,12.78451,949.4548062
784,2.865627222,12.78752667,949.7477517
785,2.8658775,12.79053,949.5628076
786,2.866126111,12.79351333,951.5285697
787,2.866439167,12.79727,949.9652446
788,2.866748056,12.80097667,942.1089536
789,2.866996944,12.80396333,959.1735591
790,2.867247222,12.80696667,963.709637
791,2.867498611,12.80998333,956.3753708
792,2.86775,12.813,949.3147194
793,2.868073056,12.81687667,939.6501646
794,2.868393889,12.82072667,940.2655674
795,2.868641389,12.82369667,939.4899875
796,2.868888333,12.82666,937.1316934
797,2.869134722,12.82961667,931.7494149
798,2.869384444,12.83261333,915.8209144
799,2.869723611,12.83668333,903.9627808
800,2.870050833,12.84061,906.5308533
801,2.870298056,12.84357667,902.8764716
802,2.8705475,12.84657,918.0788598
803,2.870794167,12.84953,923.1622696
804,2.871042778,12.85251333,929.6628814
805,2.871366389,12.85639667,933.612468
806,2.8716825,12.86019,913.7589404
807,2.871928333,12.86314,929.1873271
808,2.872178056,12.86613667,943.1711962
809,2.872429722,12.86915667,938.9132171
810,2.872681111,12.87217333,938.1443479
811,2.8730275,12.87633,934.4540547
812,2.873361944,12.88034333,942.9568004
813,2.873609722,12.88331667,946.642215
814,2.873858056,12.88629667,942.8254663
815,2.8741075,12.88929,934.2158578
816,2.874357778,12.89229333,931.5523384
817,2.874698889,12.89638667,931.924238
818,2.875030278,12.90036333,933.0203057
819,2.875275556,12.90330667,935.5380298
820,2.875522222,12.90626667,938.9128978
821,2.8757725,12.90927,928.7420835
822,2.876019167,12.91223,922.3644078
823,2.876344167,12.91613,907.7810647
824,2.876665833,12.91999,898.8311285
825,2.876913889,12.92296667,888.1278868
826,2.877163333,12.92596,898.8883016
827,2.877409167,12.92891,889.8601629
828,2.877659167,12.93191,884.6525609
829,2.877997222,12.93596667,884.4395376
830,2.878321667,12.93986,883.0330085
831,2.878568611,12.94282333,887.3632995
832,2.878816389,12.94579667,887.9603618
833,2.879064722,12.94877667,888.0542992
834,2.879317778,12.95181333,876.4147369
835,2.879655,12.95586,864.196102
836,2.879986667,12.95984,861.8851038
837,2.880233333,12.9628,852.7664204
838,2.880484722,12.96581667,848.4360349
839,2.880740278,12.96888333,843.1763017
840,2.880990556,12.97188667,821.9393773
841,2.881314444,12.97577333,801.3436325
842,2.881634167,12.97961,806.4038202
843,2.881881389,12.98257667,812.2022426
844,2.882129444,12.98555333,820.8452793
845,2.882378889,12.98854667,831.7784418
846,2.882632778,12.99159333,820.8047066
847,2.882949722,12.99539667,809.780981
848,2.883263333,12.99916,808.8381031
849,2.883508889,13.00210667,817.8369169
850,2.8837575,13.00509,843.7829147
851,2.884008889,13.00810667,825.7061663
852,2.884259167,13.01111,835.7849702
853,2.884596667,13.01516,846.4610297
854,2.884929722,13.01915667,830.2475787
855,2.885179167,13.02215,817.887653
856,2.885430556,13.02516667,824.1833318
857,2.885681944,13.02818333,806.4095221
858,2.885938611,13.03126333,820.1626191
859,2.886293333,13.03552,835.7527753
860,2.886632222,13.03958667,829.7466233
861,2.886879167,13.04255,856.6847982
862,2.887125833,13.04551,872.1894124
863,2.887376667,13.04852,877.3114593
864,2.887626389,13.05151667,873.9554918
865,2.887951944,13.05542333,865.8194931
866,2.888273333,13.05928,874.6666672
867,2.888519722,13.06223667,880.5234222
868,2.8887675,13.06521,883.0118486
