Meas,Time,Temperature,Vmax.og,Vmax.inst
1,0,9.90301,459.4837222,459.4837222
2,0.000249444,9.906003333,456.4805178,456.4805178
3,0.000578889,9.909956667,453.2152413,453.2152413
4,0.000905277,9.913873333,457.0729587,457.0729587
5,0.001154722,9.916866667,454.3795477,454.3795478
6,0.001401666,9.91983,454.4296066,454.4296067
7,0.001649722,9.922806667,456.3276333,456.3276334
8,0.001897777,9.925783333,457.6634601,457.6634602
9,0.00224,9.92989,458.4390263,458.4390264
10,0.002575833,9.93392,459.7383738,459.7383739
11,0.002823889,9.936896667,461.6155274,461.6155276
12,0.00307,9.93985,460.499753,460.4997532
13,0.0033175,9.94282,462.3439438,462.343944
14,0.003571389,9.945866667,460.5669288,460.566929
15,0.003908889,9.949916667,458.2582834,458.2582836
16,0.004240277,9.953893333,458.8427238,458.842724
17,0.004489722,9.956886667,454.6424425,454.6424427
18,0.004739166,9.95988,452.2471856,452.2471859
19,0.004989722,9.962886667,449.3864298,449.3864301
20,0.005238333,9.96587,450.6379205,450.6379208
21,0.005575277,9.969913333,451.3744427,451.374443
22,0.005906111,9.973883333,451.3068499,451.3068502
23,0.006151944,9.976833333,455.2911746,455.2911749
24,0.006402222,9.979836667,457.1523239,457.1523243
25,0.006654444,9.982863333,460.716816,460.7168164
26,0.006902777,9.985843333,460.0095386,460.009539
27,0.007242777,9.989923333,459.3725475,459.3725479
28,0.0075725,9.99388,459.9671059,459.9671063
29,0.007815555,9.996796667,456.6424999,456.6425003
30,0.008064166,9.99978,452.6122049,452.6122053
31,0.008311944,10,453.2073098,453.2073103
32,0.008564166,10,455.9623203,455.9623208
33,0.0089025,10,457.4599647,457.4599652
34,0.009235833,10,460.4158195,460.41582
35,0.009481389,10,461.681161,461.6811615
36,0.009730833,10,462.4337955,462.4337961
37,0.009978889,10,463.536978,463.5369786
38,0.010230555,10,464.3877527,464.3877533
39,0.010566111,10,465.4481573,465.4481579
40,0.010896944,10,467.1276219,467.1276225
41,0.011145555,10,472.1335862,472.1335869
42,0.011390277,10,473.2538826,473.2538833
43,0.011637222,10,480.7028395,480.7028402
44,0.011881944,10,479.4759441,479.4759448
45,0.012219166,10,477.6581782,477.6581789
46,0.012551666,10,480.1870362,480.1870369
47,0.012799444,10,478.5758414,478.5758422
48,0.013051389,10,476.5541897,476.5541905
49,0.013305555,10,480.9362668,480.9362676
50,0.013553889,10,479.1850281,479.1850289
51,0.013892222,10,477.1007511,477.1007519
52,0.014220555,10,475.4672563,475.4672571
53,0.014471666,10,479.416113,479.4161139
54,0.014722777,10,475.2921567,475.2921576
55,0.0149725,10,473.5551427,473.5551436
56,0.015221944,10,473.5505508,473.5505517
57,0.015557222,10,472.2871546,472.2871555
58,0.015891389,10,470.6513682,470.6513691
59,0.016139722,10,470.7061623,470.7061632
60,0.016388889,10,466.4062692,466.4062702
61,0.016638055,10,468.6760473,468.6760483
62,0.016886666,10,467.5931009,467.5931019
63,0.017224444,10,467.5902355,467.5902365
64,0.017555555,10,474.6896439,474.6896449
65,0.017803889,10,479.4719593,479.4719604
66,0.018053611,10,480.5060767,480.5060778
67,0.018303611,10,478.1294512,478.1294523
68,0.018549444,10,478.5213258,478.5213269
69,0.018884722,10,477.1751913,477.1751924
70,0.019210277,10,481.9189997,481.9190009
71,0.019458889,10,481.3945151,481.3945163
72,0.019705555,10,481.5194293,481.5194305
73,0.019951389,10,480.4535969,480.4535981
74,0.020200555,10,477.1203631,477.1203643
75,0.020531389,10,473.5361998,473.536201
76,0.020856944,10,470.5121395,470.5121407
77,0.021105277,10,471.7239204,471.7239216
78,0.021353889,10,471.2905254,471.2905267
79,0.021603333,10,471.3118876,471.3118889
80,0.0218525,10,467.0937975,467.0937988
81,0.022192777,10,462.3627016,462.3627029
82,0.022528611,10,459.6420144,459.6420157
83,0.022778611,10,454.59296,454.5929613
84,0.023027222,10,452.2085967,452.208598
85,0.023276389,10,449.7090104,449.7090117
86,0.023523889,10,451.663524,451.6635253
87,0.023859166,10,453.1791106,453.179112
88,0.02419,10,453.9641421,453.9641435
89,0.024438611,10,456.9679555,456.9679569
90,0.024688055,10,457.837715,457.8377164
91,0.0249375,9.99548,457.856059,457.8560604
92,0.025186111,9.989513333,460.8413447,460.8413462
93,0.025527777,9.981313333,463.358227,463.3582285
94,0.025860277,9.973333333,466.3198658,466.3198673
95,0.026106944,9.967413333,470.5670826,470.5670841
96,0.026356666,9.96142,469.9001595,469.9001611
97,0.026607777,9.955393333,468.9045703,468.9045719
98,0.026859444,9.949353333,469.6705662,469.6705678
99,0.027193611,9.941333333,470.2914223,470.2914239
100,0.027523611,9.933413333,471.127922,471.1279236
101,0.027771944,9.927453333,472.1213387,472.1213403
102,0.028016111,9.921593333,471.0602893,471.060291
103,0.028264444,9.915633333,469.5000537,469.5000554
104,0.028511944,9.909693333,468.1514218,468.1514235
105,0.028853611,9.901493333,466.3061672,466.3061689
106,0.02919,9.89342,465.2847617,465.2847634
107,0.029438889,9.887446667,468.4642907,468.4642924
108,0.029692777,9.881353333,471.7167994,471.7168012
109,0.029941944,9.875373333,471.4006247,471.4006265
110,0.030191389,9.869386667,470.3375509,470.3375527
111,0.030524166,9.8614,468.564455,468.5644568
112,0.030853055,9.853506667,470.2139738,470.2139756
113,0.031104444,9.847473333,471.4024284,471.4024302
114,0.031354722,9.841466667,472.9368523,472.9368542
115,0.031605833,9.83544,475.4198084,475.4198103
116,0.031853055,9.829506667,472.8800857,472.8800876
117,0.032193611,9.821333333,470.161732,470.1617339
118,0.032528611,9.813293333,471.1093026,471.1093045
119,0.032776666,9.80734,468.6161172,468.6161191
120,0.033026111,9.801353333,470.0966238,470.0966257
121,0.033277222,9.795326667,469.488419,469.4884209
122,0.033526666,9.78934,471.0475964,471.0475984
123,0.033858611,9.781373333,471.7165738,471.7165758
124,0.034184722,9.773546667,472.1590608,472.1590628
