Meas,Time,Temperature,Vmax
1,0.900341944,10.006155,112.5134205
2,0.900590833,10.010635,117.8426998
3,0.900840278,10.015125,117.4211924
4,0.901090278,10.019625,120.8383324
5,0.901337778,10.02408,126.0693455
6,0.901678333,10.03021,131.3776813
7,0.902010278,10.036185,134.2065561
8,0.902260833,10.040695,134.043105
9,0.902509722,10.045175,135.7214257
10,0.902755,10.04959,134.8283819
11,0.903001667,10.05403,134.7449945
12,0.903345278,10.060215,134.1249634
13,0.903681389,10.066265,135.4558777
14,0.90393,10.07074,139.4375245
15,0.9041775,10.075195,145.1747666
16,0.904424167,10.079635,142.5109532
17,0.904671667,10.08409,141.851864
18,0.905009722,10.090175,140.721873
19,0.905340833,10.096135,137.7034808
20,0.905590278,10.100625,133.8021705
21,0.905836944,10.105065,126.2939762
22,0.906085278,10.109535,121.014391
23,0.906335833,10.114045,113.9735107
24,0.906679444,10.12023,107.4071805
25,0.907013611,10.126245,104.6201646
26,0.907260833,10.130695,108.3792938
27,0.90751,10.13518,108.2082319
28,0.9077575,10.139635,110.4101922
29,0.908006111,10.14411,112.5991773
30,0.908346111,10.15023,114.6198094
31,0.908679444,10.15623,113.5692159
32,0.908931944,10.160775,113.9116698
33,0.909181111,10.16526,112.5198993
34,0.909429722,10.169735,109.5395122
35,0.909674444,10.17414,105.187847
36,0.910006389,10.180115,100.4651689
37,0.910334444,10.18602,97.33299436
38,0.910583056,10.190495,96.54341128
39,0.910832222,10.19498,95.72521496
40,0.911080278,10.199445,95.08373994
41,0.9113275,10.203895,90.96671611
42,0.911663889,10.20995,86.53360846
43,0.911993611,10.215885,83.31990538
44,0.912242222,10.22036,80.43759928
45,0.912496389,10.224935,82.9850059
46,0.912746389,10.229435,84.13582337
47,0.912993333,10.23388,86.05749136
48,0.913335,10.24003,88.27916275
49,0.9136675,10.246015,88.17080548
50,0.913914167,10.250455,87.40094175
51,0.914163889,10.25495,84.42147642
52,0.914415,10.25947,84.42990203
53,0.9146625,10.263925,90.83751936
54,0.9150025,10.270045,97.1085354
55,0.915336389,10.276055,98.07723468
56,0.915586389,10.280555,97.12072265
57,0.915831667,10.28497,98.51096017
58,0.91608,10.28944,98.97325035
59,0.916328611,10.293915,93.31416216
60,0.916665833,10.299985,87.30824795
61,0.916996389,10.3,85.52733744
62,0.917246111,10.3,83.59131353
63,0.917496389,10.3,81.5476936
64,0.917745556,10.3,76.6644512
65,0.917993333,10.3,74.50452578
66,0.918330833,10.3,72.55230136
67,0.918662222,10.3,72.53299969
68,0.918908889,10.3,74.31660127
69,0.919153889,10.3,73.22572173
70,0.919401111,10.3,69.34974794
71,0.919649722,10.3,67.67406586
72,0.919983333,10.3,65.96829534
73,0.920310833,10.3,59.99045278
74,0.920558333,10.3,57.93929964
75,0.920805556,10.3,56.48719528
76,0.921055,10.3,54.14432019
77,0.921301111,10.3,52.40594499
78,0.921630833,10.3,50.34245082
79,0.921957778,10.3,49.53940648
80,0.922206667,10.3,52.31522441
81,0.922459722,10.3,53.84232699
82,0.922710833,10.3,56.84901807
83,0.922961111,10.3,58.22682169
84,0.923296111,10.3,59.61844917
85,0.923624722,10.3,62.57129296
86,0.923876667,10.3,66.72320791
87,0.924126389,10.3,67.01365971
88,0.924375,10.3,67.53193612
89,0.924626389,10.3,69.85427149
90,0.9249625,10.3,72.18701831
91,0.925291389,10.3,75.84276431
92,0.925543333,10.3,69.64665232
93,0.925793056,10.3,70.60146931
94,0.926046389,10.3,68.8961354
95,0.926298056,10.3,73.02559489
96,0.926628056,10.3,77.83424661
97,0.92695,10.3,77.03042832
98,0.927196667,10.3,77.37946498
99,0.927446944,10.3,77.69921195
100,0.927699167,10.3,76.01596233
101,0.9279475,10.3,77.59525028
102,0.9282875,10.3,78.52903654
103,0.928622778,10.3,80.34484225
104,0.928871389,10.3,77.66131742
105,0.929121944,10.3,79.30123127
106,0.929370278,10.3,83.79463021
107,0.929616944,10.3,84.08450727
108,0.929955,10.3,84.2726367
109,0.930287778,10.3,84.14242153
110,0.930536389,10.3,83.89176678
111,0.930785,10.3,84.26795782
112,0.931035278,10.3,85.67038918
113,0.931284722,10.3,86.83443664
114,0.931621667,10.3,87.56803058
115,0.931954722,10.3,88.30619695
116,0.932203889,10.3,91.29195714
117,0.9324525,10.3,96.48619985
118,0.932701944,10.3,97.493448
119,0.932950556,10.3,100.8568341
120,0.933291389,10.3,104.5147635
121,0.933622778,10.29652667,108.1823144
122,0.933875278,10.29349667,110.330169
123,0.934122778,10.29052667,109.9381857
124,0.9343675,10.28759,110.0125019
125,0.934611389,10.28466333,114.843237
126,0.934951667,10.28058,120.09303
127,0.935283056,10.27660333,121.7096389
128,0.935529167,10.27365,119.2744541
129,0.935775833,10.27069,119.4039835
130,0.936025,10.2677,119.6201184
131,0.936271667,10.26474,119.7215188
132,0.936610556,10.26067333,119.4181119
133,0.936941667,10.2567,119.4488672
134,0.937192778,10.25368667,118.2104211
135,0.937442222,10.25069333,124.2886263
136,0.937690833,10.24771,119.304651
137,0.937938611,10.24473667,119.2049784
138,0.938278611,10.24065667,118.9515893
139,0.938613889,10.23663333,112.5257328
140,0.938866111,10.23360667,110.4072046
141,0.939116944,10.23059667,104.8029535
142,0.9393675,10.22759,104.2793281
143,0.939616944,10.22459667,98.86996819
144,0.939954444,10.22054667,93.82416821
145,0.940288056,10.21654333,95.7361278
146,0.940538056,10.21354333,98.14617579
147,0.940783611,10.21059667,96.08582682
148,0.941034167,10.20759,98.92295899
149,0.941284722,10.20458333,99.98054591
150,0.941623889,10.20051333,101.2816572
151,0.941953611,10.19655667,102.5054094
152,0.942201389,10.19358333,101.8699663
153,0.942446944,10.19063667,102.9689854
154,0.942695556,10.18765333,102.027942
155,0.942943889,10.18467333,101.5173387
156,0.943283056,10.18060333,100.5602047
157,0.943621111,10.17654667,100.5515333
158,0.943871667,10.17354,99.62709321
159,0.944124722,10.17050333,98.7272394
160,0.944371389,10.16754333,94.86753243
161,0.944618889,10.16457333,89.17610353
162,0.944955833,10.16053,83.05841323
163,0.945287778,10.15654667,82.7302723
164,0.945536389,10.15356333,80.61356293
165,0.9457875,10.15055,79.36880131
166,0.946038056,10.14754333,80.25669209
167,0.9462875,10.14455,84.45891536
168,0.946626389,10.14048333,89.23204863
169,0.946957222,10.13651333,87.94142753
170,0.947205556,10.13353333,84.32991208
171,0.947453333,10.13056,82.05626712
172,0.947704444,10.12754667,80.80004029
173,0.947955278,10.12453667,87.48866196
174,0.948289444,10.12052667,93.72112641
175,0.9486175,10.11659,98.32315948
176,0.948866111,10.11360667,94.56798104
177,0.949118056,10.11058333,94.85949951
178,0.949373889,10.10751333,94.80198008
179,0.949621944,10.10453667,88.68813913
180,0.949954167,10.10055,82.38623907
181,0.950283889,10.10681333,84.17247127
182,0.950531667,10.11276,83.89365445
183,0.950780278,10.11872667,80.0554557
184,0.951028889,10.12469333,79.25981081
185,0.951277222,10.13065333,79.15380352
186,0.951613611,10.13872667,79.35280627
187,0.951944444,10.14666667,79.41248087
188,0.952193889,10.15265333,79.9452143
189,0.952443333,10.15864,77.29060977
190,0.952689722,10.16455333,78.10847583
191,0.952939722,10.17055333,78.25745682
192,0.953277778,10.17866667,78.1039978
193,0.9536075,10.18658,73.40010865
194,0.953855833,10.19254,71.80709407
195,0.954105278,10.19852667,71.71113533
196,0.95436,10.20464,68.07064282
197,0.954606944,10.21056667,65.34294376
198,0.954949722,10.21879333,62.50201785
199,0.955285,10.22684,59.68295755
200,0.955530556,10.23273333,59.56511246
201,0.955781111,10.23874667,55.17762181
202,0.956027222,10.24465333,57.60609277
203,0.956277222,10.25065333,58.92548235
204,0.956623611,10.25896667,60.09689599
205,0.956953611,10.26688667,58.09607168
206,0.957202778,10.27286667,61.70081436
207,0.957453611,10.27888667,59.93512148
208,0.957706389,10.28495333,60.27135023
209,0.957959444,10.29102667,60.45099014
210,0.958293056,10.29903333,61.24811657
211,0.958620278,10.30688667,65.47427596
212,0.958868056,10.31283333,65.42565537
213,0.959115278,10.31876667,69.03343986
214,0.959363889,10.32473333,69.63018394
215,0.959613333,10.33072,72.32579635
216,0.959956667,10.33896,74.95414046
217,0.960290278,10.34696667,72.26463439
218,0.960538333,10.35292,70.27773831
219,0.960788333,10.35892,72.98198186
220,0.961038889,10.36493333,73.56685025
221,0.961291944,10.37100667,78.31231346
222,0.961629167,10.3791,82.82621246
223,0.961953611,10.38688667,89.12649889
224,0.962200278,10.39280667,89.32874467
225,0.962450556,10.39881333,93.85160333
226,0.962699722,10.40479333,93.45885071
227,0.962949444,10.41078667,94.89905407
228,0.963289167,10.41894,96.46737848
229,0.963625556,10.42701333,99.47440633
230,0.963875278,10.43300667,99.62276128
231,0.964124444,10.43898667,102.0698068
232,0.964373889,10.44497333,101.0459904
233,0.9646225,10.45094,105.5974238
234,0.964955833,10.45894,109.9217778
235,0.965283056,10.46679333,110.9522248
236,0.96553,10.47272,110.066666
237,0.965776389,10.47863333,110.3642532
238,0.966023333,10.48456,111.0653856
239,0.966270833,10.4905,112.5683501
240,0.966609167,10.49862,113.7708071
241,0.966938056,10.49837167,116.8637744
242,0.967188611,10.49686833,120.1221979
243,0.9674375,10.495375,118.0072475
244,0.967685556,10.49388667,110.0074837
245,0.967934722,10.49239167,110.00376
246,0.968264444,10.49041333,110.119867
247,0.968591111,10.48845333,106.8210757
248,0.9688425,10.486945,102.7389854
249,0.969090556,10.48545667,103.0536645
250,0.9693375,10.483975,103.1742264
251,0.969589444,10.48246333,105.3054433
252,0.969925833,10.480445,107.5803056
253,0.970260278,10.47843833,107.148094
254,0.970512778,10.47692333,109.1275628
255,0.970761389,10.47543167,110.7538671
256,0.971011389,10.47393167,111.7913529
257,0.97126,10.47244,116.0504098
258,0.971596944,10.47041833,120.3303445
259,0.971928889,10.46842667,118.093995
260,0.972175556,10.46694667,122.8226899
261,0.972420556,10.46547667,122.2906349
262,0.972666111,10.46400333,128.4474374
263,0.972913889,10.46251667,130.2196639
264,0.973247222,10.46051667,132.0667014
265,0.973574444,10.45855333,130.6301841
266,0.973821111,10.45707333,131.7082346
267,0.974068889,10.45558667,130.8564968
268,0.974317222,10.45409667,129.9605501
269,0.9745675,10.452595,125.1565456
270,0.974905833,10.450565,120.227743
271,0.975235,10.44859,118.170934
272,0.975483611,10.44709833,115.5794374
273,0.975731667,10.44561,120.1341404
274,0.975980556,10.44411667,121.0350847
275,0.976229722,10.44262167,121.9722403
276,0.976568056,10.44059167,122.7125789
277,0.976896944,10.43861833,124.6095228
278,0.977147222,10.43711667,126.6527533
279,0.977398611,10.43560833,123.5341206
280,0.977651389,10.43409167,118.2490429
281,0.977900833,10.432595,106.2240317
282,0.978233056,10.43060167,94.09236869
283,0.978561389,10.42863167,91.75422677
284,0.978811944,10.42712833,91.17322706
285,0.979066111,10.42560333,94.39757034
286,0.979314722,10.42411167,97.39989324
287,0.979569444,10.42258333,99.6302014
288,0.979904722,10.42057167,101.9141555
289,0.980229167,10.418625,99.83571091
290,0.980474444,10.41715333,94.27884169
291,0.980721111,10.41567333,99.33286704
292,0.980970278,10.41417833,99.96380322
293,0.981218889,10.41268667,101.7322058
294,0.981559722,10.41064167,103.1980635
295,0.981893056,10.40864167,105.258606
296,0.982141944,10.40714833,102.0029328
297,0.982391111,10.40565333,99.35055978
298,0.982643333,10.40414,100.6046057
299,0.982891111,10.40265333,98.13625302
300,0.983232778,10.40060333,95.87243459
301,0.983568056,10.39718333,100.8879344
302,0.983813889,10.39423333,99.17078788
303,0.984062222,10.39125333,95.74930004
304,0.9843125,10.38825,94.71519308
305,0.984565278,10.38521667,98.42536084
306,0.984898611,10.38121667,101.7584484
307,0.985225,10.3773,102.3977704
308,0.985471389,10.37434333,99.0277652
309,0.98572,10.37136,95.31603763
310,0.9859675,10.36839,95.94693482
311,0.986219722,10.36536333,92.82644177
312,0.986559722,10.36128333,89.48152596
313,0.986889722,10.35732333,83.74251868
314,0.987139722,10.35432333,78.61078592
315,0.987390278,10.35131667,76.44215154
316,0.987638611,10.34833667,68.47155818
317,0.987889444,10.34532667,64.47019851
318,0.988230833,10.34123,60.60553393
319,0.988563611,10.33723667,55.93784703
320,0.988809444,10.33428667,53.21002385
321,0.989058889,10.33129333,47.26215936
322,0.98931,10.32828,43.35136541
323,0.9895625,10.32525,42.01939523
324,0.989901389,10.32118333,40.54874138
325,0.990228333,10.31726,35.28092865
326,0.990475,10.3143,33.39172812
327,0.990723889,10.31131333,28.31284905
328,0.990974167,10.30831,23.27344783
329,0.991219722,10.30536333,22.16070499
330,0.991563333,10.30124,21.10386828
331,0.991898056,10.29722333,17.32919274
332,0.992149167,10.29421,16.93863171
333,0.992402222,10.29117333,17.23202691
334,0.992649167,10.28821,20.52477492
335,0.992899167,10.28521,23.5459372
336,0.993233889,10.28119333,26.85787319
337,0.993564444,10.27722667,29.6325685
338,0.993813889,10.27423333,27.54135195
339,0.994060833,10.27127,33.34087918
340,0.994308333,10.2683,39.34993923
341,0.994557778,10.26530667,45.18613289
342,0.994900278,10.26119667,50.53554087
343,0.995236667,10.25716,53.17875647
