Meas,Time,Temperature,Vmax.og,Vmax.inst
1,0,10.006155,112.5134205,112.5134205
2,0.000248889,10.010635,117.8426998,117.8426998
3,0.000498334,10.015125,117.4211924,117.4211924
4,0.000748334,10.019625,120.8383324,120.8383324
5,0.000995834,10.02408,126.0693455,126.0693455
6,0.001336389,10.03021,131.3776813,131.3776813
7,0.001668334,10.036185,134.2065561,134.2065561
8,0.001918889,10.040695,134.043105,134.043105
9,0.002167778,10.045175,135.7214257,135.7214257
10,0.002413056,10.04959,134.8283819,134.8283819
11,0.002659723,10.05403,134.7449945,134.7449945
12,0.003003334,10.060215,134.1249634,134.1249635
13,0.003339445,10.066265,135.4558777,135.4558778
14,0.003588056,10.07074,139.4375245,139.4375246
15,0.003835556,10.075195,145.1747666,145.1747667
16,0.004082223,10.079635,142.5109532,142.5109533
17,0.004329723,10.08409,141.851864,141.8518641
18,0.004667778,10.090175,140.721873,140.7218731
19,0.004998889,10.096135,137.7034808,137.7034809
20,0.005248334,10.100625,133.8021705,133.8021706
21,0.005495,10.105065,126.2939762,126.2939763
22,0.005743334,10.109535,121.014391,121.0143911
23,0.005993889,10.114045,113.9735107,113.9735108
24,0.0063375,10.12023,107.4071805,107.4071806
25,0.006671667,10.126245,104.6201646,104.6201647
26,0.006918889,10.130695,108.3792938,108.3792939
27,0.007168056,10.13518,108.2082319,108.208232
28,0.007415556,10.139635,110.4101922,110.4101923
29,0.007664167,10.14411,112.5991773,112.5991774
30,0.008004167,10.15023,114.6198094,114.6198095
31,0.0083375,10.15623,113.5692159,113.569216
32,0.00859,10.160775,113.9116698,113.9116699
33,0.008839167,10.16526,112.5198993,112.5198994
34,0.009087778,10.169735,109.5395122,109.5395123
35,0.0093325,10.17414,105.187847,105.1878471
36,0.009664445,10.180115,100.4651689,100.465169
37,0.0099925,10.18602,97.33299436,97.33299449
38,0.010241112,10.190495,96.54341128,96.54341141
39,0.010490278,10.19498,95.72521496,95.72521509
40,0.010738334,10.199445,95.08373994,95.08374008
41,0.010985556,10.203895,90.96671611,90.96671624
42,0.011321945,10.20995,86.53360846,86.53360859
43,0.011651667,10.215885,83.31990538,83.31990551
44,0.011900278,10.22036,80.43759928,80.43759941
45,0.012154445,10.224935,82.9850059,82.98500603
46,0.012404445,10.229435,84.13582337,84.13582351
47,0.012651389,10.23388,86.05749136,86.05749151
48,0.012993056,10.24003,88.27916275,88.2791629
49,0.013325556,10.246015,88.17080548,88.17080564
50,0.013572223,10.250455,87.40094175,87.40094191
51,0.013821945,10.25495,84.42147642,84.42147658
52,0.014073056,10.25947,84.42990203,84.42990219
53,0.014320556,10.263925,90.83751936,90.83751954
54,0.014660556,10.270045,97.1085354,97.10853559
55,0.014994445,10.276055,98.07723468,98.07723488
56,0.015244445,10.280555,97.12072265,97.12072285
57,0.015489723,10.28497,98.51096017,98.51096038
58,0.015738056,10.28944,98.97325035,98.97325056
59,0.015986667,10.293915,93.31416216,93.31416237
60,0.016323889,10.299985,87.30824795,87.30824815
61,0.016654445,10.3,85.52733744,85.52733764
62,0.016904167,10.3,83.59131353,83.59131372
63,0.017154445,10.3,81.5476936,81.54769379
64,0.017403612,10.3,76.6644512,76.66445138
65,0.017651389,10.3,74.50452578,74.50452596
66,0.017988889,10.3,72.55230136,72.55230154
67,0.018320278,10.3,72.53299969,72.53299987
68,0.018566945,10.3,74.31660127,74.31660146
69,0.018811945,10.3,73.22572173,73.22572192
70,0.019059167,10.3,69.34974794,69.34974812
71,0.019307778,10.3,67.67406586,67.67406604
72,0.019641389,10.3,65.96829534,65.96829552
73,0.019968889,10.3,59.99045278,59.99045295
74,0.020216389,10.3,57.93929964,57.9392998
75,0.020463612,10.3,56.48719528,56.48719544
76,0.020713056,10.3,54.14432019,54.14432035
77,0.020959167,10.3,52.40594499,52.40594514
78,0.021288889,10.3,50.34245082,50.34245097
79,0.021615834,10.3,49.53940648,49.53940663
80,0.021864723,10.3,52.31522441,52.31522457
81,0.022117778,10.3,53.84232699,53.84232716
82,0.022368889,10.3,56.84901807,56.84901825
83,0.022619167,10.3,58.22682169,58.22682188
84,0.022954167,10.3,59.61844917,59.61844936
85,0.023282778,10.3,62.57129296,62.57129316
86,0.023534723,10.3,66.72320791,66.72320813
87,0.023784445,10.3,67.01365971,67.01365993
88,0.024033056,10.3,67.53193612,67.53193635
89,0.024284445,10.3,69.85427149,69.85427173
90,0.024620556,10.3,72.18701831,72.18701856
91,0.024949445,10.3,75.84276431,75.84276458
92,0.025201389,10.3,69.64665232,69.64665257
93,0.025451112,10.3,70.60146931,70.60146956
94,0.025704445,10.3,68.8961354,68.89613565
95,0.025956112,10.3,73.02559489,73.02559516
96,0.026286112,10.3,77.83424661,77.8342469
97,0.026608056,10.3,77.03042832,77.03042861
98,0.026854723,10.3,77.37946498,77.37946528
99,0.027105,10.3,77.69921195,77.69921225
100,0.027357223,10.3,76.01596233,76.01596263
101,0.027605556,10.3,77.59525028,77.59525059
102,0.027945556,10.3,78.52903654,78.52903685
103,0.028280834,10.3,80.34484225,80.34484257
104,0.028529445,10.3,77.66131742,77.66131774
105,0.02878,10.3,79.30123127,79.3012316
106,0.029028334,10.3,83.79463021,83.79463056
107,0.029275,10.3,84.08450727,84.08450762
108,0.029613056,10.3,84.2726367,84.27263706
109,0.029945834,10.3,84.14242153,84.14242189
110,0.030194445,10.3,83.89176678,83.89176714
111,0.030443056,10.3,84.26795782,84.26795819
112,0.030693334,10.3,85.67038918,85.67038956
113,0.030942778,10.3,86.83443664,86.83443703
114,0.031279723,10.3,87.56803058,87.56803097
115,0.031612778,10.3,88.30619695,88.30619735
116,0.031861945,10.3,91.29195714,91.29195756
117,0.032110556,10.3,96.48619985,96.48620029
118,0.03236,10.3,97.493448,97.49344845
119,0.032608612,10.3,100.8568341,100.8568346
120,0.032949445,10.3,104.5147635,104.514764
121,0.033280834,10.29652667,108.1823144,108.1823149
122,0.033533334,10.29349667,110.330169,110.3301695
123,0.033780834,10.29052667,109.9381857,109.9381862
124,0.034025556,10.28759,110.0125019,110.0125024
125,0.034269445,10.28466333,114.843237,114.8432376
126,0.034609723,10.28058,120.09303,120.0930306
127,0.034941112,10.27660333,121.7096389,121.7096395
128,0.035187223,10.27365,119.2744541,119.2744547
