Curve,CO2S,Ci,Tleaf,Photo,PARi,Direction
20,381.6063207,268.7175887,20.01257619,10.24572736,1500,up
20,285.7887521,200.8990929,19.99588095,7.89822965,1500,up
20,191.0401844,138.3090227,19.99352857,4.947049537,1500,up
20,144.0348531,109.2866,20.00172381,3.246012271,1500,up
20,97.18532199,80.88901278,20.01092381,1.475183406,1500,up
20,50.40774805,52.83380613,20.01042381,-0.345402062,1500,up
20,381.8456067,281.404005,19.9807,9.996199225,1500,up
20,479.2908908,365.5251995,19.99032857,11.30403122,1500,up
20,578.0967473,456.2795762,19.98811905,11.83726579,1500,up
20,776.422937,638.68338,20.02548571,12.47446011,1500,up
20,975.8647464,825.9215253,20.00056667,12.57229301,1500,up
20,1175.645699,1015.452512,19.99341429,12.43348468,1500,up
20,1375.368556,1204.190952,19.99436667,12.37785235,1500,up
25,379.1882236,265.1037658,24.99774286,11.56969509,1500,up
25,284.690894,197.5795614,25.00897619,8.541477816,1500,up
25,191.126851,142.0548257,25.00112381,4.871118186,1500,up
25,144.3573771,114.1275552,24.99335714,3.043176442,1500,up
25,97.72524619,85.59874752,24.9996,1.140282063,1500,up
25,51.17142483,57.30579599,25.00072381,-0.810546275,1500,up
25,379.0123187,275.176823,25.00661429,11.59962375,1500,up
25,474.3214108,344.9696624,25.00308571,14.16179023,1500,up
25,571.5332184,414.9387422,25.00217619,15.69292799,1500,up
25,767.674692,570.5650212,25.00245238,17.73489694,1500,up
25,966.1570722,746.9849703,25.0002,18.35519851,1500,up
25,1165.419024,926.6040621,25.00368095,18.58915427,1500,up
25,1365.362358,1126.990365,24.9903381,18.31056164,1500,up
30,377.8760796,270.0947866,29.99489048,12.25226724,1500,up
30,284.3795128,206.4979715,30.00119524,8.639591897,1500,up
30,191.3380416,149.2070891,29.9871381,4.723165555,1500,up
30,144.8879966,120.6275812,29.9901619,2.695524406,1500,up
30,98.39548482,90.93401572,30.00536667,0.699101883,1500,up
30,52.20651612,62.42156551,29.99443333,-1.433518093,1500,up
30,377.6517462,278.4188641,30.00833333,12.29406067,1500,up
30,471.6450276,339.3692109,30.00120476,15.65305904,1500,up
30,567.0618339,408.7924294,30.01438095,18.18794158,1500,up
30,760.3330674,560.5976317,29.9908,21.78783371,1500,up
30,956.3388267,722.484912,30.0001,23.85868981,1500,up
30,1154.52473,899.7226984,30.01393333,24.5941172,1500,up
30,1353.803778,1081.351997,29.99574286,24.78204163,1500,up
35,378.6556038,286.7234988,34.99231905,11.74087983,1500,up
35,285.1128466,216.2816223,35.01028095,8.122974242,1500,up
35,192.3290899,158.4435991,34.9830381,4.088514074,1500,up
35,145.9927593,129.0064927,34.99456667,2.008399542,1500,up
35,99.43340948,97.25976392,34.99678095,0.032586112,1500,up
35,53.12869782,65.61292613,34.99539524,-1.984208919,1500,up
35,378.1792226,292.9638698,35.02041905,11.86334638,1500,up
35,471.4978846,358.1419993,34.99414762,15.52125087,1500,up
35,565.8477853,425.3497961,35.00248571,18.66273691,1500,up
35,757.397827,573.9877946,35.01470952,23.21101642,1500,up
35,951.6486802,732.0808536,35.00700476,26.23117454,1500,up
35,1147.93663,897.1981566,35.0039,28.09734176,1500,up
35,1346.08282,1075.982914,35.00358571,28.82533603,1500,up
40,383.8160842,326.5079599,39.98041905,8.304777898,1500,up
40,289.4097073,252.0609793,40.00213333,5.283440558,1500,up
40,195.3860449,179.1981084,40.00062857,2.063870004,1500,up
40,148.4134281,143.2117839,39.98871429,0.386546784,1500,up
40,101.2645253,105.4450013,39.99076667,-1.125864616,1500,up
40,54.03711773,66.95883812,39.99917619,-2.610828463,1500,up
40,385.0094188,339.0208124,39.99300476,7.405589808,1500,up
40,479.3664147,414.0497668,40.00907143,10.45016697,1500,up
40,573.9654586,491.3368346,39.99647619,13.29678954,1500,up
40,766.049739,654.9621912,40.0068,17.33284576,1500,up
40,959.4386394,823.8304456,40.01362857,20.56828988,1500,up
40,1154.757113,1000.118984,39.9972,22.70331215,1500,up
40,1351.075206,1179.281796,39.9937381,24.30817967,1500,up
20,388.8940399,239.1786659,20.0116,6.052617816,1500,down
20,291.7798515,182.4298118,20.00359524,4.477520088,1500,down
20,194.9792823,130.3174847,19.99607143,2.71448983,1500,down
20,146.6765215,104.4832905,19.99048095,1.791124198,1500,down
20,98.43711326,79.40886001,19.99668095,0.807800247,1500,down
20,50.23823357,53.28710264,19.98594286,-0.18701084,1500,down
20,388.856659,256.1732599,19.99782381,6.039470449,1500,down
20,486.7148957,330.7134442,19.9970619,7.150387993,1500,down
20,585.2647042,409.1333151,20.01849048,7.923695327,1500,down
20,783.8228461,575.4871701,19.99186667,8.649769649,1500,down
20,983.1128459,747.8758548,20.00497143,8.88473428,1500,down
20,1182.419036,914.5923277,20.00994286,9.219600302,1500,down
20,1382.094274,1111.962318,19.9970381,9.213369712,1500,down
15,392.0869947,270.106744,15.01210952,4.259462788,1500,down
15,293.8780911,201.1797687,15.00045238,3.292894212,1500,down
15,196.0827116,135.5381607,15.01247619,2.11532392,1500,down
15,147.2993315,106.7119137,15.00137143,1.446192078,1500,down
15,98.6200753,78.75866605,14.99474286,0.713891576,1500,down
15,49.99250956,49.77081391,14.99902857,-0.02884331,1500,down
15,392.3860425,285.0829088,15.00814286,4.071309312,1500,down
15,491.5257563,375.8304281,14.98207619,4.477873763,1500,down
15,590.8667559,464.3674527,14.98972857,4.78231215,1500,down
15,790.38647,655.2496517,14.99376667,4.91773849,1500,down
15,990.0069937,838.9462354,14.99882381,5.017746865,1500,down
15,1189.775232,1028.202704,14.99275714,5.054017577,1500,down
15,1389.573803,1217.785854,15.00058571,5.075736456,1500,down
10,396.7861885,340.5316385,10.00558714,1.614189371,1500,down
10,297.3677603,251.1713216,10.00200095,1.344028384,1500,down
10,198.1135226,164.8836352,9.995285238,0.977385621,1500,down
10,148.6471896,125.1043676,9.987157619,0.691466159,1500,down
10,99.31979006,87.31519251,9.999950476,0.340212475,1500,down
10,50.00456673,50.47947346,9.996318571,-0.047602764,1500,down
10,397.0309506,349.4865329,9.99784381,1.452666791,1500,down
10,496.921903,446.3192176,9.999784762,1.469250995,1500,down
10,596.5190456,540.3620026,9.980507143,1.621100979,1500,down
10,796.2473313,735.8241147,9.994784286,1.672205065,1500,down
10,996.0319027,932.5388548,9.994328095,1.667133674,1500,down
10,1195.882379,1131.55918,9.994761905,1.60262131,1500,down
