Curve,CO2S,Ci,Tleaf,Photo,PARi,Direction
25,389.5580878,220.923078,25.0,7.792155063,1500,down
25,292.5565185,176.2191883,25.0,5.509166376,1500,down
25,195.6628065,128.3640959,25.0,3.164350906,1500,down
25,147.1616171,105.3552503,25.0,2.067055036,1500,down
25,98.73034202,80.95164794,25.0,0.875356509,1500,down
25,50.34979081,55.7836009,25.0,-0.346426299,1500,down
25,389.2623733,244.7466226,25.0,7.940657204,1500,down
25,486.350276,303.8812049,25.0,10.09826773,1500,down
25,584.2018936,359.7883094,25.0,11.69430925,1500,down
25,781.8887966,430.1150696,25.0,13.51015587,1500,down
25,981.2260341,509.3919747,25.0,14.06882878,1500,down
25,1180.524748,577.1988865,25.0,14.65649979,1500,down
25,1379.9657,661.1790364,25.0,15.07580334,1500,down
20,392.059042,201.5031028,20.0,5.940913748,1500,down
20,294.1988054,167.2894634,20.0,4.321205505,1500,down
20,196.5518071,122.0563188,20.0,2.544156557,1500,down
20,147.7127603,101.8331358,20.0,1.661989701,1500,down
20,98.83217066,74.9118327,20.0,0.818473897,1500,down
20,50.05038578,50.77162442,20.0,-0.065649776,1500,down
20,391.796899,228.2018095,20.0,6.105990179,1500,down
20,489.7571357,297.3486563,20.0,7.59399524,1500,down
20,588.2397537,366.4839717,20.0,8.692509127,1500,down
20,786.5154668,525.3773329,20.0,9.910628434,1500,down
20,985.8483236,681.3166472,20.0,10.36860423,1500,down
20,1185.631419,769.3752275,20.0,10.58651239,1500,down
20,1385.685704,819.577721,20.0,10.62302271,1500,down
15,394.903806,230.7000273,15.0,3.796349122,1500,down
15,296.3148546,178.1723646,15.0,2.737967333,1500,down
15,197.695427,123.8495622,15.0,1.698573943,1500,down
15,148.5046657,101.2087974,15.0,1.093653734,1500,down
15,99.23576618,75.98893035,15.0,0.529964409,1500,down
15,50.00727623,50.54468502,15.0,-0.037608085,1500,down
15,394.9060917,244.8247727,15.0,3.786513034,1500,down
15,493.9377102,321.1086495,15.0,4.465143367,1500,down
15,593.2079001,398.895483,15.0,4.980124563,1500,down
15,792.3108043,571.46334,15.0,5.633395422,1500,down
15,991.915947,764.5308887,15.0,5.785570988,1500,down
15,1191.606661,950.0276688,15.0,5.917773965,1500,down
15,1391.501423,1134.469666,15.0,5.913196279,1500,down
10,397.150998,160.7332989,10.0,2.211601464,1500,down
10,297.7899033,195.3483281,10.0,1.630380909,1500,down
10,198.5554752,131.514317,10.0,1.061565941,1500,down
10,149.130428,100.9931998,10.0,0.651704319,1500,down
10,99.54175209,81.12311221,10.0,0.321050745,1500,down
10,50.04740483,52.71594244,10.0,-0.070523096,1500,down
10,397.1799505,273.7065723,10.0,2.073075078,1500,down
10,496.7355692,353.4509818,10.0,2.391424316,1500,down
10,596.3682833,438.3159248,10.0,2.650044931,1500,down
10,796.0153308,641.2722185,10.0,2.811664081,1500,down
10,995.8498069,838.5937321,10.0,2.862837832,1500,down
10,1195.793331,1038.867758,10.0,2.820552088,1500,down
25,389.8751833,218.9245884,25.00132381,7.496192535,1500,up
25,292.8004235,174.6258904,25.00945714,5.306656103,1500,up
25,195.7389494,129.9699234,24.99467143,3.108327826,1500,up
25,147.1708076,104.4929267,25.00299524,2.032830706,1500,up
25,98.68648008,79.40572749,24.99895238,0.91317851,1500,up
25,50.28698122,54.47653288,25.00387619,-0.282801995,1500,up
25,389.4528498,257.1092337,25.0019381,7.702173373,1500,up
25,486.8418955,310.9972968,25.00803333,9.655849977,1500,up
25,585.3572754,339.2589018,25.00339524,10.78897613,1500,up
25,782.9890355,406.5838528,25.00543333,12.59441347,1500,up
25,981.4932726,535.5977356,25.0043381,13.72210365,1500,up
25,1180.192367,603.4425213,25.00580952,14.74105973,1500,up
25,1379.122366,736.5921763,24.96958095,15.53156936,1500,up
30,391.2893271,248.4333781,30.01397619,6.390174561,1500,up
30,293.9256147,186.2132071,30.00048571,4.437864841,1500,up
30,196.5476642,139.0318689,29.99955238,2.501944524,1500,up
30,147.8776652,119.8097724,29.95690476,1.488522347,1500,up
30,99.30439004,88.96628514,30.039,0.443175294,1500,up
30,50.75853873,61.83953514,29.9881381,-0.653673697,1500,up
30,391.1432319,278.3583081,30.01294286,6.411563375,1500,up
30,488.2482773,329.6375597,29.95501429,8.597577055,1500,up
30,585.7342755,384.6821281,29.98029524,10.43460598,1500,up
30,782.1382253,475.0237059,30.03038095,13.11747558,1500,up
30,979.7687473,569.5476974,30.01312381,14.95696255,1500,up
30,1178.213794,568.4995728,30.00156667,16.23295195,1500,up
30,1377.031412,756.0799888,30.01646667,16.9934568,1500,up
35,394.7404724,266.8434397,35.00129524,3.811120936,1500,up
35,296.5216642,206.6690875,34.99685714,2.530137757,1500,up
35,198.2479036,160.7690253,35.00010476,1.17516432,1500,up
35,149.158809,132.3894581,34.99834762,0.527538602,1500,up
35,100.0642383,101.6628502,34.99439524,-0.156682007,1500,up
35,51.12334856,70.68403927,35.0023381,-0.950736566,1500,up
35,393.9151386,308.8874626,34.96594286,4.268680907,1500,up
35,491.9211371,344.6686296,35.03080476,5.821648834,1500,up
35,590.0472786,415.5005838,35.00505714,7.176447101,1500,up
35,786.7823239,539.1539582,35.01974762,9.553539655,1500,up
35,984.5176079,619.4957695,35.0045381,11.25590611,1500,up
35,1182.971416,703.8527441,34.99600476,12.48291067,1500,up
35,1381.554749,782.8721977,34.92562381,13.51504586,1500,up
40,396.9049028,337.5843252,40.01113333,1.942866891,1500,up
40,298.2440942,263.7474416,40.0135,1.014674204,1500,up
40,199.4811903,190.2824734,39.9934381,0.150501049,1500,up
