Meas,Time,Temperature,Vmax
1,0.267050833,9.5,153.8443473
2,0.267300278,9.5,149.2810014
3,0.2676775,9.5,145.5296183
4,0.2680375,9.5,140.708757
5,0.268287778,9.5,150.5724248
6,0.268535556,9.5,157.4977999
7,0.268783056,9.5,158.170874
8,0.269031389,9.5,153.765724
9,0.269411667,9.5,148.2204013
10,0.269780833,9.5,150.3709589
11,0.270030278,9.5,147.2129257
12,0.270280556,9.5,148.9047247
13,0.270526667,9.5,152.6526788
14,0.270776667,9.5,150.7797195
15,0.271152222,9.5,149.6167991
16,0.2715125,9.5,150.9276429
17,0.271765833,9.5,146.609972
18,0.272017778,9.5,149.5108642
19,0.272271667,9.5,153.6991531
20,0.272522778,9.5,156.3023044
21,0.272906944,9.5,158.941201
22,0.273273333,9.5,163.9335362
23,0.27352,9.5,159.2140919
24,0.273768611,9.5,162.1892686
25,0.274019722,9.5,159.1130538
26,0.274268333,9.5,151.2781391
27,0.274650278,9.5,144.0147971
28,0.275013056,9.5,144.141791
29,0.275260556,9.5,148.1349764
30,0.275514722,9.5,154.947138
31,0.275765,9.5,158.3252862
32,0.276013611,9.5,156.63707
33,0.27639,9.5,153.8810274
34,0.276748333,9.5,149.4763616
35,0.276994722,9.5,146.2467167
36,0.277248889,9.5,144.2657119
37,0.277500833,9.5,142.4808098
38,0.277750556,9.5,135.5540996
39,0.278135278,9.5,128.9763387
40,0.278501389,9.5,126.1909424
41,0.278747778,9.5,123.8012126
42,0.278996111,9.5,115.3196543
43,0.279244444,9.5,121.4489488
44,0.279498611,9.5,116.1454139
45,0.279879444,9.5,110.5332867
46,0.280243889,9.5,107.8934706
47,0.280498889,9.5,108.5479543
48,0.280747778,9.5,101.0117653
49,0.280997222,9.5,100.8910996
50,0.281246389,9.5,100.8516257
51,0.281626667,9.5,101.9878727
52,0.281991111,9.5,96.34237216
53,0.282243333,9.5,107.3095229
54,0.282494722,9.5,118.4826596
55,0.282745,9.5,111.381325
56,0.282997222,9.5,104.4037403
57,0.283380278,9.500563333,97.61400442
58,0.283745556,9.504946667,100.6393389
59,0.283995,9.50794,98.03390347
60,0.284246389,9.510956667,94.92345105
61,0.284495556,9.513946667,90.98017241
62,0.284745278,9.516943333,96.74457818
63,0.285127222,9.521526667,103.0337292
64,0.285488333,9.52586,107.4796815
65,0.285738333,9.52886,108.4857252
66,0.285993611,9.531923333,107.8972994
67,0.2862475,9.53497,111.8839683
68,0.286493333,9.53792,106.8412284
69,0.286878889,9.542546667,100.8354278
70,0.287246389,9.546956667,101.7606419
71,0.287497222,9.549966667,101.6610446
72,0.287745833,9.55295,96.51052822
73,0.287995556,9.555946667,88.82288319
74,0.288246667,9.55896,83.86308014
75,0.288628611,9.563543333,80.2131242
76,0.288993333,9.56792,85.76102729
77,0.289240833,9.57089,84.51763883
78,0.289489722,9.573876667,79.68391496
79,0.289740833,9.57689,80.6238049
80,0.289990278,9.579883333,85.98788369
81,0.290370278,9.584443333,90.81183471
82,0.290732778,9.588793333,83.28709498
