Curve,CO2S,Ci,Tleaf,Photo,PARi,Direction
25,386.8712763,237.7529447,24.99766667,8.770865199,1500,down
25,290.3066597,178.1845316,24.99730476,6.48847942,1500,down
25,194.2558531,130.2512371,25.00282381,3.807032066,1500,down
25,146.1813307,105.6606702,25.00385714,2.501447893,1500,down
25,98.26681788,79.7938824,24.98697619,1.090828999,1500,down
25,50.3101146,53.61639876,24.99768571,-0.289715754,1500,down
25,386.7398954,262.6748614,24.98837143,8.785526981,1500,down
25,483.799798,328.9795568,24.99477143,10.73733962,1500,down
25,581.5773203,395.7238325,24.99791905,12.18741194,1500,down
25,779.0226994,537.1699945,25.0135,13.86493789,1500,down
25,978.1342226,647.5571557,25.01721905,14.4894606,1500,down
25,1177.282841,772.2161509,24.99199048,15.09441818,1500,down
25,1376.779507,832.8328547,24.9991619,15.5225916,1500,down
20,390.3786599,235.2879039,19.99918095,6.453221635,1500,down
20,292.7766616,173.1192991,19.9950619,4.855011832,1500,down
20,195.4917111,121.2095942,20.00619524,3.011928831,1500,down
20,146.9564265,98.73341961,20.0129619,2.003162044,1500,down
20,98.52557995,76.29334772,19.99820476,0.955473365,1500,down
20,50.00751433,50.02955431,20.0028381,-0.046531582,1500,down
20,390.295136,250.6184141,19.99035238,6.48153561,1500,down
20,488.4327062,321.1024095,19.99777143,7.709251257,1500,down
20,587.263515,408.310196,20.01454286,8.430151049,1500,down
20,785.7688474,580.6502394,20.00918571,9.27751901,1500,down
20,985.1790375,742.1652131,20.00219048,9.634928776,1500,down
20,1184.98618,831.3848269,19.98924762,9.875036294,1500,down
20,1385.06999,931.1146982,19.97914286,9.921865074,1500,down
15,393.6291385,270.4987142,14.99378095,4.223496384,1500,down
15,295.0662347,197.0819143,15.00772857,3.293216989,1500,down
15,196.7442359,133.0326784,14.99089524,2.158275626,1500,down
15,147.8079509,103.7213853,15.00244286,1.449227479,1500,down
15,98.8744421,76.58031861,14.99866667,0.731307368,1500,down
15,49.92635713,48.53528858,14.99855238,0.015818326,1500,down
15,393.8226624,277.473982,15.00436667,4.099652307,1500,down
15,493.0519001,363.8281923,14.99634762,4.554381695,1500,down
15,592.5841855,457.9816543,14.99911429,4.804017284,1500,down
15,791.7158041,643.0845984,14.99689524,5.246902927,1500,down
15,991.4237564,831.4152986,15.00499524,5.340267458,1500,down
15,1191.239518,1017.552576,15.00647143,5.359368768,1500,down
