Meas,Time,Temperature,Vmax
207,0.410058056,9.979303333,161.2473492
208,0.410417778,9.974986667,163.2025053
209,0.410667222,9.971993333,162.3186726
210,0.410917778,9.968986667,157.1084009
211,0.411168056,9.965983333,155.9176149
212,0.411420278,9.962956667,152.4260214
213,0.411793056,9.958483333,149.076849
214,0.412153056,9.954163333,145.1549752
215,0.412404167,9.95115,141.0055646
216,0.412652778,9.948166667,139.6273339
217,0.412903889,9.945153333,139.4727245
218,0.413151944,9.942176667,144.1470609
219,0.41353,9.93764,148.2835453
220,0.413889167,9.93333,149.0389005
221,0.414136111,9.930366667,150.602108
222,0.414386389,9.927363333,144.8617549
223,0.414637222,9.924353333,139.1813682
224,0.414889444,9.921326667,132.2832622
225,0.41527,9.91676,125.4185071
226,0.415640556,9.912313333,129.4464875
227,0.415887222,9.909353333,133.5640124
228,0.416134444,9.906386667,134.4029208
229,0.416381111,9.903426667,132.5507184
230,0.416636111,9.900366667,130.2407203
231,0.417008611,9.902051667,127.3958772
232,0.417363333,9.90418,124.0549516
233,0.41761,9.90566,117.0857537
234,0.417861944,9.907171667,112.4752553
235,0.418111389,9.908668333,108.3831311
236,0.418362222,9.910173333,107.7106129
237,0.418734444,9.912406667,107.4859171
238,0.419090278,9.914541667,103.9450239
239,0.419341389,9.916048333,106.9682521
240,0.419589167,9.917535,109.6742483
241,0.419836667,9.91902,112.0395307
242,0.420088889,9.920533333,118.3064051
243,0.420468333,9.92281,124.146892
244,0.4208325,9.924995,122.1959972
245,0.421082222,9.926493333,121.0557252
246,0.421331667,9.92799,121.4046872
247,0.421582222,9.929493333,123.2379005
248,0.421831111,9.930986667,127.5837065
249,0.422205,9.93323,131.8224956
250,0.422563611,9.935381667,135.1456923
251,0.422814722,9.936888333,139.8320544
252,0.423066667,9.9384,142.9868691
253,0.423318333,9.93991,143.9099948
254,0.423567222,9.941403333,142.7499051
255,0.423947778,9.943686667,141.9705017
256,0.424311389,9.945868333,146.3278183
257,0.4245625,9.947375,147.4144016
258,0.424811389,9.948868333,150.3979586
259,0.425059722,9.950358333,154.7728417
260,0.425311111,9.951866667,155.9448328
261,0.425685833,9.954115,156.6312568
262,0.426045556,9.956273333,157.4657006
263,0.426294444,9.957766667,158.7740681
264,0.42654,9.95924,161.4112103
265,0.426785833,9.960715,157.7009829
266,0.427040833,9.962245,159.0782705
267,0.427427222,9.964563333,160.1123368
268,0.4277925,9.966755,160.8975274
269,0.428039444,9.968236667,156.7276015
270,0.42829,9.96974,155.0184645
271,0.428543056,9.971258333,155.1069158
272,0.428793889,9.972763333,153.6815236
273,0.429174444,9.975046667,152.5664287
274,0.429533333,9.9772,149.3097727
275,0.429781944,9.978691667,150.3441881
276,0.430032222,9.980193333,155.1988337
277,0.43028,9.98168,155.1835569
278,0.430527778,9.983166667,152.2398187
279,0.430898333,9.98539,148.8288975
280,0.431253889,9.987523333,148.1060069
281,0.4315025,9.989015,146.1501987
282,0.431748333,9.99049,145.2535611
283,0.431995278,9.991971667,143.9248871
284,0.432248056,9.993488333,146.7110925
285,0.432625278,9.995751667,149.7914837
286,0.432983611,9.997901667,150.0365993
287,0.433231944,9.999391667,146.6828517
288,0.433478611,10.00087167,144.9726887
289,0.433729167,10.002375,146.3734379
290,0.433980278,10.00388167,146.9138097
291,0.43436,10.00616,147.4986315
292,0.434724444,10.00834667,147.1765042
293,0.434974722,10.00984833,145.7765047
294,0.435228611,10.01137167,143.6762585
295,0.435476944,10.01286167,141.2364944
296,0.435723056,10.01433833,141.6287416
297,0.436098611,10.01659167,141.533404
298,0.436460556,10.01876333,143.3109594
299,0.436710556,10.02026333,143.2211916
300,0.436963889,10.02178333,144.3801197
301,0.437213056,10.02327833,147.6316288
302,0.437465833,10.024795,148.2207894
303,0.437835556,10.02701333,148.6187846
304,0.438192778,10.02915667,150.2588776
305,0.438443889,10.03066333,146.8042786
306,0.438691944,10.03215167,144.0398008
307,0.438941389,10.03364833,141.5622698
308,0.439189722,10.03513833,134.8425369
309,0.439561389,10.03736833,128.266275
310,0.439916944,10.03950167,124.8324929
311,0.440163056,10.04097833,120.299971
312,0.4404125,10.042475,116.2436945
313,0.440665556,10.04399333,114.8928762
314,0.440917778,10.04550667,114.8583836
315,0.441289444,10.04773667,114.7601954
316,0.441646944,10.04988167,111.8027297
317,0.441894722,10.05136833,109.7460629
318,0.442146389,10.05287833,104.0462344
319,0.442395278,10.05437167,104.1036399
320,0.442643611,10.05586167,99.66687645
321,0.443019444,10.05811667,95.11150363
322,0.443380833,10.060285,92.70978004
323,0.443626111,10.06175667,94.09479086
324,0.443878056,10.06326833,93.49317023
325,0.444130278,10.06478167,98.6546208
