Curve,CO2S,Ci,Tleaf,Photo,PARi,Direction
30,388.6827996,268.8717007,29.99474762,7.917503464,1500,down
30,291.8916595,204.6204238,29.99574762,5.701113114,1500,down
30,195.0745672,146.1956506,30.0089381,3.368285952,1500,down
30,98.74649429,87.59265024,30.00555238,0.755517933,1500,down
30,50.62806262,55.6003058,29.99221429,-0.574456884,1500,down
30,388.3623234,305.1147316,30.01335238,7.896087796,1500,down
30,486.0136547,379.6322151,29.98645238,9.506007874,1500,down
30,585.0026538,444.3450236,29.99271905,10.25584204,1500,down
30,783.9470337,572.5136213,30,11.04709068,1500,down
30,983.5108428,674.422356,30.00995238,11.44805959,1500,down
30,1182.743318,786.5743678,30.01212857,12.03423767,1500,down
30,1382.764747,898.5386598,30.00401905,12.05480255,1500,down
25,389.8298006,263.0131107,24.99678571,7.200715073,1500,down
25,292.4253744,197.7760173,25.01745714,5.337496203,1500,down
25,195.3014245,138.2212075,25.0051381,3.290319774,1500,down
25,98.51047021,81.68615332,24.99801905,0.985288084,1500,down
25,50.22918602,52.75492091,24.99571905,-0.250386308,1500,down
25,390.3577537,302.067788,24.98960476,6.634661274,1500,down
25,489.4152292,394.0914583,24.99574286,7.16976381,1500,down
25,588.8581812,480.0603344,25.00689048,7.502582584,1500,down
25,788.5150857,644.0253686,24.99546667,7.730049311,1500,down
25,988.5136094,769.0385201,24.98630952,7.840463874,1500,down
25,1188.237609,882.8966147,24.9852619,8.12562502,1500,down
20,392.7573271,261.4222614,19.98544286,5.152598442,1500,down
20,294.2421379,190.7537509,19.99963333,4.103382495,1500,down
20,196.3635207,134.0826541,19.99995714,2.543890291,1500,down
20,98.76445612,79.01075067,19.9977619,0.841748661,1500,down
20,50.05285249,50.96128717,19.98851905,-0.093223839,1500,down
20,393.2275657,303.0291383,20.0015381,4.703449801,1500,down
20,492.9299942,402.469162,19.99510476,4.762906979,1500,down
20,592.8264228,497.1643602,20.00323333,4.757685259,1500,down
20,792.6137085,684.7699709,19.99821905,4.779145637,1500,down
20,992.4696131,848.6122611,19.9962,4.915365554,1500,down
20,1192.351898,969.0830475,20.00119048,5.162080475,1500,down
15,396.1115683,316.3617331,15.00157619,2.635885137,1500,down
15,296.6729496,227.115497,14.99148095,2.324500443,1500,down
15,197.6443314,149.3440327,15.0044,1.635626215,1500,down
15,99.15127552,82.20096345,14.99547143,0.558281558,1500,down
15,50.07000964,51.55855138,14.99619048,-0.093036768,1500,down
15,396.4831877,333.0457049,15.00029524,2.330658895,1500,down
15,496.3983782,434.9298599,15.00845714,2.298427733,1500,down
15,596.2607115,534.8559221,14.9964381,2.290748448,1500,down
15,796.0943306,730.8607406,14.99684286,2.263550046,1500,down
15,995.8666639,924.9928807,14.99685714,2.268568922,1500,down
10,398.0482366,350.7233293,9.984268571,1.260130399,1500,down
10,298.3348559,258.4770359,9.998918571,1.083052159,1500,down
10,198.7520943,168.6777194,9.983284286,0.836514025,1500,down
10,99.45720438,87.36978557,9.993657143,0.327463911,1500,down
10,50.0111953,50.80688604,9.999197143,-0.053595448,1500,down
10,398.2111892,357.6084865,9.995809048,1.113665156,1500,down
10,498.1261415,456.5104497,9.996164762,1.122237621,1500,down
10,598.0283796,554.5594933,9.997830952,1.149805149,1500,down
10,797.8970939,753.0113796,10.00583048,1.105093237,1500,down
10,997.6810463,949.8510673,9.999851905,1.109836458,1500,down
30,389.2818952,243.9803885,30.00554762,9.195636415,1500,up
30,292.4367551,191.5097209,30.00449524,6.490759247,1500,up
30,195.5444247,137.5725032,30.01819048,3.759167072,1500,up
30,98.96450871,87.25345009,30.01528095,0.776533746,1500,up
30,50.73526267,58.48233912,30.0003381,-0.736499547,1500,up
30,388.4600375,274.9396445,29.98360476,9.735915983,1500,up
30,485.7728445,338.5741826,30.00197619,12.0556383,1500,up
30,585.2406059,370.3777929,30.00582857,12.60046139,1500,up
30,784.5329384,428.2301949,30.00532381,13.36735056,1500,up
30,984.7503672,532.4889303,29.99565238,13.20255926,1500,up
30,1184.590462,537.3382782,30.0039,13.44163152,1500,up
30,1384.465224,794.7999732,29.99334762,13.46403903,1500,up
35,393.528756,212.2573098,34.98345714,5.544624514,1500,up
35,295.5244245,180.2367547,35.01039048,3.801497464,1500,up
35,197.5271883,148.135321,35.00869048,2.013731875,1500,up
35,99.95788103,99.25189227,35.01097619,-0.077161296,1500,up
35,51.32498229,72.44620718,35.00195238,-1.267201301,1500,up
35,391.8806595,276.3320606,35.01025238,6.787644731,1500,up
35,489.3555143,334.1137998,35.01618571,8.964289291,1500,up
35,587.9994178,366.0883966,35.00457619,10.20954116,1500,up
35,785.7108919,501.8911676,35.02745714,12.14008247,1500,up
35,985.289939,477.135042,35.0129381,12.68177769,1500,up
35,1185.571891,445.7130766,35.0104,12.54088092,1500,up
35,1385.588082,696.7893004,35.00896667,12.41129326,1500,up
40,397.889046,312.1466508,40.0191,1.50983161,1500,up
40,298.7691896,251.482243,40.02092857,0.787922878,1500,up
40,199.693619,189.3200546,40.01147619,0.033167291,1500,up
40,100.7457628,122.3658254,40.00194762,-0.832170371,1500,up
40,51.4412539,86.2858203,39.99970952,-1.403926605,1500,up
40,397.0415217,327.8731821,40.03405714,1.973631,1500,up
40,495.9086636,392.136304,40.05903333,2.877204529,1500,up
40,595.1664248,451.536181,40.01603333,3.525131537,1500,up
40,793.5282329,575.148578,40.00858095,4.856873478,1500,up
40,992.3094222,696.1666654,40.0034381,5.87112733,1500,up
40,1191.409517,815.9566024,40.00129048,6.616437366,1500,up
40,1390.370944,940.5057645,39.99801429,7.410138156,1500,up
