,X,Time,Temperature,Vmax
1,1,1.800294167,9.405295,9.597877679
2,2,1.800631667,9.41137,4.923504593
3,3,1.800881944,9.415875,3.97809092
4,4,1.801130556,9.42035,-0.787551258
5,5,1.801381667,9.42487,1.357539129
6,6,1.801629444,9.42933,2.188108045
7,7,1.801971111,9.43548,3.868053365
8,8,1.802307222,9.44153,7.027342356
9,9,1.802555,9.44599,9.501746312
10,10,1.802803333,9.45046,13.2766929
11,11,1.803051111,9.45492,20.87175231
12,12,1.803301389,9.459425,22.21530588
13,13,1.803650278,9.465705,21.44289859
14,14,1.8039925,9.471865,20.62516745
15,15,1.804241111,9.47634,20.16648346
16,16,1.804489444,9.48081,20.36629509
17,17,1.804735833,9.485245,23.46157929
18,18,1.804983611,9.489705,21.74587464
19,19,1.805330278,9.495945,21.41781797
20,20,1.805669167,9.502045,19.78773013
21,21,1.805914722,9.506465,20.52542356
22,22,1.806161667,9.51091,16.5970919
23,23,1.806413889,9.51545,9.336522821
24,24,1.806665278,9.519975,9.005833692
25,25,1.807016667,9.5263,8.329451109
26,26,1.807356667,9.53242,5.434231043
27,27,1.807602778,9.53685,3.471457867
28,28,1.807849444,9.54129,1.686389656
29,29,1.808099444,9.54579,-1.089291508
30,30,1.808346389,9.550235,-3.846908262
31,31,1.808685278,9.556335,-6.553370197
32,32,1.80902,9.56236,-12.34569036
33,33,1.80927,9.56686,-12.26223749
34,34,1.809517778,9.57132,-10.58030385
35,35,1.809765278,9.575775,-14.44704781
36,36,1.810011111,9.5802,-14.73972568
37,37,1.810353056,9.586355,-14.82547712
38,38,1.810690278,9.592425,-13.4357794
39,39,1.810939444,9.59691,-10.33484502
40,40,1.811188056,9.601385,-9.135015449
41,41,1.811433611,9.605805,-11.73928408
42,42,1.811680556,9.61025,-12.81265404
43,43,1.812023889,9.61643,-14.309566
44,44,1.812360278,9.622485,-15.37460352
45,45,1.812608611,9.626955,-16.93192128
46,46,1.812853889,9.63137,-23.68587497
47,47,1.813100556,9.63581,-23.57196774
48,48,1.813351667,9.64033,-22.55100888
49,49,1.813695278,9.646515,-19.82628645
50,50,1.814031667,9.65257,-17.33608396
51,51,1.8142775,9.656995,-16.8892973
52,52,1.814522222,9.6614,-13.73780294
53,53,1.8147725,9.665905,-14.06792324
54,54,1.815021944,9.670395,-5.950176359
55,55,1.815369167,9.676645,3.138506496
56,56,1.815705556,9.6827,3.840545453
57,57,1.815953333,9.68716,-0.163484654
58,58,1.816200833,9.691615,4.796295764
59,59,1.816451111,9.69612,12.04891498
60,60,1.8167,9.7002,13.60410404
61,61,1.817048056,9.702288333,14.72449184
62,62,1.817387778,9.704326667,20.72271112
63,63,1.817635278,9.705811667,24.10756008
64,64,1.817882222,9.707293333,20.98330779
65,65,1.818130556,9.708783333,22.84871942
66,66,1.818379444,9.710276667,26.37307157
67,67,1.818730278,9.712381667,29.39217712
68,68,1.819071944,9.714431667,31.22217032
69,69,1.819316667,9.7159,29.2883227
70,70,1.819562778,9.717376667,27.55989925
71,71,1.819811111,9.718866667,30.27119508
72,72,1.820061667,9.72037,36.58793353
73,73,1.820411389,9.722468333,41.78313112
