"","Tr","Temp","Tau","b","c","d"
"b1","A21","24.7","-7.71","0","1.3","1"
"b1","A21","30.5","-1.91","0.164407568492383","0.221263380159473","0.250103988984412"
"b1","A21","34.9","2.49","0.0550985900289145","0.911493436384944","0.158988640725393"
"b1","A21","40","7.59","0.298573206206901","1.17395312419858","0.0399047919550436"
"b1","A26","25.9","-6.84","0","1.3","1"
"b1","A26","30.2","-2.54","0.0799853956059319","0.326364771103228","0.325389684967925"
"b1","A26","35.4","2.66","0.00203324648246964","1.48306111970999","0.85509257208186"
"b1","A26","39.6","6.86","0.195580933072371","3.2960081903349","0.0840487968105422"
"b1","A31","28.9","-4.17","0","1.3","1"
"b1","A31","35.2","2.13","0.0252457682133143","0.901854463273166","0.258651030678502"
"b1","A31","39.9","6.83","0.117601141546923","3.19359610260634","0.0070223382195564"
"b1","M21","25.6","-3.43","0.00776751901414839","1.31809935362006","0.912849556167155"
"b1","M21","30","0.969999999999999","0.0193418883127454","0.775363277529546","0.689419760407392"
"b1","M21","34.9","5.87","0.0779425017882862","0.957272340734887","0.442806337196192"
"b1","M21","39.1","10.07","0.914528875810193","1.08577573645539","0.0298103082534242"
"b1","M26","26.1","-6.85","9.26316940098919","0.360390718516582","0.311771361876011"
"b1","M26","30.6","-2.35","0.0199619460892306","0.906798232374307","0.544466214801076"
"b1","M26","35.4","2.45","2.90981527673018e-09","4.13126561406815","0.983945624592222"
"b1","M26","39","6.05","0.833048492829661","0.73119156252643","0.221999545284917"
"b1","M31","28.6","-8.26","0","1.3","1"
"b1","M31","34.6","-2.26","0.0167767497890165","0.861720968626012","0.696307681052154"
"b1","M31","39.2","2.34","0.000691071080256515","1.45437929302408","0.93378851468642"
"b1","G21","25.5","-6.08","0","1.3","1"
"b1","G21","30.5","-1.08","0.0858579497216096","0.625783074792587","0.544199377728182"
"b1","G21","34.5","2.92","0","1.3","1"
"b1","G21","39.3","7.72","0.368071987688057","0.600111627735221","0.402993490325455"
"b1","G26","25.4","-8.26","0","1.3","1"
"b1","G26","30.4","-3.26","0.0571692490983335","0.73137682914607","0.467645034974085"
"b1","G26","35.2","1.54000000000001","0.0744707470637102","0.77036941437826","0.217147660949755"
"b1","G26","39.8","6.14","0.780691842114287","1.09297008895548","0.0109447609903844"
"b1","G31","29","-6.74","0","1.3","1"
"b1","G31","35.6","-0.140000000000001","8.1185096717739e-05","1.90080897069202","0.831711598261196"
"b1","G31","39.3","3.56","0.0567423944530141","1.12652037112947","0.632035003659149"
"b1","R21","25.2","-6.69","0.000163433936652812","1.6251338847994","0.909874520909193"
"b1","R21","30.6","-1.29","0.0345361587539743","0.890906744392188","0.234818710903026"
"b1","R21","35","3.11","0.0323004016444507","1.25515727391035","0.0973939218968422"
"b1","R21","39.8","7.91","0.0400929653914314","21.146680187512","0.00412473167423402"
"b1","R26","25.7","-6.32","0","1.3","1"
"b1","R26","29.4","-2.62","0.0351884172840746","0.708048922687881","0.532778066033911"
"b1","R26","35.2","3.18","6.42979478125207","0.305265523330103","0.0335284881840038"
"b1","R26","39.4","7.38","8.37921005459527","0.438524447688508","0.00882290842557037"
"b1","R31","24.2","-7.94","0.0208797783436169","0.711711795328677","0.927666797563864"
"b1","R31","31","-1.14","0.0150674120961399","0.535452802103248","0.761747166865144"
"b1","R31","34.7","2.56","0.105161397747592","0.863915822765685","0.238552649924429"
"b1","R31","39.5","7.36","0.119066312718351","1.77206891119942","0.0891929886106616"
