"","Treat","Topt","r15","r40"
"1","M21",29.0323379821578,0.524435946931725,0.513931268187567
"2","M26",32.9448680166002,0.189431137010061,0.705155780960399
"3","M31",36.8573980510426,0.00291724894693325,0.908423794371059
"4","A21",32.4164216093883,0.29582495615497,0.484431627540127
"5","A26",32.7439784793919,0.264099414926579,0.514333814745751
"6","A31",33.0715353493954,0.231645971050968,0.544004405382733
"7","G21",31.5792866261275,0.380405719750244,0.671797334614869
"8","G26",33.6580148161511,0.180426241140139,0.750922642590491
"9","G31",35.7367430061747,0.0335615253979554,0.842504148470595
"10","R21",31.8938622496772,0.371326034821516,0.692875930291339
"11","R26",32.0153607203162,0.302057298837158,0.70208611520843
"12","R31",32.1368591909551,0.18622509199342,0.708496245336054
