"","Treat","Topt","r15","r40"
"1","M21",27.11,0.542617051905916,0.153739304109683
"2","M26",31.29,0.200588768065984,0.349951775010584
"3","M31",35.53,0.00307580488618956,0.726461317136738
"4","A21",30.85,0.306253383451593,0.21740573350402
"5","A26",31.16,0.279047329904959,0.251977607702976
"6","A31",31.48,0.247191798355301,0.287611632362775
"7","G21",29.71,0.397470809673897,0.277445098820226
"8","G26",31.9,0.18957949059269,0.422547182913711
"9","G31",34.08,0.0159788566037927,0.612254800653789
"10","R21",29.92,0.396119161018201,0.298932370514075
"11","R26",30.15,0.318825463346623,0.308007496402472
"12","R31",30.39,0.199817770352667,0.316401203214963
