"","Treat","Topt","r15","r40"
"1","M21",29.29,0.517601222605032,0.448677593428059
"2","M26",33.07,0.190945621143132,0.684693399234876
"3","M31",36.8,0.00318655424408544,0.897568884122771
"4","A21",32.36,0.291130938208762,0.455810370248401
"5","A26",32.66,0.265310088809577,0.506895335450807
"6","A31",32.96,0.235209379315205,0.554147365671804
"7","G21",31.81,0.378753170492062,0.644200696869339
"8","G26",33.69,0.18143021912035,0.752392067659053
"9","G31",35.54,0.0183001516004039,0.84820563228999
"10","R21",31.99,0.378428263680056,0.671636147212578
"11","R26",32.17,0.304251040822424,0.679539825023434
"12","R31",32.36,0.190805004991683,0.685790981907726
